,AHL-P-C_open,AHL-P-C_high,AHL-P-C_low,AHL-P-C_close,AHL-P-C_volume
2023-10-13,25.3250,25.4171,24.9600,25.1300,34050
2023-10-12,25.2800,25.4300,25.2300,25.2700,6875
2023-10-11,25.2900,25.4400,25.2600,25.4300,19877
2023-10-10,25.4100,25.4100,25.2000,25.4000,7587
2023-10-09,25.2400,25.3200,25.1600,25.3200,21109
2023-10-06,25.0600,25.2880,25.0600,25.2000,21514
2023-10-05,25.3200,25.3439,25.0300,25.1600,27678
2023-10-04,25.3700,25.3700,25.2000,25.3184,22746
2023-10-03,25.1900,25.4300,24.9600,25.4300,39585
2023-10-02,25.5900,25.5900,25.0800,25.2500,11180
2023-09-29,25.4400,26.0000,25.3730,25.6000,342621
2023-09-28,25.2200,25.4500,25.0421,25.3600,115077
2023-09-27,25.1700,25.3400,25.0800,25.1300,22550
2023-09-26,25.2200,25.3400,25.1400,25.1500,20804
2023-09-25,25.3400,25.3400,25.2000,25.2500,12171
2023-09-22,25.2000,25.3400,25.2000,25.3000,12131
2023-09-21,25.3500,25.3525,25.2010,25.2400,16894
2023-09-20,25.3000,25.4500,25.2100,25.4500,27273
2023-09-19,25.2445,25.3000,25.2200,25.3000,21979
2023-09-18,25.4000,25.4000,25.1900,25.3000,52199
2023-09-15,25.3026,25.3350,25.1500,25.2100,26298
2023-09-14,25.5500,25.5700,25.3000,25.3400,59809
2023-09-13,25.9500,25.9500,25.8400,25.8600,18005
2023-09-12,25.9000,25.9000,25.7383,25.8200,16376
2023-09-11,25.9400,25.9500,25.8101,25.9000,15628
2023-09-08,25.9600,25.9800,25.7901,25.8913,16205
2023-09-07,25.7300,25.9800,25.7065,25.7900,16316
2023-09-06,25.7400,25.8000,25.6800,25.7000,16187
2023-09-05,25.6800,25.7400,25.6600,25.7400,32022
2023-09-01,25.6400,25.7500,25.6400,25.6800,16493
2023-08-31,25.5800,25.7500,25.5800,25.7500,29282
2023-08-30,25.5800,25.6800,25.5800,25.6400,7547
2023-08-29,25.6350,25.6800,25.5817,25.6800,12528
2023-08-28,25.6000,25.7500,25.5800,25.5954,7434
2023-08-25,25.5500,25.7500,25.5500,25.6501,39267
2023-08-24,25.5500,25.7000,25.4000,25.5200,52644
2023-08-23,25.1800,25.7000,25.1800,25.5500,37422
2023-08-22,25.2000,25.3100,25.1500,25.1500,8466
2023-08-21,25.3700,25.3700,25.1600,25.1600,8052
2023-08-18,25.2100,25.3900,25.1600,25.2767,17533
2023-08-17,25.1800,25.3565,25.1662,25.2300,7449
2023-08-16,25.2670,25.4100,25.2200,25.3100,10886
2023-08-15,25.3500,25.4492,25.1800,25.3500,9681
2023-08-14,25.2600,25.5000,25.2555,25.5000,17828
2023-08-11,25.2500,25.3500,25.2500,25.3497,12879
2023-08-10,25.3860,25.4399,25.2663,25.3000,13147
2023-08-09,25.3300,25.4743,25.2600,25.2800,11228
2023-08-08,25.2100,25.5508,25.2100,25.2600,8791
2023-08-07,25.2618,25.4400,25.1751,25.2000,7632
2023-08-04,25.1500,25.5000,25.1500,25.4500,13727
2023-08-03,25.2818,25.3100,25.1200,25.1200,9799
2023-08-02,25.4000,25.4100,25.1200,25.2250,13726
2023-08-01,25.5000,25.5609,25.1700,25.4500,10973
2023-07-31,25.0100,25.5600,25.0100,25.5600,32255
2023-07-28,25.0500,25.3399,25.0500,25.2000,7563
2023-07-27,25.2800,25.4800,25.0328,25.0389,19319
2023-07-26,24.8550,25.2637,24.8400,25.2000,137727
2023-07-25,24.8500,24.8800,24.8000,24.8000,404276
2023-07-24,24.8900,24.9451,24.6500,24.8800,19243
2023-07-21,24.7000,24.8900,24.7000,24.8800,8199
2023-07-20,24.7600,24.9500,24.7600,24.8038,5749
2023-07-19,24.8296,24.9600,24.8296,24.8600,9138
2023-07-18,24.9800,24.9800,24.8200,24.8200,12676
2023-07-17,24.8900,24.9174,24.7600,24.8600,11391
2023-07-14,24.9700,24.9700,24.8201,24.8300,10101
2023-07-13,24.9000,24.9700,24.8400,24.9700,8283
2023-07-12,24.8525,24.9200,24.8000,24.8000,13127
2023-07-11,24.7200,24.8300,24.7200,24.8300,15698
2023-07-10,24.8000,24.8200,24.7250,24.7300,22745
2023-07-07,24.7000,24.8700,24.7000,24.7800,3972
2023-07-06,24.7000,24.8500,24.6500,24.6700,16061
2023-07-05,24.8500,24.8800,24.6000,24.7700,24508
2023-07-03,24.6000,24.8999,24.6000,24.8500,5307
2023-06-30,24.3500,24.8800,24.2600,24.8000,34074
2023-06-29,24.3800,24.3800,24.2100,24.2900,15484
2023-06-28,24.8555,24.9100,24.1200,24.3300,60921
2023-06-27,24.8700,24.9000,24.7500,24.8000,11868
2023-06-26,24.8900,24.9200,24.8200,24.8793,16842
2023-06-23,24.5000,24.8914,24.5000,24.7400,36368
2023-06-22,24.7200,24.7900,24.2831,24.4700,18424
2023-06-21,24.2700,24.6345,24.2600,24.4897,27592
2023-06-20,24.4500,24.4986,24.3100,24.3100,23670
2023-06-16,24.6000,24.8800,24.3600,24.4500,31648
2023-06-15,25.0100,25.1400,24.2900,24.5300,17524
2023-06-14,24.6700,24.7400,24.4200,24.5100,19093
2023-06-13,25.0800,25.0800,24.9100,24.9600,28314
2023-06-12,24.9900,25.0400,24.9000,24.9000,45398
2023-06-09,24.9200,24.9900,24.9200,24.9300,14786
2023-06-08,24.9400,24.9800,24.9400,24.9402,8300
2023-06-07,25.0000,25.0100,24.8000,24.9400,24062
2023-06-06,24.9096,25.0000,24.8691,24.9800,9003
2023-06-05,24.8100,25.0900,24.8100,24.8800,7900
2023-06-02,24.7294,25.3600,24.7294,24.9200,12353
2023-06-01,24.8200,24.8200,24.7000,24.7200,30677
2023-05-31,24.7500,24.9800,24.5900,24.5900,59037
2023-05-30,24.5500,24.8100,24.5500,24.7100,8116
