,BCO_open,BCO_high,BCO_low,BCO_close,BCO_volume
2023-10-26,68.3200,68.4000,66.2200,66.2700,264810
2023-10-25,68.4100,69.2800,67.6100,67.6600,200955
2023-10-24,68.0200,69.5200,67.6700,69.0700,220864
2023-10-23,67.6500,68.2200,67.2300,67.7200,182572
2023-10-20,68.9700,69.4500,67.2350,67.5700,226824
2023-10-19,70.0500,70.6000,68.6600,68.8500,227561
2023-10-18,70.5900,71.7350,70.1576,70.4600,161158
2023-10-17,71.7000,72.8100,71.1300,71.1800,228443
2023-10-16,71.9400,72.6900,71.2400,72.0400,228125
2023-10-13,71.0500,71.3800,69.5925,70.3800,217169
2023-10-12,70.6500,71.2200,69.7400,71.0700,297394
2023-10-11,73.4500,75.4500,64.1500,69.6600,1843812
2023-10-10,73.6600,74.8000,73.4800,73.5000,163353
2023-10-09,72.0800,73.6700,72.0600,73.1600,145865
2023-10-06,71.4700,73.1600,71.4700,72.7300,257440
2023-10-05,71.8900,72.5600,71.6400,71.9400,224605
2023-10-04,71.2500,72.5900,70.7900,72.0500,159958
2023-10-03,72.0600,72.5900,70.7780,70.9900,134934
2023-10-02,72.4000,72.9300,72.0500,72.3000,174899
2023-09-29,73.8300,74.4900,72.3300,72.6400,193303
2023-09-28,71.9900,73.5700,71.9900,73.4700,160327
2023-09-27,70.3400,71.9000,70.0200,71.8800,247670
2023-09-26,72.7400,72.9250,69.6300,69.6600,291273
2023-09-25,72.0900,73.2300,72.0164,72.8500,137300
2023-09-22,73.5900,73.6600,72.3900,72.6000,184339
2023-09-21,74.4500,74.5500,73.3300,73.6100,192899
2023-09-20,75.5000,76.4300,74.9100,74.9500,134023
2023-09-19,76.7900,77.1600,74.9400,74.9700,183193
2023-09-18,76.7500,77.1700,76.5200,76.7300,101064
2023-09-15,76.7400,77.4722,76.2900,76.5000,506429
2023-09-14,76.3900,77.2150,76.1500,77.1300,233935
2023-09-13,75.9900,76.6100,75.7600,75.9500,185614
2023-09-12,75.5000,76.3400,75.4950,76.2800,191105
2023-09-11,76.2600,76.2600,75.3500,75.7700,248151
2023-09-08,75.4900,76.2700,75.4900,75.8100,164534
2023-09-07,75.6500,76.1600,75.2700,75.5900,204193
2023-09-06,75.1400,76.1700,75.1200,75.6000,187151
2023-09-05,75.8800,75.8800,74.0400,75.2300,209790
2023-09-01,76.2300,76.7500,75.9800,76.6500,214567
2023-08-31,76.2100,77.0200,75.7100,75.8100,202150
2023-08-30,75.5500,77.4600,75.5500,76.3100,237765
2023-08-29,74.9300,76.2020,74.8000,75.9100,155057
2023-08-28,74.9000,75.8500,74.9000,75.1300,183879
2023-08-25,74.4600,75.2450,73.7600,74.7700,155745
2023-08-24,73.2600,74.3700,73.2600,74.0100,134062
2023-08-23,72.6200,73.7600,72.3000,73.6200,197720
2023-08-22,72.7200,73.0100,72.4400,72.4800,203400
2023-08-21,73.3100,73.6300,72.6800,72.7500,182461
2023-08-18,71.5000,73.6500,71.5000,73.3000,222674
2023-08-17,72.1300,72.6900,71.7600,71.9700,201552
2023-08-16,72.4900,73.8000,72.3100,72.3800,211546
2023-08-15,72.2100,73.3100,72.0301,72.6900,118122
2023-08-14,71.5100,72.9500,71.2100,72.9500,130069
2023-08-11,71.8900,72.1600,71.5300,71.9600,195931
2023-08-10,70.9500,72.8700,70.0800,71.9900,330328
2023-08-09,68.6800,69.3400,65.7550,69.2000,620448
2023-08-08,73.9000,74.6300,72.1400,73.0600,261075
2023-08-07,73.0900,74.6900,72.9700,74.5800,190136
2023-08-04,72.4900,73.7600,72.4900,72.9900,161013
2023-08-03,72.4800,73.1100,71.9550,72.5500,171707
2023-08-02,72.3600,72.8300,71.6700,72.2800,171154
2023-08-01,72.8600,73.3300,72.0093,73.2500,121956
2023-07-31,71.8000,73.3050,71.8000,72.9600,233534
2023-07-28,71.1200,72.0000,71.0800,71.8100,175231
2023-07-27,69.8500,71.6722,69.7200,70.9500,258143
2023-07-26,67.8700,70.0800,67.8700,69.7800,226450
2023-07-25,67.2800,68.5000,67.2800,68.4000,158278
2023-07-24,67.3900,67.8300,66.6600,67.5600,157924
2023-07-21,69.1400,69.1400,67.1200,67.2900,172842
2023-07-20,68.7900,68.8400,67.6600,68.8100,223498
2023-07-19,67.9600,68.6300,67.8950,68.5900,254474
2023-07-18,67.6000,68.7600,67.6000,68.5700,125664
2023-07-17,66.7400,68.2500,66.7400,67.9900,173382
2023-07-14,67.2400,67.2400,66.1400,67.1900,118182
2023-07-13,67.0200,67.8700,66.7300,67.5700,133828
2023-07-12,67.1400,67.4200,65.9500,67.2400,217733
2023-07-11,66.0600,66.3600,65.1100,65.8300,119074
2023-07-10,65.4300,66.8000,65.4300,65.9900,313593
2023-07-07,65.7300,67.0500,65.7200,65.7900,164329
2023-07-06,65.3300,65.8219,63.7900,65.7700,422390
2023-07-05,67.9700,68.2400,65.9200,65.9900,263955
2023-07-03,67.3700,69.3600,67.2600,68.7900,144318
2023-06-30,69.0200,69.0200,67.8000,67.8300,305132
2023-06-29,67.8800,69.2579,67.8800,68.6500,167307
2023-06-28,68.9700,68.9800,67.9200,68.1200,155296
2023-06-27,69.5300,70.6100,69.1200,69.1300,140378
2023-06-26,67.9100,70.3300,67.9100,69.4400,212752
2023-06-23,70.4800,71.4100,68.1000,68.1700,425092
2023-06-22,71.2200,71.7899,70.2050,71.6300,304250
2023-06-21,71.4600,72.2868,71.0200,71.2500,182579
2023-06-20,72.1900,72.3300,71.7700,71.8800,128408
2023-06-16,73.3900,73.3900,72.0750,72.6200,431096
2023-06-15,72.1900,72.8300,71.8000,72.7200,186056
2023-06-14,73.2000,73.3300,72.0000,72.2800,160772
2023-06-13,72.2000,73.0800,72.2000,72.8900,163205
2023-06-12,71.8100,72.6400,71.2500,71.8500,156765
2023-06-09,71.7800,72.4150,70.8750,71.7700,189318
2023-06-08,70.5500,72.4300,70.0000,72.1300,206292
2023-06-07,71.8000,72.8900,70.5100,70.7100,327044
2023-06-06,69.1900,71.6600,69.1000,71.4100,234002
2023-06-05,68.8700,69.2400,67.9400,69.2000,185589
2023-06-02,68.0000,69.7900,67.7900,69.7200,186644
2023-06-01,66.2800,67.8000,66.2800,66.7800,123430
2023-05-31,66.2900,66.9900,65.4600,66.5300,200064
2023-05-30,68.3700,68.5500,66.0200,66.4500,105136
2023-05-26,67.1900,68.3300,67.1700,68.3200,143258
2023-05-25,66.3400,67.1800,65.5900,67.1700,128914
2023-05-24,67.2900,67.5700,66.5800,66.7000,109716
2023-05-23,68.3800,69.4800,67.4900,67.5000,140621
2023-05-22,67.5100,68.7400,67.0200,68.7200,190098
2023-05-19,68.7000,68.8200,66.6100,67.3500,111500
2023-05-18,66.3700,68.5300,66.1400,68.1500,241452
2023-05-17,65.9400,67.0800,65.1100,66.7700,201502
2023-05-16,65.4000,65.8100,64.5900,65.3200,136846
2023-05-15,65.3400,65.7400,64.8050,65.6500,247910
2023-05-12,65.5300,65.8700,64.5600,65.2300,158958
2023-05-11,65.6800,66.0300,63.9300,65.7300,231963
2023-05-10,66.0000,68.0000,63.3500,66.0600,260218
2023-05-09,63.1100,63.2600,62.1300,63.0800,220119
2023-05-08,63.6600,63.6700,62.2300,63.1200,161168
2023-05-05,61.2800,64.0150,61.2800,63.2900,345284
2023-05-04,60.1700,60.8150,59.4600,60.3600,210154
2023-05-03,62.3700,62.6250,60.6200,60.6700,218550
2023-05-02,62.3000,62.3000,60.9150,61.9900,169969
2023-05-01,62.8600,63.4700,62.2750,62.6500,126374
2023-04-28,62.7300,63.2300,62.4750,62.8500,176413
2023-04-27,62.2000,63.2400,61.9400,63.0100,222989
2023-04-26,62.3900,62.9300,61.6900,61.8400,170918
2023-04-25,64.1000,64.1236,62.8500,62.9500,233229
2023-04-24,64.9100,65.4200,64.4300,64.9200,200835
2023-04-21,65.5400,65.7700,64.1500,65.1300,224617
2023-04-20,65.6500,66.0400,65.0500,65.1700,87388
2023-04-19,66.1500,66.6300,65.9300,66.0100,92240
2023-04-18,66.6200,66.6200,65.6200,66.4500,121472
2023-04-17,65.4900,66.3600,65.0100,66.2800,164515
2023-04-14,66.6200,66.8700,64.5950,65.0800,167966
2023-04-13,65.3700,66.5200,64.6300,66.5000,187945
2023-04-12,65.6000,65.7464,64.8250,65.3100,72841
2023-04-11,65.3500,65.5200,64.8200,65.1300,111815
2023-04-10,64.1900,65.2650,64.1900,65.2100,231248
2023-04-06,64.5900,64.9550,64.2300,64.5800,121971
2023-04-05,64.2500,64.8933,63.6100,64.2500,134580
2023-04-04,66.1700,66.1700,64.5000,64.6900,195677
2023-04-03,66.8000,67.2000,65.7900,66.0400,171890
2023-03-31,66.2800,67.1100,66.2686,66.8000,190264
2023-03-30,65.9800,66.4900,65.4850,65.5700,155821
2023-03-29,65.8400,65.8400,64.5150,65.1400,242878
2023-03-28,65.1300,65.8400,64.4910,65.0900,120005
2023-03-27,64.9900,65.9900,63.6700,65.4600,276859
2023-03-24,61.4000,64.1600,60.9700,64.1600,301561
2023-03-23,61.6600,62.4400,60.2150,60.7200,156622
2023-03-22,62.9200,63.9300,61.4600,61.5400,177708
2023-03-21,62.4100,63.2100,62.4100,63.0000,339619
2023-03-20,61.3600,62.8900,61.0800,61.2500,156443
2023-03-17,63.0600,63.0600,60.4500,60.7000,396973
2023-03-16,62.0300,64.1000,61.3000,63.3000,225152
2023-03-15,63.0000,63.6800,61.7500,62.7900,270759
2023-03-14,64.1200,64.7100,63.8550,64.6300,230429
2023-03-13,63.2300,64.2800,62.2100,62.5800,243949
2023-03-10,66.2900,66.2900,63.9400,64.1900,289531
2023-03-09,67.8100,67.8850,66.4600,66.5800,194533
2023-03-08,67.3000,67.9200,66.9900,67.8300,165616
2023-03-07,67.1300,67.4000,66.4600,67.0800,160137
2023-03-06,67.7900,68.3200,66.3600,67.0500,154956
2023-03-03,66.8100,67.9600,66.4000,67.9000,167145
2023-03-02,65.1900,66.8900,65.1900,66.8900,129649
2023-03-01,65.1000,66.1500,64.3835,65.5800,178247
