,BRK-A_open,BRK-A_high,BRK-A_low,BRK-A_close,BRK-A_volume
2023-10-26,512653.0050,514999.9900,508320.9400,510125.0000,7210
2023-10-25,514931.5000,516735.0000,511750.0100,512400.0000,7082
2023-10-24,514760.0000,516974.8700,513072.0100,516249.9000,6713
2023-10-23,508564.0000,515889.9988,507122.0100,512499.9600,8917
2023-10-20,514438.0050,517953.9900,508815.2500,511000.0100,7791
2023-10-19,518292.5000,520674.5388,514425.0500,515549.9900,6985
2023-10-18,526115.5000,528030.5000,517200.0000,518145.0000,7638
2023-10-17,525923.9950,530475.1488,524000.0000,527749.9900,7068
2023-10-16,527957.4950,531299.9988,525380.0300,527475.0688,9113
2023-10-13,525493.0000,528798.0000,522000.0000,522700.0000,7439
2023-10-12,528765.0000,530440.0000,520550.0700,524517.0000,7526
2023-10-11,531439.5000,533863.9888,523175.0200,528820.0000,7670
2023-10-10,527975.9988,530499.9888,524065.0200,528530.0000,7273
2023-10-09,520964.0000,525069.9988,520000.2300,523690.1200,9422
2023-10-06,524162.0000,529079.9300,518565.1100,525425.0000,7901
2023-10-05,522287.0000,524934.9900,519650.0100,523545.0500,7164
2023-10-04,520739.0000,522782.9888,515110.0000,521675.0000,7803
2023-10-03,527205.5000,529951.9800,519300.0000,521919.0000,7606
2023-10-02,531213.5000,532937.9788,524000.0000,527960.0000,10714
2023-09-29,542757.8900,544263.7700,529000.0000,531477.0000,8763
2023-09-28,542978.3900,545359.8000,540875.0000,541105.0300,7018
2023-09-27,546981.6500,548651.9900,537500.0000,542495.0500,7947
2023-09-26,545104.0000,547379.9800,543213.0000,545870.0000,7342
2023-09-25,544976.5000,549032.4688,542482.4500,548360.0000,9502
2023-09-22,551303.5000,553097.0000,545410.0100,546215.0000,8090
2023-09-21,555475.5000,558031.9900,550500.0000,551030.0000,7825
2023-09-20,563549.0000,564862.0000,556250.0000,556580.0000,7853
2023-09-19,563542.0000,566569.9700,559100.0100,563072.7600,7764
2023-09-18,559861.5000,563444.9988,557962.4700,562800.0000,10082
2023-09-15,559749.0000,563135.9900,557471.0100,559499.9900,8343
2023-09-14,560728.5000,562480.9900,558568.0000,561739.9900,7604
2023-09-13,560064.5000,562458.6800,555001.0000,557955.0000,7697
2023-09-12,554000.0100,561661.9788,554000.0100,557415.0000,8293
2023-09-11,553847.0000,556899.9900,552243.0100,555309.0000,10014
2023-09-08,549384.0000,553220.0000,547336.0000,551405.0000,7375
2023-09-07,544902.0000,551326.9888,544902.0000,548930.0000,7420
2023-09-06,546196.5000,550111.9988,544520.0000,548660.0000,7573
2023-09-05,551497.0000,557026.9888,546000.0000,546627.0000,10660
2023-09-01,548600.5000,550995.0000,546454.0100,549999.9900,8160
2023-08-31,549652.0050,551112.9900,545082.0100,546725.0100,7577
2023-08-30,544250.0050,551277.9900,542615.0100,547347.9900,7376
2023-08-29,539294.3850,543899.9888,537000.0000,543592.5600,7007
2023-08-28,542060.0000,544159.9900,538000.0000,539604.9000,8952
2023-08-25,540972.9988,541999.8000,535850.0000,540000.0000,7040
