,CAL_open,CAL_high,CAL_low,CAL_close,CAL_volume
2023-10-13,27.3800,27.7350,26.9600,26.9800,301567
2023-10-12,28.2500,28.2500,27.1450,27.4300,412521
2023-10-11,27.8500,28.4600,27.6500,28.2200,368900
2023-10-10,26.6600,28.2900,26.5200,27.8900,501694
2023-10-09,26.1500,26.8000,25.9100,26.4400,301064
2023-10-06,26.6300,26.8700,25.8300,26.5200,353671
2023-10-05,27.3400,27.5599,26.3900,26.6100,394176
2023-10-04,27.6300,27.7400,26.9300,26.9500,457120
2023-10-03,28.3300,28.5700,27.6625,27.7100,378782
2023-10-02,28.4400,29.1000,28.1910,28.4400,518274
2023-09-29,28.4900,29.2950,28.2900,28.7600,504265
2023-09-28,27.5200,28.2400,27.4500,27.9300,348143
2023-09-27,27.0200,27.4700,26.5800,27.2200,313095
2023-09-26,27.1300,27.4861,26.9000,26.9900,311377
2023-09-25,26.6500,27.5900,26.6500,27.2600,320789
2023-09-22,26.4100,27.1600,26.3950,27.0200,234967
2023-09-21,26.3100,26.7100,26.2300,26.3500,294736
2023-09-20,26.4900,26.8600,26.3700,26.4300,288706
2023-09-19,26.4700,26.7300,26.2000,26.3500,316776
2023-09-18,27.1800,27.2300,26.2600,26.4800,462789
2023-09-15,27.7900,28.0100,27.1600,27.2800,2209654
2023-09-14,26.9900,28.2000,26.9900,28.0800,469410
2023-09-13,27.4000,27.5200,26.2900,26.8100,471104
2023-09-12,27.8700,28.1100,27.2000,27.2300,334929
2023-09-11,28.0300,28.4100,27.8800,27.9900,369027
2023-09-08,27.4200,27.9750,26.9100,27.8800,472680
2023-09-07,27.8300,27.8300,27.1500,27.6500,482302
2023-09-06,28.2900,28.5800,27.4400,27.8100,469846
2023-09-05,29.1600,29.1600,27.5350,27.9800,655553
2023-09-01,29.2500,29.9800,29.0600,29.8200,843944
2023-08-31,27.6200,29.2000,27.1201,28.6700,1366578
2023-08-30,24.2500,25.1850,24.2000,24.7300,603953
2023-08-29,23.8600,24.9100,23.7900,24.6700,524169
2023-08-28,24.2300,24.7750,23.8800,23.8900,461066
2023-08-25,24.4500,24.8150,23.8500,24.2200,356877
2023-08-24,24.8400,25.3122,24.0800,24.1500,563664
2023-08-23,25.1600,25.4000,24.6200,25.0300,441255
2023-08-22,26.0400,26.0400,25.3700,25.8000,389447
2023-08-21,26.8100,27.2300,26.3110,26.5300,369653
2023-08-18,26.6600,27.3200,26.6600,26.8600,495753
2023-08-17,27.1900,27.6600,26.7600,26.8600,389368
2023-08-16,27.2500,27.8700,27.1700,27.1900,381467
2023-08-15,26.5200,27.0100,26.2700,26.8700,393723
2023-08-14,25.8400,26.8300,25.4400,26.8100,464741
2023-08-11,25.7600,26.3200,25.6200,26.1700,385542
2023-08-10,27.3600,27.5700,25.8700,25.9100,518519
2023-08-09,26.9500,27.2700,26.7100,27.1200,290114
2023-08-08,27.3200,27.3500,26.5700,27.1600,372126
2023-08-07,27.5000,27.9900,27.2200,27.4800,389652
2023-08-04,27.3600,27.6700,26.8300,27.6100,411882
2023-08-03,26.5200,27.4365,26.4550,27.2200,386310
2023-08-02,26.6500,27.0200,26.4500,26.4700,316210
2023-08-01,26.9600,27.0700,26.4900,26.9300,321033
2023-07-31,27.2500,27.5500,26.8100,27.0400,334674
2023-07-28,26.9100,27.6100,26.8300,27.1700,352587
2023-07-27,27.0000,27.3500,26.6200,26.7000,371147
2023-07-26,26.8100,27.6000,26.8100,26.9800,487770
2023-07-25,26.2700,27.0800,26.1300,26.8600,403022
2023-07-24,26.4300,27.0800,26.2650,26.6000,383921
2023-07-21,26.8600,26.8600,25.9200,26.3500,338770
2023-07-20,26.7500,26.8899,26.1000,26.6000,301067
2023-07-19,26.9200,27.1900,26.5000,26.8300,353971
2023-07-18,25.9900,26.8200,25.7700,26.8000,411051
2023-07-17,25.5500,26.2700,25.1900,25.9800,388609
2023-07-14,25.3000,25.5800,24.5700,25.5600,383939
2023-07-13,25.6900,25.6900,24.8200,25.3700,395388
2023-07-12,26.2100,26.5000,25.6950,25.7500,706755
2023-07-11,25.0000,25.7000,24.8500,25.6800,628868
2023-07-10,24.0600,24.9700,23.9850,24.9100,520813
2023-07-07,23.6100,24.2800,23.5600,24.1400,515133
2023-07-06,23.8400,24.1800,23.4200,23.5700,461092
2023-07-05,24.4200,24.4650,23.8900,24.0800,502113
2023-07-03,23.9000,24.9200,23.9000,24.6700,323299
2023-06-30,24.4200,24.5000,23.6600,23.9300,513825
2023-06-29,23.5000,24.6500,23.5000,24.3100,469977
2023-06-28,24.0700,24.0750,23.0800,23.5100,480892
2023-06-27,24.0600,24.3300,23.9200,24.0500,801662
2023-06-26,24.1400,24.7200,24.0500,24.2400,524758
2023-06-23,24.6200,25.0500,24.1700,24.1900,1812165
2023-06-22,24.8800,25.0400,24.5100,24.8500,433563
2023-06-21,24.4500,25.2600,24.3500,25.0400,487466
2023-06-20,24.6200,24.8600,24.2600,24.4300,432329
2023-06-16,25.1600,25.1600,24.2000,24.6800,892200
2023-06-15,24.8700,25.1778,24.4500,24.8300,682682
2023-06-14,25.4500,25.9500,24.7900,24.9800,820592
2023-06-13,24.5100,25.3500,24.4000,25.1500,736825
2023-06-12,23.7800,24.8300,23.7300,24.4500,744757
2023-06-09,23.4000,23.8600,22.9000,23.8300,733596
2023-06-08,22.7300,23.2800,22.3900,23.1900,683049
