,CPK_open,CPK_high,CPK_low,CPK_close,CPK_volume
2023-10-13,92.7200,93.2200,91.1500,91.8000,112851
2023-10-12,93.6500,93.8450,91.2350,92.0500,87720
2023-10-11,92.6900,93.6847,91.7900,92.9400,71310
2023-10-10,93.0000,94.1050,91.6248,92.6000,127215
2023-10-09,92.8400,95.2400,92.0800,92.1900,90397
2023-10-06,94.3000,95.3700,91.6200,93.4200,83248
2023-10-05,93.9400,95.9900,93.8600,95.0100,86114
2023-10-04,94.2900,94.6700,91.9801,94.1900,86838
2023-10-03,91.9200,94.4950,91.1400,93.9700,165397
2023-10-02,97.3100,97.3100,89.0000,91.9900,205268
2023-09-29,101.8900,102.6200,97.4500,97.7500,149481
2023-09-28,101.1400,102.9600,100.3950,100.8900,197857
2023-09-27,105.9400,107.0834,100.8450,101.2800,178374
2023-09-26,107.0200,107.0700,105.8000,105.9000,59054
2023-09-25,106.8600,107.9400,106.4100,107.4900,35595
2023-09-22,107.0600,108.1100,106.2640,107.1300,36439
2023-09-21,108.3000,108.9400,107.2600,107.4100,35789
2023-09-20,109.8300,110.1571,108.7200,109.0100,35140
2023-09-19,110.7300,111.7500,109.3650,109.5700,133695
2023-09-18,111.1800,111.1800,110.0000,110.2800,54424
2023-09-15,111.0700,112.1900,109.3500,111.1300,262120
2023-09-14,110.4900,111.5100,110.3100,111.0800,51016
2023-09-13,109.5700,110.9250,108.9700,110.3700,44228
2023-09-12,109.0000,109.4000,107.9100,109.3900,46288
2023-09-11,108.3200,109.9200,108.3200,109.3000,71654
2023-09-08,107.3700,108.4600,106.1100,108.1500,112780
2023-09-07,107.0800,108.9850,106.6600,107.3700,55243
2023-09-06,105.2800,107.5400,105.0101,107.2700,54803
2023-09-05,109.3000,110.0175,105.4500,106.8000,66466
2023-09-01,110.2000,110.7900,109.6100,110.4500,50664
2023-08-31,111.1100,111.1750,109.8800,110.1000,54149
2023-08-30,110.8200,111.8100,110.1800,111.1500,42847
2023-08-29,110.4300,111.4200,110.3950,110.8300,39988
2023-08-28,111.9000,112.8100,110.3800,110.5900,47118
2023-08-25,111.4300,112.5700,110.0100,111.5600,41149
2023-08-24,110.9900,111.8100,110.2900,110.7800,57004
2023-08-23,111.3100,111.9000,110.9600,111.6900,97215
2023-08-22,110.7300,111.5900,110.6400,111.0000,34839
