,CRD-A_open,CRD-A_high,CRD-A_low,CRD-A_close,CRD-A_volume
2023-10-26,8.8100,9.0000,8.8100,8.9200,37883
2023-10-25,8.9100,9.0200,8.8500,8.8800,27246
2023-10-24,9.0400,9.0700,8.8900,8.9100,32569
2023-10-23,8.6800,8.9400,8.6800,8.9000,55039
2023-10-20,8.9100,8.9500,8.7500,8.8600,48584
2023-10-19,8.9100,9.0400,8.8000,8.8800,37563
2023-10-18,9.1700,9.3000,8.9000,8.9200,24842
2023-10-17,9.0900,9.3700,9.0900,9.1500,49581
2023-10-16,9.0300,9.1000,8.8700,9.0700,55061
2023-10-13,9.0900,9.2300,9.0200,9.0500,23760
2023-10-12,9.2500,9.2500,8.9500,9.0500,52378
2023-10-11,9.4100,9.4539,9.1700,9.2300,38348
2023-10-10,9.3600,9.5050,9.2800,9.3400,30411
2023-10-09,9.3600,9.4200,9.1500,9.3300,56155
2023-10-06,9.2300,9.2800,9.0800,9.2600,37900
2023-10-05,9.1700,9.3340,9.0600,9.1400,32899
2023-10-04,9.1000,9.3049,8.9600,9.1900,41252
2023-10-03,9.1400,9.1700,9.0000,9.1200,59627
2023-10-02,9.2300,9.4000,8.9600,9.1000,81380
2023-09-29,9.6100,9.6100,9.3400,9.3400,47971
2023-09-28,9.9100,9.9600,9.4950,9.5200,27024
2023-09-27,9.9500,9.9759,9.7600,9.8300,35666
2023-09-26,9.9400,9.9700,9.8100,9.9000,41440
2023-09-25,9.9600,10.0700,9.8400,9.9500,25809
2023-09-22,9.9700,10.3400,9.8800,9.9600,64314
2023-09-21,9.9100,9.9600,9.7300,9.9200,49585
2023-09-20,10.0100,10.0600,9.9100,9.9400,56423
2023-09-19,10.2200,10.2200,10.0600,10.0700,43322
2023-09-18,9.9800,10.2100,9.9550,10.1500,54041
2023-09-15,10.3700,10.3800,9.9600,9.9800,234738
2023-09-14,10.4000,10.4000,10.1400,10.3800,41836
2023-09-13,10.1000,10.2900,10.0000,10.2700,47496
2023-09-12,10.0050,10.2300,10.0050,10.1700,32874
2023-09-11,10.4100,10.4100,9.9600,10.0200,101004
2023-09-08,10.4400,10.4800,10.0301,10.4300,31503
2023-09-07,10.4200,10.6100,10.3800,10.4300,55851
2023-09-06,10.4100,10.5100,10.2500,10.4600,58390
2023-09-05,10.7100,10.7100,10.2700,10.3100,83567
2023-09-01,10.7400,10.8700,10.6307,10.7600,77260
2023-08-31,10.6700,11.0250,10.6600,10.7100,126142
2023-08-30,10.5100,10.7800,10.4700,10.7200,46380
2023-08-29,10.4400,10.5800,10.1800,10.4700,42418
2023-08-28,10.2100,10.4500,10.2100,10.3100,44219
2023-08-25,9.7200,10.1300,9.6800,10.0800,53208
2023-08-24,9.6000,9.7800,9.5900,9.7300,85374
2023-08-23,9.6000,9.7100,9.5850,9.6100,83694
2023-08-22,9.6400,9.7550,9.5200,9.7000,74187
2023-08-21,9.8300,9.9200,9.6100,9.7400,60307
2023-08-18,9.5800,9.7800,9.5200,9.7300,36242
2023-08-17,9.7200,9.7550,9.6300,9.6600,46716
2023-08-16,9.5900,9.8900,9.5700,9.7200,48509
2023-08-15,9.6900,9.7500,9.5772,9.7100,56616
2023-08-14,9.5800,9.7000,9.4300,9.6600,146118
2023-08-11,9.7200,9.7950,9.5700,9.7500,50790
2023-08-10,9.5500,9.7700,9.5100,9.7200,41659
2023-08-09,9.5100,9.7500,9.4300,9.5500,70437
2023-08-08,9.6700,9.6700,9.4300,9.4600,32457
2023-08-07,9.6600,9.8050,9.5400,9.7100,61875
2023-08-04,9.9600,10.0250,9.6000,9.6200,46033
2023-08-03,9.7600,10.1900,9.7000,10.1100,25856
2023-08-02,9.8300,9.8300,9.6300,9.8100,77842
2023-08-01,9.5500,9.9350,9.2900,9.8600,40230
2023-07-31,8.8800,9.6600,8.8800,9.6100,66483
2023-07-28,9.1100,9.1500,8.7400,8.9300,84264
2023-07-27,10.0400,10.0400,8.9500,9.0400,155824
2023-07-26,10.1600,10.2150,9.9700,9.9900,27210
2023-07-25,9.8900,10.2650,9.8900,10.0700,36066
2023-07-24,9.8600,10.1200,9.8600,10.0000,56947
2023-07-21,10.2000,10.2000,9.9900,10.0700,41711
2023-07-20,9.9600,10.1900,9.7100,10.1800,52815
2023-07-19,10.1300,10.1700,9.7900,9.9000,35523
2023-07-18,9.9900,10.3250,9.8100,10.1300,74367
2023-07-17,9.8500,9.9900,9.6000,9.9200,65316
2023-07-14,10.0100,10.0900,9.7000,9.7600,87035
2023-07-13,9.9900,10.2000,9.9100,10.0100,62243
2023-07-12,10.6300,10.6300,10.0200,10.0700,42594
2023-07-11,10.3500,10.6200,10.1200,10.5100,106099
2023-07-10,10.2100,10.4300,10.0700,10.3500,131650
2023-07-07,10.3600,10.4600,10.2500,10.3100,71538
2023-07-06,10.5300,10.5350,10.1603,10.3200,50462
2023-07-05,11.0400,11.0400,10.5400,10.6200,53265
2023-07-03,11.1800,11.1905,10.9600,11.0400,49965
2023-06-30,10.9200,11.1300,10.9200,11.0900,194405
2023-06-29,10.5800,10.9000,10.4900,10.8500,103302
2023-06-28,10.6000,10.6200,10.2200,10.4100,50488
2023-06-27,10.3700,10.7500,10.3550,10.6500,44774
2023-06-26,10.2100,10.5300,10.2100,10.3900,71178
2023-06-23,10.2100,10.4100,9.7700,10.4000,841393
2023-06-22,10.7300,10.7500,10.2150,10.3600,69837
2023-06-21,10.7100,10.8050,10.4500,10.7300,93878
2023-06-20,10.8500,10.9600,10.4300,10.6100,116726
2023-06-16,10.3000,11.0000,10.2500,10.9200,508275
2023-06-15,10.1500,10.2300,9.9600,10.2100,63103
2023-06-14,10.1900,10.1900,9.9000,10.0900,67041
2023-06-13,10.1500,10.2000,9.7600,10.1500,109076
2023-06-12,9.9900,10.2000,9.6500,10.1200,172660
2023-06-09,10.1000,10.1850,10.0000,10.0900,116864
2023-06-08,10.1300,10.2299,9.9900,10.1000,93676
2023-06-07,10.2900,10.3600,10.0501,10.0900,138363
2023-06-06,10.0400,10.2900,9.9800,10.2300,181116
2023-06-05,10.0100,10.2000,9.9600,9.9700,90426
2023-06-02,9.8900,10.3000,9.8500,10.0400,160057
2023-06-01,9.9000,9.9000,9.7450,9.8700,57601
2023-05-31,9.8900,9.9900,9.7700,9.8800,50609
2023-05-30,9.9700,9.9900,9.7000,9.8900,77062
2023-05-26,9.7100,10.0000,9.7100,9.8700,78653
2023-05-25,9.6000,10.0000,9.5000,9.8400,108777
2023-05-24,9.9800,9.9999,9.6500,9.6600,39043
2023-05-23,9.9000,10.0000,9.7400,10.0000,106031
2023-05-22,9.8200,9.9576,9.7000,9.8000,108419
2023-05-19,9.5400,9.8700,9.3900,9.8200,102818
2023-05-18,9.7200,9.7200,9.2600,9.3900,46708
2023-05-17,9.4700,9.7100,9.3600,9.6400,63213
2023-05-16,9.8800,9.8900,8.9300,9.4900,93794
2023-05-15,9.9200,10.0000,9.6500,9.8200,115299
2023-05-12,9.6500,9.7900,9.4000,9.7800,77103
2023-05-11,9.2500,9.6300,9.2100,9.5600,61442
2023-05-10,9.6700,9.8000,9.3650,9.3700,60900
2023-05-09,9.8100,9.8600,9.5300,9.6700,165336
2023-05-08,9.2800,9.8500,9.2000,9.8200,180929
2023-05-05,9.1800,9.1831,9.0400,9.1300,49565
2023-05-04,9.0700,9.3000,8.9900,9.1000,29091
2023-05-03,9.0000,9.2376,8.9500,8.9900,57982
2023-05-02,9.1300,9.1900,8.9400,9.0300,80734
2023-05-01,9.0300,9.2500,8.8700,9.1200,134385
2023-04-28,9.0000,9.1300,8.9900,9.0300,30333
2023-04-27,8.9400,9.1600,8.9400,9.0400,44601
2023-04-26,9.3900,9.3900,8.8900,8.9600,68008
2023-04-25,9.0500,9.4000,8.9800,9.3100,93971
2023-04-24,9.0700,9.5096,9.0700,9.1200,123757
2023-04-21,8.9800,9.2400,8.9700,9.0600,124957
2023-04-20,8.9600,9.5399,8.9600,9.0200,98275
2023-04-19,8.8300,9.1500,8.6000,9.0200,55879
2023-04-18,9.0800,9.0900,8.6500,8.7500,53911
2023-04-17,8.4500,9.1500,8.3400,9.0900,131812
2023-04-14,8.5300,8.7750,8.3900,8.5500,51380
2023-04-13,8.3800,8.7300,8.0900,8.6500,73153
2023-04-12,8.6700,8.7100,8.3650,8.3900,44884
2023-04-11,8.9600,8.9600,8.5800,8.6500,47817
2023-04-10,9.0700,9.1500,8.8000,8.8900,108719
2023-04-06,9.1500,9.2100,8.9550,9.0400,81133
2023-04-05,8.9900,9.1300,8.7500,9.0900,76166
2023-04-04,9.1000,9.1500,9.0000,9.0100,160861
2023-04-03,8.5100,9.1500,8.4400,9.0900,180953
2023-03-31,8.4400,8.4800,8.2700,8.3600,61484
2023-03-30,8.5400,8.5800,8.3000,8.3200,54440
2023-03-29,8.7500,8.7500,8.3400,8.4200,52778
2023-03-28,8.9100,9.1399,8.7500,8.7900,109373
2023-03-27,8.1200,9.0399,8.1200,8.9300,250294
2023-03-24,7.6000,8.1300,7.5469,8.0700,57585
2023-03-23,7.7300,7.8341,7.4600,7.5200,58904
