,DLNG_open,DLNG_high,DLNG_low,DLNG_close,DLNG_volume
2023-10-13,2.4800,2.6300,2.4700,2.5900,5858
2023-10-12,2.5000,2.6300,2.4700,2.5500,32627
2023-10-11,2.5300,2.6200,2.5300,2.5900,4535
2023-10-10,2.6100,2.6100,2.5200,2.5800,22215
2023-10-09,2.5600,2.5900,2.5600,2.5900,2866
2023-10-06,2.6600,2.7300,2.6100,2.6200,4345
2023-10-05,2.6200,2.6800,2.5100,2.5600,13737
2023-10-04,2.6600,2.7000,2.5100,2.5800,13741
2023-10-03,2.5500,2.6700,2.5500,2.5998,9601
2023-10-02,2.7900,2.7900,2.5500,2.5800,17575
2023-09-29,2.7157,2.7400,2.6500,2.7100,8126
2023-09-28,2.6200,2.7500,2.5300,2.7500,24786
2023-09-27,2.6430,2.7600,2.5600,2.6300,19022
2023-09-26,2.6900,2.6900,2.6000,2.6500,6576
2023-09-25,2.6800,2.6800,2.5200,2.6500,16756
2023-09-22,2.6300,2.6600,2.6300,2.6600,6078
2023-09-21,2.6700,2.7237,2.6300,2.6301,14366
2023-09-20,2.6900,2.7318,2.6700,2.6700,14768
2023-09-19,2.6700,2.7200,2.6700,2.7200,5575
2023-09-18,2.6700,2.7400,2.6700,2.7000,4492
2023-09-15,2.6200,2.7892,2.6200,2.7000,21921
2023-09-14,2.7200,2.7900,2.6450,2.7900,17573
2023-09-13,2.6568,2.7100,2.6568,2.6700,32767
2023-09-12,2.6300,2.6979,2.6100,2.6800,6676
2023-09-11,2.6400,2.7000,2.5900,2.6347,19330
2023-09-08,2.6700,2.7100,2.5500,2.6654,20790
2023-09-07,2.6400,2.8100,2.5800,2.6100,15292
2023-09-06,2.6500,2.7050,2.5800,2.6300,11396
2023-09-05,2.8100,2.8100,2.6500,2.6651,9070
2023-09-01,2.6700,2.7400,2.6700,2.7300,3399
2023-08-31,2.7100,2.7300,2.6800,2.7000,13301
2023-08-30,2.7100,2.8090,2.7000,2.7100,3170
2023-08-29,2.7200,2.8000,2.7200,2.7300,13781
2023-08-28,2.6900,2.7434,2.6900,2.7400,9310
2023-08-25,2.7000,2.8000,2.7000,2.7200,17904
2023-08-24,2.7500,2.7947,2.7300,2.7300,13951
2023-08-23,2.7000,2.8100,2.7000,2.7300,12480
2023-08-22,2.7000,2.7731,2.7000,2.7200,14692
2023-08-21,2.7500,2.7500,2.7110,2.7400,9307
2023-08-18,2.7200,2.8400,2.7008,2.7400,5169
2023-08-17,2.7951,2.8329,2.7000,2.7600,13871
2023-08-16,2.8600,2.8600,2.7600,2.8000,23137
2023-08-15,2.8000,2.8400,2.7582,2.7800,19895
2023-08-14,2.7600,2.8688,2.7500,2.7600,18156
2023-08-11,2.7800,2.9500,2.7520,2.7900,21081
2023-08-10,2.8500,2.9500,2.7945,2.8800,25459
2023-08-09,2.9300,2.9300,2.7700,2.7900,21048
2023-08-08,2.8000,2.8900,2.7600,2.8800,24543
2023-08-07,2.9000,2.9200,2.8400,2.8500,16179
2023-08-04,2.9200,2.9300,2.7900,2.8500,8295
2023-08-03,2.7700,2.9000,2.7700,2.8500,19248
2023-08-02,2.7500,2.8500,2.7000,2.8300,61954
2023-08-01,2.7600,2.9088,2.7600,2.8300,44342
2023-07-31,2.8500,3.0000,2.8000,2.8200,73502
2023-07-28,2.8300,2.9672,2.8300,2.9100,14205
2023-07-27,2.8900,2.9234,2.8100,2.8500,9289
2023-07-26,3.0000,3.0200,2.8900,2.8900,32971
2023-07-25,3.1200,3.1400,3.0000,3.0000,46992
2023-07-24,3.0000,3.1400,3.0000,3.1000,34979
2023-07-21,3.0000,3.1000,2.8900,3.0100,66334
2023-07-20,3.0600,3.1600,3.0000,3.1400,75976
2023-07-19,3.1300,3.1600,3.0000,3.0400,49363
2023-07-18,3.0000,3.1600,3.0000,3.1100,45922
2023-07-17,3.0700,3.1700,3.0200,3.0300,121531
2023-07-14,2.8300,3.0500,2.8300,3.0400,130289
2023-07-13,2.5000,2.8600,2.5000,2.8100,422412
2023-07-12,2.5700,2.6000,2.4900,2.5000,49547
2023-07-11,2.6000,2.6000,2.5700,2.5900,11651
2023-07-10,2.4900,2.6000,2.4601,2.5500,25295
2023-07-07,2.5123,2.5500,2.4800,2.5500,28693
2023-07-06,2.5000,2.5500,2.4500,2.4800,12480
2023-07-05,2.4700,2.5500,2.4550,2.5000,43623
2023-07-03,2.5100,2.5200,2.4000,2.4800,25465
2023-06-30,2.5600,2.5800,2.5000,2.5100,40458
2023-06-29,2.5400,2.6300,2.5100,2.5400,27899
2023-06-28,2.5400,2.6158,2.5200,2.5800,18876
2023-06-27,2.6000,2.6500,2.6000,2.6300,4573
2023-06-26,2.5560,2.6500,2.5560,2.6400,14451
2023-06-23,2.6600,2.7300,2.5100,2.5300,26599
2023-06-22,2.6200,2.7273,2.5911,2.6600,25001
2023-06-21,2.5600,2.7299,2.5500,2.6200,106499
2023-06-20,2.7500,2.8900,2.6700,2.8200,79465
2023-06-16,2.7500,2.7500,2.6300,2.7100,26983
2023-06-15,2.6100,2.7850,2.6000,2.6700,30454
2023-06-14,2.7000,2.7900,2.5500,2.5500,61781
2023-06-13,2.7100,2.8100,2.6788,2.7500,48993
2023-06-12,2.8700,2.9900,2.8100,2.8100,49122
2023-06-09,2.8100,3.0399,2.7600,2.8700,169661
2023-06-08,2.6200,2.8100,2.5875,2.7900,114757
2023-06-07,2.4800,2.6000,2.4800,2.5600,30305
2023-06-06,2.6200,2.6200,2.5100,2.5100,34390
2023-06-05,2.5600,2.6200,2.5000,2.5900,14865
2023-06-02,2.5100,2.5600,2.4800,2.5300,42262
2023-06-01,2.5000,2.5400,2.3800,2.5200,51681
2023-05-31,2.4000,2.6000,2.3800,2.5200,22529
2023-05-30,2.3500,2.5128,2.3500,2.4400,30018
2023-05-26,2.5300,2.5300,2.4400,2.4500,19750
2023-05-25,2.5700,2.5835,2.4900,2.5000,26033
2023-05-24,2.6200,2.6200,2.5900,2.6100,16400
2023-05-23,2.5600,2.6400,2.5500,2.5800,39310
2023-05-22,2.6100,2.6400,2.5300,2.5400,31164
2023-05-19,2.5300,2.6500,2.4300,2.5700,40212
2023-05-18,2.5900,2.6100,2.5200,2.5200,14176
2023-05-17,2.5200,2.6100,2.4000,2.6100,32733
2023-05-16,2.3300,2.5600,2.3100,2.5400,41997
2023-05-15,2.4300,2.4350,2.3200,2.3950,37541
2023-05-12,2.4400,2.4400,2.4001,2.4300,27479
2023-05-11,2.4300,2.4600,2.4000,2.4500,9875
2023-05-10,2.4800,2.4900,2.4000,2.4600,16184
2023-05-09,2.4900,2.5523,2.4000,2.4200,24446
2023-05-08,2.6300,2.6300,2.5100,2.5400,7804
2023-05-05,2.5700,2.6500,2.5035,2.5900,35932
