,ELME_open,ELME_high,ELME_low,ELME_close,ELME_volume
2023-10-26,13.5500,13.5900,13.3100,13.4000,682860
2023-10-25,13.5100,13.6600,13.3950,13.4200,359504
2023-10-24,13.6500,13.7500,13.5550,13.6400,474488
2023-10-23,13.7200,13.9050,13.5650,13.5800,663664
2023-10-20,14.0700,14.1350,13.8200,13.8200,860756
2023-10-19,13.9000,14.2250,13.8800,13.9800,638920
2023-10-18,14.0700,14.1200,13.8550,14.0000,618932
2023-10-17,14.0900,14.3650,14.0800,14.1400,594554
2023-10-16,14.0600,14.2300,13.9300,14.1700,763766
2023-10-13,14.2900,14.4590,13.8800,13.9500,402028
2023-10-12,14.2700,14.2700,14.0000,14.1500,998447
2023-10-11,14.1800,14.2950,14.1400,14.2900,479556
2023-10-10,13.8900,14.0950,13.8600,14.0600,537196
2023-10-09,13.5300,13.9500,13.5050,13.8900,312360
2023-10-06,13.4700,13.6850,13.3000,13.6200,450134
2023-10-05,13.4700,13.6200,13.4000,13.5500,513439
2023-10-04,13.3600,13.4700,13.2150,13.4700,324545
2023-10-03,13.4400,13.4400,13.1900,13.2700,611154
2023-10-02,13.6000,13.6300,13.4500,13.4700,605533
2023-09-29,13.7000,13.7700,13.4600,13.6400,830076
2023-09-28,13.5700,13.7550,13.4700,13.5200,857315
2023-09-27,13.8000,13.8600,13.4300,13.4900,739899
2023-09-26,13.7900,13.8600,13.6700,13.7300,768171
2023-09-25,13.8900,13.9900,13.8000,13.8600,546605
2023-09-22,14.3000,14.3000,14.0000,14.0000,807660
2023-09-21,14.6200,14.6200,14.2700,14.2700,607369
2023-09-20,14.8400,14.9850,14.6800,14.6800,475148
2023-09-19,14.6600,14.8500,14.6600,14.7700,540516
2023-09-18,14.8200,14.9600,14.5800,14.8300,963751
2023-09-15,14.7900,14.9300,14.7000,14.8800,1809385
2023-09-14,14.8700,15.0000,14.7800,14.8900,572383
2023-09-13,14.8400,15.0150,14.6900,14.7200,629747
2023-09-12,14.5800,14.8250,14.5800,14.8200,351185
2023-09-11,14.8600,14.9200,14.7300,14.8000,369302
2023-09-08,15.1400,15.1400,14.8600,14.8900,531992
2023-09-07,15.0400,15.2200,14.9500,15.1100,359959
2023-09-06,15.1100,15.1600,14.9600,15.0300,298936
2023-09-05,15.0400,15.0700,14.8442,15.0600,432475
2023-09-01,15.3500,15.5000,15.2100,15.2500,334654
2023-08-31,15.3400,15.4600,15.2750,15.3800,581500
2023-08-30,15.3700,15.4700,15.2600,15.3500,654512
2023-08-29,15.4300,15.4600,15.3300,15.4200,317758
2023-08-28,15.4000,15.5800,15.4000,15.4400,230208
2023-08-25,15.4200,15.5500,15.3350,15.3900,293443
2023-08-24,15.4800,15.6800,15.3500,15.3600,462580
2023-08-23,15.4300,15.5600,15.3450,15.5300,304888
2023-08-22,15.3100,15.4000,15.2300,15.3100,267354
2023-08-21,15.3000,15.3150,15.0600,15.2400,441283
2023-08-18,15.1200,15.4200,15.1200,15.3500,414554
2023-08-17,15.1700,15.3700,15.1350,15.2200,392198
2023-08-16,15.2600,15.3500,15.1500,15.1500,343077
2023-08-15,15.3500,15.3500,15.2100,15.2900,379898
2023-08-14,15.6800,15.6800,15.3800,15.4100,401012
2023-08-11,15.6200,15.8100,15.6100,15.7700,334203
2023-08-10,15.8300,16.0300,15.6300,15.6600,391073
2023-08-09,15.8200,15.8800,15.6500,15.7600,471067
2023-08-08,15.8500,15.8500,15.6200,15.7600,331620
2023-08-07,15.6300,15.9800,15.6300,15.9600,336474
2023-08-04,15.7400,15.9850,15.6400,15.6600,360884
2023-08-03,15.7700,15.8300,15.5700,15.7900,429043
2023-08-02,15.3600,15.8000,15.3100,15.7600,536046
2023-08-01,16.0900,16.2100,15.3900,15.4800,929348
2023-07-31,16.2600,16.3300,16.1100,16.2500,856971
2023-07-28,16.1400,16.2900,16.0783,16.1700,706286
2023-07-27,16.3800,16.4400,15.9650,16.0400,458884
2023-07-26,16.0100,16.3900,16.0100,16.3800,353696
2023-07-25,16.4500,16.5300,16.0700,16.0900,438567
2023-07-24,16.3900,16.5650,16.2650,16.4600,561518
2023-07-21,16.4900,16.5850,16.3600,16.3900,355524
2023-07-20,16.4500,16.4800,16.1850,16.4400,422245
2023-07-19,16.4200,16.5200,16.2200,16.4400,873199
2023-07-18,16.3100,16.6000,16.2100,16.2300,1500772
2023-07-17,16.5200,16.5600,16.3150,16.3600,645464
2023-07-14,16.5900,16.6800,16.4500,16.5500,445171
2023-07-13,16.7100,16.7900,16.6000,16.7200,659054
2023-07-12,17.0900,17.1900,16.7200,16.7600,726307
2023-07-11,16.4800,16.9000,16.4500,16.8800,563418
2023-07-10,16.3200,16.5150,16.2500,16.4900,604828
2023-07-07,16.4400,16.6400,16.4200,16.4200,783554
2023-07-06,16.3700,16.5650,16.1500,16.5100,397717
2023-07-05,16.5900,16.7600,16.3400,16.5600,640517
2023-07-03,16.4300,16.7200,16.4300,16.6500,339895
2023-06-30,16.5000,16.5000,16.1400,16.4400,942189
