,EQC-P-D_open,EQC-P-D_high,EQC-P-D_low,EQC-P-D_close,EQC-P-D_volume
2023-10-13,24.7800,24.8500,24.4352,24.6600,5686
2023-10-12,24.9001,24.9200,24.3600,24.7900,11136
2023-10-11,24.7600,24.8600,24.6300,24.7000,6442
2023-10-10,24.6700,24.9300,24.6268,24.6515,3797
2023-10-09,24.9500,24.9500,24.9500,24.9500,1320
2023-10-06,24.7650,24.7650,24.3201,24.3201,14999
2023-10-05,24.7000,24.7000,24.6000,24.7000,3345
2023-10-04,24.8100,24.8100,24.6480,24.6480,5831
2023-10-03,24.8500,24.8500,24.6250,24.8100,4041
2023-10-02,24.9800,24.9800,24.9501,24.9600,2556
2023-09-29,24.9000,25.2100,24.9000,25.0100,20937
2023-09-28,24.8100,24.8900,24.7650,24.8000,2781
2023-09-27,24.7000,24.9000,24.6800,24.7600,8129
2023-09-26,24.9400,24.9500,24.6501,24.9000,5201
2023-09-25,24.9568,24.9568,24.6401,24.9500,4448
2023-09-22,24.9000,24.9600,24.8823,24.9600,7708
2023-09-21,25.0100,25.0100,24.7900,24.7900,3340
2023-09-20,25.0775,25.1692,25.0532,25.0532,14746
2023-09-19,25.3099,25.3099,25.0500,25.0975,5554
2023-09-18,25.1000,25.1000,25.0300,25.0700,3313
2023-09-15,24.9900,25.0000,24.9700,25.0000,3997
2023-09-14,24.9900,25.0600,24.9900,25.0200,5264
2023-09-13,25.0500,25.0500,24.9450,24.9800,7896
2023-09-12,25.0200,25.0600,25.0100,25.0500,3990
2023-09-11,25.1200,25.2500,25.0000,25.1600,9218
2023-09-08,25.0588,25.1188,24.9825,25.1188,5627
2023-09-07,25.0300,25.0800,25.0000,25.0800,2814
2023-09-06,25.0600,25.0600,25.0000,25.0015,3592
2023-09-05,25.2000,25.2000,25.0300,25.0800,4289
2023-09-01,25.1000,25.1900,25.1000,25.1500,5592
2023-08-31,25.0000,25.2300,25.0000,25.1800,12349
2023-08-30,25.1000,25.1200,24.9400,25.0400,5572
2023-08-29,25.0636,25.1200,25.0110,25.0500,3314
2023-08-28,25.0200,25.1000,25.0200,25.1000,3679
2023-08-25,25.0200,25.0200,25.0200,25.0200,404
2023-08-24,25.0200,25.1150,25.0200,25.1150,1420
2023-08-23,24.9900,25.0300,24.9900,25.0300,1356
2023-08-22,25.0316,25.0700,25.0001,25.0001,1271
2023-08-21,25.0200,25.0800,25.0000,25.0000,5374
2023-08-18,25.1700,25.1700,25.0500,25.0500,1471
2023-08-17,25.0200,25.1400,25.0200,25.1000,3790
2023-08-16,25.0450,25.1050,25.0450,25.0500,2406
2023-08-15,25.1400,25.1400,25.0500,25.0501,1687
2023-08-14,25.0300,25.0300,25.0300,25.0300,612
2023-08-11,25.1000,25.1000,25.0242,25.1000,1128
2023-08-10,25.0553,25.2300,25.0553,25.1000,4580
