,EQC_open,EQC_high,EQC_low,EQC_close,EQC_volume
2023-10-26,18.8600,19.0600,18.6500,18.7600,1230304
2023-10-25,18.4100,18.7800,18.4100,18.7100,1199088
2023-10-24,18.2600,18.5500,18.2600,18.5300,985423
2023-10-23,18.2100,18.3200,18.1200,18.1900,1724175
2023-10-20,18.4100,18.4800,18.2700,18.3100,1109702
2023-10-19,18.4500,18.5200,18.2900,18.2900,1227288
2023-10-18,18.5700,18.6800,18.4700,18.5300,1139069
2023-10-17,18.6000,18.7950,18.5850,18.6600,843550
2023-10-16,18.6300,18.7050,18.4000,18.6300,1132843
2023-10-13,18.6300,18.6300,18.3600,18.5400,846856
2023-10-12,18.6500,18.8500,18.3800,18.5800,772299
2023-10-11,18.6900,18.8200,18.6500,18.6800,1018229
2023-10-10,18.7800,18.8800,18.6000,18.6100,1143735
2023-10-09,18.6400,19.0000,18.6400,18.8100,650014
2023-10-06,18.5600,18.7550,18.5600,18.7400,1211798
2023-10-05,18.5300,18.6700,18.5300,18.6500,829888
2023-10-04,18.2400,18.5300,18.2400,18.5300,1343792
2023-10-03,18.2200,18.2400,18.0950,18.1900,1465310
2023-10-02,18.3400,18.3650,18.1150,18.2400,1017609
2023-09-29,18.5400,18.5600,18.3500,18.3700,833805
2023-09-28,18.4800,18.6400,18.3900,18.4200,1439256
2023-09-27,18.4700,18.6000,18.4250,18.4400,1524851
2023-09-26,18.4500,18.5650,18.4200,18.5000,1085277
2023-09-25,18.4500,18.5400,18.4400,18.5200,1591902
2023-09-22,18.4400,18.5400,18.3700,18.5000,1413860
2023-09-21,18.6200,18.7100,18.4150,18.4700,1588741
2023-09-20,19.0500,19.1400,18.6600,18.6600,1012151
2023-09-19,18.9600,19.1100,18.9450,18.9600,812371
2023-09-18,18.8600,19.1350,18.8600,18.9300,649487
2023-09-15,19.0200,19.0600,18.8600,18.9000,2083282
2023-09-14,18.9400,19.1400,18.9000,19.0400,603191
2023-09-13,18.9700,19.0750,18.8600,18.8800,1145680
2023-09-12,19.0400,19.0900,18.9950,19.0000,441964
2023-09-11,19.0800,19.1800,18.9900,19.0700,458498
2023-09-08,18.9800,19.1200,18.9500,19.1000,481885
2023-09-07,19.1300,19.2000,18.9500,18.9500,665869
2023-09-06,18.9900,19.1000,18.9000,19.0900,768332
2023-09-05,18.9200,19.0550,18.8550,18.9800,641230
2023-09-01,19.1100,19.1500,18.9750,19.0100,570556
2023-08-31,19.0300,19.0800,18.9800,19.0300,850593
2023-08-30,18.9500,19.0390,18.9350,19.0000,636219
2023-08-29,18.9600,19.0550,18.8900,18.9900,573586
2023-08-28,19.1000,19.1400,18.9200,18.9300,664700
2023-08-25,19.2300,19.2600,19.0400,19.0800,426094
2023-08-24,19.1200,19.3950,19.0300,19.1400,533091
2023-08-23,19.1100,19.1900,18.9275,19.1600,628274
2023-08-22,19.0000,19.0400,18.8350,19.0200,938333
2023-08-21,18.7200,19.0000,18.6800,18.9400,1068368
2023-08-18,18.6500,18.9200,18.6500,18.7900,1025445
2023-08-17,18.6700,18.8350,18.6000,18.7500,1651237
2023-08-16,18.7000,18.7600,18.5500,18.6900,1084561
2023-08-15,18.6700,18.7800,18.4700,18.6800,1360748
2023-08-14,18.9200,18.9700,18.7550,18.7900,1126767
2023-08-11,19.1900,19.2900,18.9400,18.9700,1391967
2023-08-10,19.4300,19.4600,19.2150,19.2600,2156829
2023-08-09,19.4900,19.5200,19.2500,19.3800,1021326
2023-08-08,19.3800,19.4800,19.2850,19.4500,881463
2023-08-07,19.2900,19.5400,19.1700,19.4700,940177
2023-08-04,19.4400,19.5900,19.1735,19.3300,968017
2023-08-03,19.4700,19.5500,19.2700,19.5100,944227
2023-08-02,19.6900,19.7200,19.4550,19.5700,681539
2023-08-01,19.6100,19.7900,19.4000,19.7300,1048539
2023-07-31,19.9900,19.9900,19.5000,19.5900,1294829
2023-07-28,20.0700,20.2400,19.8600,19.9800,950667
2023-07-27,20.2100,20.5600,19.8000,19.9700,1360919
2023-07-26,20.4300,20.5900,20.3200,20.5000,1222954
2023-07-25,20.5200,20.7450,20.4700,20.5300,1578756
2023-07-24,20.4000,20.6100,20.4000,20.6000,514869
2023-07-21,20.5500,20.5500,20.4000,20.4500,691804
2023-07-20,20.5500,20.5500,20.3850,20.5000,473885
2023-07-19,20.6100,20.6700,20.4200,20.5200,436416
2023-07-18,20.3300,20.6600,20.3300,20.3700,772553
2023-07-17,20.4700,20.5000,20.2600,20.3700,707196
2023-07-14,20.4600,20.5150,20.3900,20.4700,467432
2023-07-13,20.3400,20.5700,20.3400,20.5200,551935
2023-07-12,20.5300,20.5850,20.3600,20.3800,591288
2023-07-11,20.2900,20.4000,20.2400,20.3800,509920
2023-07-10,20.2400,20.3550,20.2000,20.2600,454643
2023-07-07,20.1000,20.4500,20.1000,20.3300,508383
2023-07-06,20.2400,20.2450,20.0100,20.2100,798675
2023-07-05,20.5600,20.7150,20.3100,20.4500,847528
2023-07-03,20.1700,20.5000,20.1500,20.4500,463597
2023-06-30,20.4000,20.4350,20.0700,20.2600,1488813
2023-06-29,20.2000,20.5200,20.1975,20.3800,1002984
2023-06-28,20.3500,20.3700,20.1000,20.2100,1027326
2023-06-27,20.4200,20.4200,20.2400,20.3500,950786
2023-06-26,20.2700,20.5250,20.2100,20.3700,608718
2023-06-23,20.5300,20.5700,20.2400,20.2700,2001247
2023-06-22,20.8200,20.8200,20.5289,20.6700,620391
2023-06-21,20.7200,20.8800,20.5700,20.7500,650437
2023-06-20,21.0500,21.1000,20.7500,20.8100,629051
2023-06-16,21.4400,21.4400,21.1400,21.1900,1054873
2023-06-15,21.1700,21.2700,20.9950,21.2700,799391
2023-06-14,21.2200,21.4850,21.0900,21.3000,1313702
2023-06-13,20.7200,20.9500,20.6800,20.7900,939434
2023-06-12,20.6900,20.7900,20.5300,20.6800,747218
2023-06-09,20.8700,20.8950,20.7450,20.8300,531239
2023-06-08,21.0500,21.0500,20.7600,20.8800,760503
2023-06-07,20.7500,21.3300,20.7500,21.1900,1425485
2023-06-06,20.6000,20.7300,20.4700,20.6100,771999
2023-06-05,20.5900,20.7000,20.5000,20.6000,817095
2023-06-02,20.7200,20.8100,20.6500,20.6900,861913
2023-06-01,20.4700,20.6300,20.2500,20.5700,625181
2023-05-31,20.5000,20.5900,20.2900,20.4500,1199802
2023-05-30,20.6500,20.7050,20.4550,20.4900,893913
2023-05-26,20.5400,20.7650,20.4500,20.7000,675043
2023-05-25,20.9800,20.9800,20.5150,20.5700,773982
2023-05-24,21.2800,21.2900,20.9350,20.9900,853028
2023-05-23,21.2800,21.4150,21.2600,21.2700,650690
2023-05-22,21.1500,21.3400,20.9300,21.2000,767552
2023-05-19,21.2400,21.2700,21.0300,21.1400,1354490
2023-05-18,20.8200,21.1900,20.6400,21.1500,1179040
2023-05-17,20.7000,21.0200,20.6890,20.9400,1045701
2023-05-16,20.4600,20.7500,20.3800,20.7000,726613
2023-05-15,20.6900,20.6900,20.3700,20.4500,541385
2023-05-12,20.5400,20.6700,20.3700,20.5700,540211
2023-05-11,20.4200,20.6300,20.3800,20.5700,1382216
2023-05-10,20.6200,20.7000,20.4900,20.5800,656280
2023-05-09,20.2300,20.6950,20.2100,20.5600,979135
2023-05-08,20.7600,20.7600,20.3200,20.3900,679504
2023-05-05,20.8400,21.0853,20.7300,20.8200,973535
2023-05-04,20.2000,20.8450,19.9900,20.7000,874847
2023-05-03,20.5100,20.6500,20.4000,20.4000,1075524
2023-05-02,20.4400,20.5600,20.2400,20.4600,557649
2023-05-01,20.6900,20.7950,20.5200,20.5400,672585
2023-04-28,20.7600,20.9100,20.6800,20.7200,680546
2023-04-27,20.5800,20.8250,20.5700,20.8100,733952
2023-04-26,20.3100,20.6100,20.3100,20.5200,887652
2023-04-25,20.3300,20.4700,20.2200,20.4500,964960
2023-04-24,20.5700,20.7000,20.3300,20.4100,718233
2023-04-21,20.7300,20.7500,20.5050,20.6200,470254
2023-04-20,20.6400,20.7900,20.6000,20.6600,692673
2023-04-19,20.4300,20.7250,20.3400,20.7000,604965
2023-04-18,20.8000,20.8000,20.4100,20.5200,548139
2023-04-17,20.6900,20.8650,20.5700,20.8300,604975
2023-04-14,20.8900,21.0200,20.5300,20.6700,741185
2023-04-13,20.9000,20.9689,20.8150,20.9300,621272
2023-04-12,20.9500,21.0200,20.8650,20.9100,789020
2023-04-11,20.9600,21.1400,20.9000,20.9000,1040216
2023-04-10,21.0200,21.0600,20.8350,20.9600,1010514
2023-04-06,20.7500,21.0200,20.6950,21.0100,948302
2023-04-05,20.3100,20.6200,20.3100,20.6100,1026085
2023-04-04,20.3000,20.4650,20.1300,20.4300,948614
2023-04-03,20.6100,20.6800,20.1900,20.2900,1080465
2023-03-31,20.5000,20.7200,20.4100,20.7100,1287108
2023-03-30,20.2700,20.4300,20.1500,20.4100,1057475
2023-03-29,20.0900,20.1800,20.0000,20.1600,1008560
2023-03-28,19.9700,20.2100,19.8900,19.9400,811906
2023-03-27,20.2700,20.3600,20.0700,20.0800,941832
2023-03-24,19.8100,20.2100,19.8000,20.1600,871778
2023-03-23,20.0000,20.1100,19.7800,19.8700,1151354
2023-03-22,20.2800,20.3300,19.9250,19.9900,1334806
2023-03-21,20.5500,20.5500,20.1850,20.4300,1413790
