,FLR_open,FLR_high,FLR_low,FLR_close,FLR_volume
2023-10-13,37.1700,37.2950,35.5500,36.1500,1835487
2023-10-12,37.8600,37.9100,36.6900,37.0100,1320323
2023-10-11,37.3000,37.8100,37.1000,37.7200,1212604
2023-10-10,37.0500,37.7500,37.0000,37.3000,2083927
2023-10-09,36.6500,36.9900,36.5100,36.6400,1555386
2023-10-06,35.0200,36.9100,34.8800,36.6700,1714541
2023-10-05,35.2200,35.6900,34.7500,35.0500,1861942
2023-10-04,35.6300,36.0200,34.8900,35.4600,2889561
2023-10-03,35.3600,35.5299,34.3300,34.6200,1988461
2023-10-02,36.5100,36.6400,35.0800,35.5800,1924664
2023-09-29,36.8800,37.1400,36.2800,36.7000,1694567
2023-09-28,36.3700,37.2000,36.2700,36.6200,1316358
2023-09-27,36.5200,37.0700,36.2800,36.6600,1709996
2023-09-26,36.0900,37.2400,36.0000,36.3300,2567568
2023-09-25,36.0300,36.5400,35.6200,36.1900,4758427
2023-09-22,37.5400,37.9100,36.6600,36.8700,1069273
2023-09-21,37.5000,37.6800,36.9600,37.4000,1061489
2023-09-20,38.2200,38.8700,37.6950,37.7100,1742276
2023-09-19,36.7200,38.6900,36.6100,38.2000,4881874
2023-09-18,35.7100,36.8250,35.4400,36.6000,1525311
2023-09-15,35.6800,36.1000,35.3200,35.5600,3423844
2023-09-14,34.5700,35.6700,34.4717,35.5900,1521865
2023-09-13,35.1100,35.2650,34.0400,34.1800,1178905
2023-09-12,35.1500,35.7300,35.1000,35.1200,786696
2023-09-11,35.1500,35.4400,34.9600,35.2200,1246660
2023-09-08,35.3000,35.3450,34.7400,35.0000,4696773
2023-09-07,35.8300,36.1400,35.1600,35.3800,3486375
2023-09-06,36.3600,36.7400,35.7000,36.1700,1246117
2023-09-05,35.4500,36.6400,35.4000,36.3900,3015522
2023-09-01,35.2400,36.0800,35.1950,35.7000,1584314
2023-08-31,34.8900,35.7400,34.7800,34.9900,1795078
2023-08-30,34.3600,34.9000,34.3000,34.7800,1192903
2023-08-29,34.3500,34.6400,34.0900,34.2600,1010378
2023-08-28,33.8800,34.7000,33.8800,34.4900,2798672
2023-08-25,32.9300,34.1500,32.7531,33.7200,2094579
2023-08-24,33.0000,33.3200,32.6100,32.7400,1706984
2023-08-23,33.4000,33.4700,32.8300,33.1200,1714818
2023-08-22,33.8800,34.0180,33.1700,33.3200,1331727
2023-08-21,33.4500,33.8100,33.1300,33.7400,1280971
2023-08-18,32.7100,33.5500,32.6000,33.4000,1239670
2023-08-17,33.8000,34.0300,33.0200,33.0300,1580353
2023-08-16,34.4400,34.6700,33.6400,33.6400,1773002
2023-08-15,34.5300,34.7400,34.0200,34.3700,1560297
2023-08-14,34.6000,35.2100,34.5200,34.7800,1377395
2023-08-11,34.9700,35.2900,34.6000,34.6600,1556278
2023-08-10,35.5800,35.9159,34.5350,34.7800,2205159
2023-08-09,35.5600,35.6100,34.7205,35.3400,2406592
2023-08-08,34.2500,35.5800,34.1000,35.3900,5443897
2023-08-07,34.6300,34.9650,33.7100,34.2400,8486320
2023-08-04,36.7800,37.2000,34.3800,35.9400,8023917
2023-08-03,31.0000,31.4600,30.7300,31.1000,2333547
2023-08-02,30.8400,31.2100,30.6500,31.0800,942299
2023-08-01,30.7800,31.4300,30.7300,31.2300,1115398
2023-07-31,30.8400,31.2900,30.8400,30.9800,907955
2023-07-28,30.4700,31.0650,30.3800,30.6400,978229
2023-07-27,31.1100,31.1100,30.0900,30.2400,722010
2023-07-26,30.6600,31.1050,30.6600,30.7900,1078328
2023-07-25,30.6600,30.8700,30.5300,30.7600,809128
2023-07-24,30.3200,30.9000,30.1100,30.7100,1027549
2023-07-21,31.0200,31.1200,30.3000,30.3600,1283364
2023-07-20,31.4700,31.5300,30.5650,30.7300,1121087
2023-07-19,31.5500,31.7500,30.9800,31.2900,1851455
2023-07-18,30.6400,31.6000,30.6400,31.5600,1497443
2023-07-17,30.2100,30.5500,29.9400,30.5400,1945281
2023-07-14,31.0000,31.0000,30.0600,30.2300,933830
2023-07-13,31.1000,31.2400,30.6900,31.0000,1027744
2023-07-12,31.5800,31.6500,30.9300,31.0400,1405132
2023-07-11,29.9700,30.9000,29.9600,30.9000,2577492
2023-07-10,29.3900,29.8100,29.2300,29.7300,1980948
2023-07-07,28.6500,29.6050,28.6300,29.4300,1793132
2023-07-06,28.6400,28.8700,28.0200,28.6100,906113
2023-07-05,29.4100,29.4450,28.8700,28.8900,1638486
2023-07-03,29.3100,29.7100,29.2100,29.6100,566866
2023-06-30,30.0000,30.0000,29.5450,29.6000,1014256
2023-06-29,28.7900,29.7100,28.7900,29.6900,967665
2023-06-28,29.1100,29.1100,28.7425,28.9300,1056075
2023-06-27,28.7800,29.3400,28.5200,29.1300,2260200
2023-06-26,28.2600,28.9700,28.2600,28.6300,819327
2023-06-23,28.0000,28.5850,27.9500,28.3700,1664333
2023-06-22,29.3100,29.3500,28.4300,28.4600,1271242
2023-06-21,28.7200,29.4450,28.6400,29.3800,900328
2023-06-20,28.7900,29.0100,28.6100,28.9400,985492
2023-06-16,29.6600,29.7000,29.0000,29.0900,1537691
2023-06-15,29.0600,29.6300,28.7400,29.4400,1311085
2023-06-14,29.8700,29.9450,29.0600,29.4100,900566
2023-06-13,29.4900,30.0500,29.4250,29.5700,1079598
2023-06-12,29.2200,29.4850,28.9559,29.2700,862095
2023-06-09,29.5600,29.6750,28.8200,29.1200,1152105
2023-06-08,29.7800,30.1600,29.5400,29.8500,1245464
