,FNF_open,FNF_high,FNF_low,FNF_close,FNF_volume
2023-10-26,37.4800,39.0100,37.4800,38.9200,3033892
2023-10-25,37.6600,37.7500,37.2100,37.3700,1319157
2023-10-24,37.7600,38.0300,37.5300,37.5400,990565
2023-10-23,37.5100,37.8700,37.0950,37.6100,1038211
2023-10-20,38.2600,38.4100,37.6700,37.8000,1216269
2023-10-19,39.2900,39.5500,38.2050,38.4100,1572922
2023-10-18,39.6300,39.7400,39.1500,39.3100,1412148
2023-10-17,39.9400,40.6900,39.4400,40.2600,1689077
2023-10-16,39.6800,40.1500,39.6200,40.0900,914412
2023-10-13,39.5100,39.6800,39.1700,39.3800,749604
2023-10-12,39.9100,39.9100,38.8500,39.3100,1014150
2023-10-11,39.2500,39.9100,39.2400,39.8900,1119349
2023-10-10,39.5300,39.8000,38.9000,39.0500,1426686
2023-10-09,39.3200,39.7800,39.2000,39.3700,877931
2023-10-06,39.4400,39.9300,39.1700,39.3200,1390455
2023-10-05,38.9400,39.8380,38.8000,39.6200,1995341
2023-10-04,38.9600,39.2900,38.6050,39.0100,2155543
2023-10-03,39.1900,39.1900,38.4450,38.9000,2216148
2023-10-02,40.7900,40.7900,39.2500,39.3100,3555252
2023-09-29,41.4300,41.7750,41.0100,41.3000,3007987
2023-09-28,41.0800,41.5100,40.9800,41.3300,1686906
2023-09-27,41.0200,41.1350,40.3800,41.0000,2487298
2023-09-26,41.2900,41.5000,40.7750,40.8900,3597319
2023-09-25,41.5000,41.5500,41.1700,41.4400,4160393
2023-09-22,41.8700,41.9000,41.4350,41.5200,1588232
2023-09-21,42.0000,42.1100,41.6500,41.8000,2313659
2023-09-20,43.2400,43.3250,42.1150,42.2100,3088602
2023-09-19,42.9400,43.2700,42.8308,43.0300,4091901
2023-09-18,42.5200,43.0800,42.3300,42.7900,2891469
2023-09-15,42.4800,42.9500,42.1700,42.8200,36078821
2023-09-14,42.5300,42.8100,42.2700,42.2900,2613881
2023-09-13,42.7400,42.7980,41.8300,42.6200,3019822
2023-09-12,43.1900,43.6600,42.5900,42.6500,2170981
2023-09-11,42.9700,43.4100,42.8125,42.8900,1789127
2023-09-08,43.0200,43.6200,42.7400,42.8000,2428164
2023-09-07,42.3000,43.1800,42.2300,42.9900,4436151
2023-09-06,42.0000,42.7000,41.9600,42.3000,2747046
2023-09-05,42.9000,43.8300,42.1500,42.1800,4615571
2023-09-01,41.8000,42.2500,41.5300,41.9500,1489323
2023-08-31,41.0800,41.4600,40.9500,41.4000,1493281
2023-08-30,40.7800,41.2400,40.6700,41.2200,1016837
2023-08-29,40.3000,41.0000,40.0900,40.8800,1366313
2023-08-28,40.1200,40.4700,39.9000,40.2400,454364
2023-08-25,40.2400,40.3250,39.5300,40.0100,673209
2023-08-24,39.8100,40.4700,39.7800,40.1400,829183
2023-08-23,39.5700,40.0500,39.4200,39.9600,509751
2023-08-22,39.8700,39.9400,39.4950,39.6000,751002
2023-08-21,40.6600,40.6600,39.6600,39.9300,717253
2023-08-18,40.6400,41.0000,40.4587,40.6000,1004464
2023-08-17,41.2100,41.4200,40.7200,40.8600,730044
2023-08-16,41.0100,41.4017,40.8900,41.0300,1150531
2023-08-15,41.6700,41.6700,41.0000,41.0200,1510059
2023-08-14,42.0500,42.1200,41.6000,42.0400,1194334
2023-08-11,41.6400,42.1900,41.5900,42.1100,1119904
2023-08-10,41.4500,42.2629,41.1350,41.8300,1504633
2023-08-09,40.0000,41.1400,39.8250,40.7700,1354051
2023-08-08,39.4100,39.6900,39.0000,39.6500,1325767
2023-08-07,39.5200,40.1000,39.4300,39.8800,987178
2023-08-04,38.9600,39.8900,38.8000,39.4800,1000686
2023-08-03,38.9300,39.0300,38.5800,38.8300,617535
2023-08-02,39.1000,39.1900,38.7900,39.0400,588046
2023-08-01,39.0800,39.4700,39.0000,39.3200,1777626
2023-07-31,39.3300,39.6000,39.0000,39.1700,1258667
2023-07-28,39.2200,39.4100,38.9350,39.0500,910561
2023-07-27,38.8700,39.9900,38.6050,38.7400,1417867
2023-07-26,37.9900,38.4400,37.9300,38.2900,866805
2023-07-25,38.0000,38.2500,37.9100,37.9700,1063960
2023-07-24,37.9500,38.2300,37.9100,38.0000,609953
2023-07-21,38.2600,38.3000,37.8800,38.0400,910111
2023-07-20,38.3500,38.4200,37.7700,38.0300,1154943
2023-07-19,38.2100,38.4600,38.0850,38.3400,587128
2023-07-18,38.1500,38.6200,37.8300,38.0500,957405
2023-07-17,37.5900,38.1550,37.5100,37.9700,791101
2023-07-14,38.3800,38.3800,37.4400,37.7800,1177605
2023-07-13,37.1100,38.3900,37.1100,38.3800,1570188
2023-07-12,36.8800,37.2850,36.5500,37.1100,1055265
2023-07-11,36.2500,36.7300,36.2450,36.4100,1759921
