,GIL_open,GIL_high,GIL_low,GIL_close,GIL_volume
2023-10-13,28.8600,29.2600,28.8600,29.2600,477106
2023-10-12,29.5500,29.5500,28.5800,28.8900,422650
2023-10-11,28.9500,29.5800,28.9500,29.5300,511187
2023-10-10,28.6900,29.1900,28.5800,28.8500,421926
2023-10-09,28.0500,28.5500,28.0500,28.5000,287654
2023-10-06,27.8500,28.4700,27.7400,28.2500,476641
2023-10-05,28.1400,28.2000,27.8000,28.0000,234616
2023-10-04,27.7200,28.2800,27.7200,28.0900,445289
2023-10-03,27.6200,27.8300,27.5300,27.7500,519529
2023-10-02,28.0200,28.2800,27.7250,27.7400,408052
2023-09-29,28.1000,28.3450,27.8900,28.0100,456184
2023-09-28,27.6600,27.8450,27.4900,27.7400,289691
2023-09-27,27.3000,27.7000,27.0850,27.6600,474560
2023-09-26,27.4700,27.7300,27.1100,27.1500,452066
2023-09-25,27.1600,27.7000,26.9900,27.6700,363101
2023-09-22,27.4700,27.6350,27.1600,27.2500,441976
2023-09-21,27.7200,27.7200,27.2900,27.3400,601222
2023-09-20,28.0000,28.4000,27.8700,27.9600,342290
2023-09-19,28.2300,28.3400,27.6100,27.9000,277857
2023-09-18,28.3700,28.3700,28.0700,28.1600,349789
2023-09-15,28.0300,28.5300,27.8800,28.3700,712033
2023-09-14,28.5200,28.6900,28.0800,28.1500,627808
2023-09-13,28.5800,28.6100,28.1400,28.3200,452189
2023-09-12,28.2500,28.8500,28.2400,28.7000,227399
2023-09-11,28.3800,28.5500,28.2200,28.3100,468606
2023-09-08,28.2900,28.4050,28.1200,28.1900,263198
2023-09-07,28.5100,28.7000,28.1900,28.2700,271056
2023-09-06,29.1300,29.3900,28.7000,28.7400,314111
2023-09-05,29.9800,30.0600,29.2500,29.2700,342364
2023-09-01,30.0500,30.2900,29.7400,30.1700,290119
2023-08-31,30.1700,30.1800,29.7000,29.8200,374661
2023-08-30,29.9200,30.2200,29.8900,30.1400,296756
2023-08-29,29.3600,30.2600,29.0900,30.0000,489418
2023-08-28,29.1800,29.4800,28.8800,29.1300,437339
2023-08-25,28.8000,29.0700,28.5800,29.0200,457384
2023-08-24,29.0200,29.1200,28.6300,28.6400,223854
2023-08-23,28.7000,29.3200,28.5100,29.1100,246028
2023-08-22,29.2700,29.2700,28.8000,28.9600,426934
2023-08-21,30.0900,30.1200,29.2400,29.3000,657398
2023-08-18,29.8200,30.0200,29.6600,29.9200,242933
2023-08-17,30.3900,30.6500,29.9300,30.0800,452207
2023-08-16,30.1600,30.4350,29.9750,30.2600,374205
2023-08-15,30.3800,30.5900,29.9900,30.2700,683647
2023-08-14,30.4500,30.6600,30.2800,30.6500,310768
2023-08-11,30.7300,31.0200,30.5900,30.7000,240529
2023-08-10,30.4000,31.3400,30.4000,30.8000,326857
2023-08-09,31.0900,31.1100,30.1300,30.3500,595415
2023-08-08,31.0300,31.2100,30.4100,31.1600,589784
2023-08-07,31.0400,31.8800,31.0400,31.3300,359671
2023-08-04,30.3900,31.2550,30.2700,30.8600,701425
2023-08-03,29.8300,30.8400,28.9500,30.1200,1448993
2023-08-02,30.7400,30.9600,30.4400,30.6600,610923
2023-08-01,30.9400,31.2500,30.7400,31.0500,447395
2023-07-31,31.2800,31.5200,31.0000,31.1000,588188
