,GNE_open,GNE_high,GNE_low,GNE_close,GNE_volume
2023-10-13,18.7200,19.1200,18.6000,18.9100,135102
2023-10-12,18.3600,18.9000,18.2800,18.5700,132475
2023-10-11,17.5600,18.2500,17.5600,18.2400,129388
2023-10-10,16.7400,17.6600,16.7400,17.4900,160618
2023-10-09,16.0600,16.6100,16.0500,16.5700,100422
2023-10-06,15.6800,16.0400,15.6100,16.0300,44678
2023-10-05,15.3800,15.8000,15.1900,15.7000,82295
2023-10-04,15.0600,15.3500,14.8500,15.3500,77569
2023-10-03,14.5300,15.2300,14.5300,15.1100,107259
2023-10-02,14.7000,14.7000,14.2100,14.5800,92990
2023-09-29,14.8500,14.8900,14.5600,14.7300,72445
2023-09-28,14.9100,15.0000,14.6400,14.8100,61019
2023-09-27,15.3000,15.4940,14.8000,14.9000,72010
2023-09-26,14.9600,15.3000,14.9600,15.3000,43592
2023-09-25,14.8600,15.1000,14.7100,15.0000,59489
2023-09-22,15.2000,15.3500,14.8600,15.0300,67624
2023-09-21,14.9300,15.3100,14.8393,15.1900,71084
2023-09-20,15.0000,15.3000,14.9100,14.9300,81414
2023-09-19,14.6600,15.0700,14.5745,14.9100,99178
2023-09-18,15.0500,15.1200,14.5500,14.6400,101726
2023-09-15,14.7800,15.4100,14.6700,15.3100,225440
2023-09-14,14.5200,14.8300,14.4400,14.8200,71363
2023-09-13,14.5500,14.7200,14.3700,14.4800,81298
2023-09-12,14.5900,14.7400,14.4700,14.5100,60038
2023-09-11,14.6800,14.7300,14.5113,14.6400,52899
2023-09-08,14.8200,14.8850,14.5194,14.6900,78308
2023-09-07,15.0500,15.1100,14.8900,14.9400,84166
2023-09-06,15.0200,15.1600,14.8840,14.9900,49140
2023-09-05,15.3400,15.6500,14.7600,14.9800,92233
2023-09-01,15.3500,15.5500,15.2050,15.3400,95469
2023-08-31,15.9800,15.9800,15.2600,15.3100,92305
2023-08-30,15.9800,16.1300,15.8000,15.8200,94280
2023-08-29,15.4400,15.9700,15.1200,15.9700,106648
2023-08-28,15.4500,15.6700,15.4150,15.5300,46717
2023-08-25,15.2200,15.4950,15.0974,15.3900,60195
2023-08-24,15.5200,15.6900,15.0900,15.1700,80529
2023-08-23,15.4100,15.6399,15.3300,15.5800,99607
2023-08-22,15.2900,15.4700,15.0750,15.3300,106266
2023-08-21,15.6200,15.7400,15.3350,15.4000,67082
2023-08-18,15.1300,15.6800,14.8600,15.5000,147745
2023-08-17,15.5400,15.5500,14.9600,15.2000,96237
2023-08-16,15.2300,15.7000,15.1900,15.5500,86102
2023-08-15,15.3700,15.5676,15.0800,15.2300,58153
2023-08-14,15.2900,15.5900,15.1300,15.4500,78807
2023-08-11,14.9900,15.5900,14.9200,15.3700,71366
2023-08-10,15.0800,15.2499,14.8200,15.0500,89768
2023-08-09,14.9700,15.6900,14.9300,15.1000,157591
2023-08-08,14.6500,15.1400,14.3480,14.8800,119251
2023-08-07,14.1300,14.8999,13.8700,14.5800,129157
2023-08-04,13.6600,13.9100,13.5800,13.6700,61337
2023-08-03,13.4100,13.7600,13.3200,13.6400,87627
2023-08-02,13.2200,13.5299,13.0700,13.4800,92202
2023-08-01,13.3700,13.5000,13.1900,13.4100,69341
2023-07-31,13.3500,13.5650,13.2600,13.4100,70293
2023-07-28,13.3700,13.3900,13.2100,13.3700,70815
2023-07-27,13.6500,13.6500,13.1300,13.2000,70351
2023-07-26,13.7700,13.9900,13.5800,13.6400,71688
2023-07-25,13.8300,14.0500,13.6240,13.7700,77655
2023-07-24,13.6300,13.9550,13.5500,13.8300,73449
2023-07-21,13.8500,13.9550,13.5700,13.6000,85249
2023-07-20,13.6500,13.8300,13.6200,13.7400,72206
2023-07-19,13.9900,14.1233,13.5500,13.6300,93939
2023-07-18,13.7000,13.9600,13.7000,13.9200,79080
2023-07-17,13.3100,13.8400,13.3100,13.7000,98718
2023-07-14,13.2300,13.4700,12.9550,13.3600,102264
2023-07-13,13.3200,13.4600,13.1900,13.2800,93920
2023-07-12,13.3300,13.4900,13.2250,13.2900,96914
2023-07-11,13.5600,13.5600,12.9500,13.2000,175702
2023-07-10,13.4600,13.7600,13.3400,13.5600,126018
2023-07-07,13.4600,13.7750,13.4400,13.5700,197772
2023-07-06,13.7600,13.7600,13.3780,13.4900,121770
2023-07-05,13.9800,14.1100,13.7400,13.8700,131725
2023-07-03,13.8300,14.1799,13.8300,14.0200,95958
2023-06-30,14.1300,14.4300,14.1000,14.1400,354969
2023-06-29,13.7800,14.1100,13.7800,14.0300,114326
2023-06-28,13.5500,13.8600,13.3200,13.7800,145821
2023-06-27,13.2600,13.8200,13.2600,13.5900,128743
2023-06-26,13.1000,13.8000,13.0700,13.3700,190226
2023-06-23,14.0600,14.2700,13.0400,13.1500,2783905
2023-06-22,14.4100,14.6000,14.1200,14.2300,131698
2023-06-21,14.2100,14.5450,14.0950,14.3300,126424
2023-06-20,13.8500,14.4900,13.8000,14.0900,160063
2023-06-16,13.9500,14.1300,13.6200,13.8500,204056
2023-06-15,14.0700,14.2250,13.6900,14.0200,97576
2023-06-14,14.0000,14.3200,13.9000,14.0700,92619
2023-06-13,14.1200,14.3600,14.0100,14.0300,105190
2023-06-12,14.1500,14.3466,14.0200,14.0600,101787
2023-06-09,14.1900,14.3500,14.0410,14.2000,84620
2023-06-08,14.3300,14.4000,14.0060,14.2500,114866
2023-06-07,14.0100,14.4000,13.8950,14.2100,140395
2023-06-06,13.3100,14.0950,13.3100,13.9900,145399
2023-06-05,14.2200,14.2200,13.3800,13.4900,158935
2023-06-02,14.5700,14.5750,14.1500,14.2000,147715
2023-06-01,14.0000,14.7700,14.0000,14.2400,151326
2023-05-31,14.1700,14.3300,13.7400,14.0900,147110
2023-05-30,15.5400,15.5400,14.1200,14.1700,117995
2023-05-26,15.2000,15.6600,15.0600,15.5900,188212
2023-05-25,15.2000,15.2200,14.9000,14.9400,118492
2023-05-24,14.9700,15.2200,14.9176,15.0800,127123
2023-05-23,14.6400,15.2400,14.6400,14.9700,110251
2023-05-22,15.6300,15.8555,14.6400,14.6500,219333
2023-05-19,15.3100,16.0150,15.1950,15.5500,255600
2023-05-18,15.0100,15.3100,14.9800,15.1200,108719
2023-05-17,15.5200,15.6627,14.8700,15.1400,152963
2023-05-16,16.1400,16.8599,15.4251,15.5300,139371
2023-05-15,15.9500,16.1600,15.6500,16.1600,124543
2023-05-12,15.5500,15.9700,15.4850,15.8900,127787
2023-05-11,14.6400,15.4600,14.6400,15.3800,168597
2023-05-10,14.2600,14.4399,13.8050,14.3600,108495
2023-05-09,14.1100,14.3100,13.6750,14.1700,99041
2023-05-08,15.0900,15.1910,13.0901,14.1100,207200
2023-05-05,14.5800,15.3900,14.5800,15.3400,91796
2023-05-04,15.1600,15.1700,14.4300,14.5200,111800
2023-05-03,15.6700,15.6700,14.9350,15.2800,115646
2023-05-02,15.7800,15.9500,15.4300,15.5600,91369
2023-05-01,15.5600,15.9800,15.5100,15.8700,97669
2023-04-28,15.3800,15.7599,15.2388,15.5700,74912
2023-04-27,15.7100,15.8700,15.1901,15.4100,78747
2023-04-26,15.2300,15.6500,15.0300,15.5400,84720
2023-04-25,15.7600,15.9218,15.3000,15.3800,94322
2023-04-24,15.6400,15.9300,15.4000,15.9100,112983
2023-04-21,15.8000,15.9300,15.6135,15.7500,75158
2023-04-20,15.8000,15.8699,15.6300,15.7800,56353
2023-04-19,15.9500,15.9600,15.7596,15.8300,66514
2023-04-18,16.0000,16.3352,15.6200,15.7700,79684
2023-04-17,16.2000,16.3500,15.8200,16.0000,104319
2023-04-14,15.5600,16.1200,15.4052,16.0800,98015
2023-04-13,16.2700,16.6099,15.3800,15.6500,128120
2023-04-12,15.9400,16.4600,15.7050,16.2300,153963
2023-04-11,15.5500,15.9300,14.8325,15.8000,204646
2023-04-10,14.6900,15.8400,14.6800,15.5500,240311
2023-04-06,14.2400,14.7600,14.0300,14.5500,87591
2023-04-05,14.3900,14.7200,13.6400,14.1000,140423
2023-04-04,14.3500,14.8600,14.2401,14.4000,139214
2023-04-03,13.8500,14.4500,13.6500,14.3100,157179
2023-03-31,13.7000,13.8300,13.5500,13.8200,100967
2023-03-30,13.5500,13.8400,13.4800,13.6300,84648
2023-03-29,13.3600,13.9300,13.3000,13.4000,143017
2023-03-28,12.8500,13.2700,12.8100,13.2000,178752
2023-03-27,12.2000,13.1100,12.1374,12.8500,249881
