,HE_open,HE_high,HE_low,HE_close,HE_volume
2023-10-26,12.6100,13.4700,12.4500,13.3700,3469384
2023-10-25,12.1800,12.6600,12.1500,12.6400,1183634
2023-10-24,12.3600,12.4600,12.1200,12.3000,2332741
2023-10-23,12.2200,12.4200,11.9700,12.1700,2181189
2023-10-20,12.4400,12.6700,12.3400,12.3500,1676907
2023-10-19,12.6300,12.7600,12.4550,12.5000,1554968
2023-10-18,12.7500,13.0000,12.5450,12.6800,1498499
2023-10-17,12.4200,13.0200,12.4200,12.8500,2087413
2023-10-16,12.3700,12.6400,12.3050,12.6200,1452021
2023-10-13,12.1700,12.4050,12.1550,12.3000,1962079
2023-10-12,12.2600,12.2700,11.8000,12.0900,2070063
2023-10-11,12.5600,12.6914,12.2200,12.2400,1728660
2023-10-10,12.2500,12.5400,12.1400,12.5300,2596540
2023-10-09,11.8300,12.2618,11.8300,12.1100,1858745
2023-10-06,11.5100,11.9200,11.3400,11.8600,2518258
2023-10-05,11.6600,11.8400,11.5600,11.7200,2339302
2023-10-04,11.7400,11.8700,11.4100,11.6600,3336592
2023-10-03,11.8300,11.9200,11.6401,11.8800,2405905
2023-10-02,12.3000,12.3500,11.8500,11.9500,3106556
2023-09-29,12.4400,12.6550,12.0750,12.3100,2677851
2023-09-28,12.3400,12.6500,12.2600,12.4600,1889055
2023-09-27,12.4800,12.8150,12.3200,12.3700,2840070
2023-09-26,12.4200,12.7900,12.4100,12.5300,3020464
2023-09-25,12.4800,12.5500,12.0600,12.4600,2956209
2023-09-22,12.9300,12.9300,12.5500,12.5900,2510659
2023-09-21,13.2100,13.3100,12.7700,12.7700,3271540
2023-09-20,13.2800,13.3600,13.1800,13.3000,2385002
2023-09-19,13.0100,13.8500,12.9500,13.1800,5397309
2023-09-18,13.1500,13.1600,12.6500,13.0600,3465955
2023-09-15,13.1400,13.6150,13.0600,13.1200,22957907
2023-09-14,13.4900,13.7397,13.1000,13.2300,5015424
2023-09-13,13.1200,13.4499,12.9000,13.3100,4150833
2023-09-12,13.0200,13.1400,12.6200,13.0100,5668070
2023-09-11,12.4600,13.3600,12.3100,13.0400,7520267
2023-09-08,12.6700,12.8900,12.1900,12.5600,5276933
2023-09-07,12.1300,12.5200,11.9289,12.4000,6559158
2023-09-06,12.6400,12.7300,11.9000,12.2600,8797018
2023-09-05,14.4500,14.4500,12.3600,12.4200,17111728
2023-09-01,13.9500,15.3900,13.7800,15.0500,15320985
2023-08-31,14.2000,14.6500,13.7300,14.0200,14332367
2023-08-30,13.3400,14.4000,13.3000,13.6300,15155757
2023-08-29,13.7100,13.9800,12.9200,13.3200,20569072
2023-08-28,13.5000,14.7400,12.8600,13.9700,58708158
2023-08-25,9.3000,10.3550,9.0600,9.6600,20322170
2023-08-24,12.1200,12.5585,11.2900,11.8600,9972466
2023-08-23,13.3800,13.3800,12.0900,12.1100,12004341
2023-08-22,12.7900,13.4100,12.2350,13.3700,11504836
2023-08-21,13.5100,13.5850,12.3400,13.0400,13646507
2023-08-18,13.3300,14.2000,12.4100,13.7700,34161340
2023-08-17,10.3600,12.4400,10.0500,12.0300,45325173
2023-08-16,15.2800,17.2500,13.2700,14.5700,35671397
2023-08-15,20.5200,21.0800,14.4900,14.7900,30299598
2023-08-14,20.0000,22.4500,18.7000,21.4600,23048415
2023-08-11,32.9000,33.3600,32.2700,32.4000,2492451
2023-08-10,35.4500,35.5700,32.4900,32.7800,2753580
2023-08-09,35.4600,35.9850,35.1900,35.3900,718331
2023-08-08,36.6500,36.6600,35.1500,35.5800,1070422
2023-08-07,37.2500,37.7300,37.0000,37.3600,465824
2023-08-04,37.7200,38.0650,36.9900,37.0900,421831
2023-08-03,38.2200,38.6300,37.7000,37.7200,369486
2023-08-02,38.0000,38.6300,37.9000,38.3900,330820
2023-08-01,38.2800,38.7250,38.0600,38.1600,332399
2023-07-31,39.0100,39.1100,38.1700,38.3900,668964
2023-07-28,39.1600,39.2850,38.6700,38.8700,287460
2023-07-27,39.5400,39.7600,38.8900,38.9600,330904
2023-07-26,39.5500,40.1600,39.4900,39.7100,454491
2023-07-25,39.2100,39.6200,39.0200,39.5700,425039
2023-07-24,39.4300,39.4500,38.9850,39.3200,278419
2023-07-21,39.4600,39.5900,39.1400,39.3000,396150
2023-07-20,38.7700,39.3100,38.4900,39.2600,420340
2023-07-19,37.9500,38.6300,37.9500,38.6200,481953
2023-07-18,38.0000,38.3700,37.4250,37.8900,389147
2023-07-17,37.7000,38.2100,37.2846,37.9200,496656
2023-07-14,37.5300,37.9850,37.2100,37.9400,676111
2023-07-13,37.0700,37.5800,37.0300,37.5700,469164
2023-07-12,36.8900,37.2400,36.5000,37.1200,417686
2023-07-11,36.4900,36.6600,36.3500,36.6200,295596
2023-07-10,36.3000,36.9800,36.1400,36.4200,473624
2023-07-07,35.9900,36.4600,35.9500,36.2400,671597
2023-07-06,36.2000,36.4200,35.8400,36.1700,472263
2023-07-05,36.3000,36.8400,36.1600,36.4400,463166
2023-07-03,36.1900,36.6150,36.0950,36.4700,137904
2023-06-30,36.2600,36.3600,35.8700,36.2000,253694
2023-06-29,35.7500,36.2800,35.7500,36.1500,251889
2023-06-28,36.6200,36.6200,35.8300,35.9200,416061
2023-06-27,36.4400,36.7700,36.2900,36.5600,273123
2023-06-26,36.3100,36.7799,36.0800,36.4900,295684
2023-06-23,36.7100,36.9100,35.9300,36.1100,528376
2023-06-22,37.0300,37.0300,36.4200,36.7000,365946
2023-06-21,37.1000,37.3500,36.6600,36.8900,388289
2023-06-20,37.4900,37.7200,36.9800,37.3000,327745
2023-06-16,37.8400,38.0300,37.4500,37.6100,763555
2023-06-15,37.4200,37.7800,37.3000,37.7400,257704
2023-06-14,38.1100,38.2400,37.3100,37.4300,375082
2023-06-13,37.4000,38.2350,37.1600,38.0000,452048
2023-06-12,37.8300,37.8900,37.4000,37.5600,354475
2023-06-09,38.1900,38.2350,37.6861,37.8500,311064
2023-06-08,38.1600,38.3100,37.8700,38.1200,423712
2023-06-07,37.0500,38.2500,36.7800,38.1500,502658
2023-06-06,36.3700,36.9700,36.0200,36.8500,551160
2023-06-05,36.4300,36.7000,35.9600,36.1800,319728
2023-06-02,35.4900,36.8550,35.4900,36.7900,386375
2023-06-01,36.0800,36.0800,35.4000,35.5600,376060
2023-05-31,35.7300,36.0750,35.4000,35.9100,425675
2023-05-30,36.1000,36.2400,35.6400,35.6600,410881
2023-05-26,35.8800,36.0900,35.5950,36.0100,377320
2023-05-25,35.8900,35.9900,35.2700,35.8500,323480
2023-05-24,36.2400,36.2600,35.8400,35.9200,404816
2023-05-23,36.1000,36.6700,36.0000,36.2800,411611
2023-05-22,36.1100,36.3000,35.7380,36.2900,216518
2023-05-19,36.2900,36.4600,35.8550,35.9500,302170
2023-05-18,36.1300,36.4400,35.8500,35.9900,329862
2023-05-17,36.7600,36.8500,36.1900,36.7000,445935
2023-05-16,36.9000,37.0000,36.2800,36.5600,319754
2023-05-15,37.2900,37.3300,36.6100,36.8900,380620
2023-05-12,37.3100,37.6000,36.9700,37.1100,267393
2023-05-11,37.4500,37.5600,36.8700,37.1300,475196
2023-05-10,37.5800,37.6750,37.1550,37.6200,368095
2023-05-09,37.9800,38.1900,37.0700,37.5500,406184
2023-05-08,38.8400,39.1300,38.3950,38.5300,274814
2023-05-05,38.6100,39.0800,38.6100,38.9900,262272
2023-05-04,38.4200,38.5900,38.0100,38.5600,375365
2023-05-03,38.6600,39.0680,38.4100,38.4600,342085
2023-05-02,38.9900,39.0250,38.1243,38.4500,348796
2023-05-01,39.2800,39.7250,39.0700,39.1000,336696
2023-04-28,39.2700,39.6400,39.2000,39.2100,295106
2023-04-27,38.9000,39.3900,38.7200,39.3600,227467
2023-04-26,39.1700,39.4900,38.7941,38.9200,298973
2023-04-25,39.4300,39.6400,39.2800,39.4700,172779
2023-04-24,39.3100,39.5500,39.1600,39.5000,149623
2023-04-21,39.6700,39.7100,39.1000,39.4200,223086
2023-04-20,39.6400,39.6800,39.2400,39.3700,271756
2023-04-19,39.2800,39.6500,39.1197,39.6400,375174
2023-04-18,39.2300,39.4300,38.7789,39.0400,356790
2023-04-17,38.7900,39.2900,38.7450,39.2800,314281
2023-04-14,38.8300,39.0200,38.5200,38.6700,308082
2023-04-13,38.9400,39.1900,38.3500,38.9700,284252
2023-04-12,39.5800,39.5800,38.9700,39.0800,289047
2023-04-11,39.1000,39.4400,38.9700,39.3700,411698
2023-04-10,38.9700,39.0800,38.6700,39.0200,330606
2023-04-06,38.9800,39.3600,38.7400,39.1400,339380
2023-04-05,38.2500,38.9600,38.2500,38.8200,608651
2023-04-04,38.0000,38.1500,37.6050,38.1100,389996
2023-04-03,38.1700,38.2700,37.7500,38.0100,369734
2023-03-31,38.3600,38.5600,38.0600,38.4000,495227
2023-03-30,38.3400,38.7200,38.0200,38.1200,645199
2023-03-29,38.0100,38.2100,37.8500,38.0400,635011
2023-03-28,37.4100,38.1000,37.4100,37.8300,411899
2023-03-27,37.3100,37.8400,37.0000,37.5300,431637
2023-03-24,36.0200,36.9700,36.0200,36.9700,371964
2023-03-23,36.7700,36.9600,36.0100,36.1200,458875
2023-03-22,37.9100,38.0400,36.7600,36.7700,547325
2023-03-21,38.3000,38.4150,37.2600,37.9600,554938
2023-03-20,37.8400,38.4900,37.7201,38.0600,666967
2023-03-17,37.6300,37.9100,37.2800,37.5700,818577
2023-03-16,37.1200,38.0000,36.8600,37.8900,554187
2023-03-15,37.2300,37.4100,36.7600,37.3100,557200
2023-03-14,36.9300,38.2300,36.5000,37.4700,896088
2023-03-13,37.1800,37.6200,35.2750,36.2400,1352553
2023-03-10,39.0400,39.1950,37.0450,37.3300,962527
2023-03-09,39.6400,39.9500,39.0400,39.0900,444476
2023-03-08,39.0400,39.5000,38.8900,39.4300,382692
2023-03-07,39.5600,39.7300,38.8200,38.9900,331337
2023-03-06,39.9900,40.0400,39.4000,39.5700,543424
2023-03-03,40.1200,40.1800,39.5500,40.0200,368449
2023-03-02,39.5000,40.1100,39.2900,40.0900,269180
2023-03-01,40.2400,40.2900,39.3610,39.5300,421111
2023-02-28,40.2300,40.9600,40.0000,40.4500,798181
2023-02-27,40.6800,41.2350,40.2450,40.4100,554004
2023-02-24,40.8400,40.8400,40.2400,40.5000,571564
2023-02-23,41.3200,41.5800,40.8600,41.1700,406238
2023-02-22,41.4800,41.7200,41.2100,41.2600,371154
2023-02-21,41.8900,42.1400,41.6100,41.7300,358292
2023-02-17,41.4700,42.5300,41.0900,42.3000,436246
2023-02-16,41.0200,41.7700,40.7700,41.3800,384844
2023-02-15,41.4100,41.7200,40.1300,41.5800,585478
2023-02-14,43.0000,43.0900,41.5400,41.7700,426727
2023-02-13,42.4800,43.3400,42.4000,43.0200,537996
2023-02-10,41.8700,42.4800,41.7400,42.4100,482665
2023-02-09,42.9400,43.2000,41.6600,41.7900,476480
2023-02-08,43.0700,43.1900,42.8800,42.9700,218013
2023-02-07,42.9700,43.6600,42.6400,43.4500,374436
2023-02-06,43.3300,43.4200,42.6857,43.2400,310376
2023-02-03,43.1800,43.5200,42.3600,43.3600,355149
2023-02-02,42.9300,43.7100,42.4900,43.4200,323796
2023-02-01,42.1600,43.0400,41.8475,43.0400,514423
2023-01-31,41.6000,42.3200,41.3200,42.2700,369617
2023-01-30,41.6300,41.8000,41.4100,41.4700,238708
2023-01-27,41.5400,41.8500,41.0811,41.6400,317906
2023-01-26,41.6800,41.6800,41.2500,41.4800,205933
2023-01-25,41.2600,41.7200,41.0500,41.5900,326229
2023-01-24,40.9300,41.6000,40.7900,41.4700,246942
2023-01-23,40.9500,41.4700,40.5900,41.2400,175276
2023-01-20,41.0900,41.0900,40.5100,40.9900,196294
2023-01-19,41.2600,41.3800,40.8200,41.0400,271243
2023-01-18,42.0000,42.0000,41.2500,41.3100,263692
2023-01-17,42.3100,42.5350,41.8900,41.8900,205187
2023-01-13,42.2300,42.5600,42.0300,42.4400,239762
2023-01-12,42.1700,42.4100,42.0000,42.3200,263469
2023-01-11,42.0200,42.3050,41.9000,42.1900,214980
2023-01-10,42.1400,42.3700,41.6700,41.9200,242525
2023-01-09,42.6000,42.7975,42.3500,42.4500,415835
2023-01-06,42.3400,43.0000,42.3000,42.6400,339564
2023-01-05,42.4400,42.6500,41.4200,41.8400,524416
2023-01-04,42.1000,42.8700,41.8600,42.7700,485704
2023-01-03,41.8900,42.2100,41.3700,41.9400,293857
2022-12-30,42.2600,42.3500,41.6800,41.8500,371911
2022-12-29,42.1000,42.3700,41.9400,42.2400,324333
2022-12-28,42.3000,42.4600,41.8200,41.8300,250904
2022-12-27,41.7300,42.3000,41.4400,42.2000,183170
2022-12-23,41.1400,41.7650,40.8400,41.6800,224739
2022-12-22,41.2000,41.4100,40.5400,41.1900,263223
2022-12-21,40.5900,41.4850,40.4700,41.4200,446689
2022-12-20,40.0400,40.7500,39.7100,40.5300,321870
2022-12-19,40.0700,40.5350,39.8100,40.0900,335622
2022-12-16,40.1000,40.3500,39.6200,40.2200,897741
2022-12-15,40.8400,40.8900,40.2900,40.4500,490168
2022-12-14,41.2600,41.5700,40.8500,41.0600,395335
2022-12-13,41.9100,42.3700,41.0700,41.2700,453063
2022-12-12,41.2300,41.4800,40.7800,41.4700,278187
2022-12-09,40.8900,41.3000,40.7250,40.9700,551193
2022-12-08,40.6100,41.1400,40.6100,40.9800,251476
2022-12-07,40.6400,40.9500,40.4800,40.6000,276818
2022-12-06,40.6100,40.9000,40.2400,40.6000,415991
2022-12-05,40.9700,41.1300,40.5600,40.6900,232463
2022-12-02,40.2800,41.4800,39.9800,41.3300,345777
2022-12-01,41.0200,41.4550,40.4500,40.6700,387382
2022-11-30,40.2000,41.0800,39.9400,41.0800,574300
2022-11-29,40.5200,40.6700,40.0050,40.1600,288525
2022-11-28,40.4300,40.9000,40.1300,40.7700,233426
2022-11-25,40.4600,41.0400,40.4150,40.8300,132809
2022-11-23,39.7700,40.3400,39.7150,40.2700,332493
2022-11-22,39.6900,40.2400,39.6300,40.0300,319577
2022-11-21,39.3300,39.6500,39.2800,39.6200,266489
2022-11-18,39.1700,39.6100,39.0120,39.5800,316222
2022-11-17,38.7000,38.9000,38.4500,38.8700,266023
2022-11-16,39.1900,39.4300,38.9700,39.0800,270463
2022-11-15,39.2000,39.5700,38.8201,39.1900,276566
2022-11-14,39.5600,39.8600,38.8000,38.8400,314907
2022-11-11,39.7400,39.8500,39.0550,39.4800,288903
2022-11-10,38.9000,39.9300,38.2600,39.8100,358488
2022-11-09,37.8100,38.1700,37.6800,37.8900,465428
2022-11-08,37.7800,38.1500,37.4300,38.0500,586799
2022-11-07,38.1100,38.1100,36.3300,37.3500,485715
2022-11-04,37.4100,38.0600,37.3600,37.8900,290237
2022-11-03,37.0800,37.5000,36.6300,37.2700,317259
2022-11-02,37.7600,38.4000,37.3000,37.5100,363222
2022-11-01,38.0800,38.2600,37.6800,37.8100,387696
2022-10-31,37.8500,38.0998,37.6500,38.0400,440835
2022-10-28,36.9800,37.9700,36.9750,37.8700,307096
2022-10-27,36.9900,37.4500,36.7500,36.8000,339321
2022-10-26,36.8400,37.1000,36.3700,36.7200,459692
2022-10-25,35.7900,36.7700,35.7900,36.5800,341637
2022-10-24,36.1100,36.3350,35.5700,35.7700,313436
2022-10-21,35.3400,36.1500,35.1000,35.9300,284854
2022-10-20,35.7100,35.7100,34.8650,35.1300,339874
2022-10-19,35.7100,36.0000,35.1600,35.7200,374836
2022-10-18,35.8100,36.4000,35.8100,36.2300,374466
2022-10-17,34.6200,35.5800,34.4100,35.3800,450235
2022-10-14,35.0800,35.2100,34.0050,34.2300,487104
2022-10-13,33.4300,35.1100,33.1800,34.8400,488530
2022-10-12,34.5300,34.5500,33.6800,33.7000,384733
2022-10-11,33.8600,34.9500,33.8600,34.5100,498929
2022-10-10,33.8100,34.2900,33.8100,34.0400,266124
2022-10-07,34.2300,34.2800,33.5200,33.7600,291420
2022-10-06,35.2500,35.2500,34.2200,34.2800,338326
2022-10-05,35.8500,35.8800,35.2800,35.4800,368165
2022-10-04,35.5900,36.3200,35.3300,36.3100,399107
2022-10-03,35.1400,35.9150,34.8200,35.5000,389065
2022-09-30,35.7000,35.8400,34.6000,34.6600,534693
2022-09-29,36.3600,36.6300,35.3050,35.4400,323228
2022-09-28,36.1400,36.9150,35.8550,36.5300,537875
2022-09-27,37.1200,37.2500,35.7066,35.8500,490981
2022-09-26,37.4500,37.4500,36.5850,36.8700,424663
2022-09-23,37.4600,37.5200,37.0000,37.5000,370469
2022-09-22,37.8200,37.9250,37.4500,37.7400,265336
2022-09-21,38.7200,38.8297,37.8600,37.8800,315157
2022-09-20,38.7900,38.7969,37.9950,38.4400,319143
2022-09-19,38.3800,39.0900,38.2200,39.0600,267208
2022-09-16,38.0000,38.3600,37.8700,38.2600,872544
2022-09-15,38.6000,38.6000,37.9300,38.0700,470652
2022-09-14,39.1000,39.2300,38.6600,38.8300,351752
2022-09-13,39.9600,40.0000,38.9900,39.1500,417632
2022-09-12,39.9500,40.5000,39.9101,40.2600,268570
2022-09-09,39.9100,40.1800,39.3500,39.9900,338299
2022-09-08,39.3100,39.8800,39.2900,39.6900,314864
2022-09-07,38.6900,39.5750,38.6000,39.5200,389225
2022-09-06,39.3000,39.3200,38.3500,38.4000,392848
2022-09-02,39.8200,40.0500,38.9700,39.0300,405261
2022-09-01,39.2200,39.7680,38.9700,39.5000,314013
2022-08-31,39.5000,39.7180,39.0900,39.1200,467348
2022-08-30,40.2800,40.4600,39.4250,39.5200,339698
2022-08-29,40.0000,40.2600,39.5301,40.1700,389217
2022-08-26,40.8900,40.9600,40.1200,40.1400,372462
2022-08-25,40.7500,40.9500,40.4100,40.9100,296799
2022-08-24,41.0000,41.0400,40.5200,40.6800,309947
2022-08-23,41.6400,41.6900,41.0900,41.2100,278759
2022-08-22,42.3500,42.7300,41.4800,41.6000,355654
2022-08-19,42.8800,43.0500,42.5500,42.7500,322090
2022-08-18,42.3400,42.8250,41.9100,42.7800,531536
2022-08-17,43.3300,43.5600,42.9300,43.2800,223632
2022-08-16,43.7100,44.0050,43.5100,43.9800,418213
2022-08-15,43.2700,43.7050,43.0700,43.6700,275876
2022-08-12,42.4400,43.3000,42.4400,43.2700,336129
2022-08-11,42.3100,42.7100,42.1100,42.2900,267745
2022-08-10,42.4100,42.6400,42.1400,42.3100,362328
2022-08-09,42.2900,42.3600,41.6200,42.3300,401749
2022-08-08,42.4200,42.8600,42.2200,42.2600,423440
2022-08-05,42.4300,42.5600,41.6800,42.5200,321030
2022-08-04,42.4800,42.7600,42.2000,42.5100,200018
2022-08-03,42.5500,42.5500,41.6500,42.4700,228407
2022-08-02,42.5500,42.7350,42.2620,42.5300,409187
2022-08-01,42.3000,42.6000,40.1900,42.4600,298476
2022-07-29,42.0800,42.5900,42.0000,42.3000,409446
2022-07-28,41.5600,42.4300,41.3400,42.2900,339715
2022-07-27,41.0100,41.4100,40.8200,41.2000,357714
2022-07-26,40.7700,41.1200,40.7700,41.0600,437199
2022-07-25,39.8800,40.7900,39.3200,40.7800,482814
