,HLIO_open,HLIO_high,HLIO_low,HLIO_close,HLIO_volume
2023-10-26,50.8200,51.9200,50.8200,51.6100,85692
2023-10-25,51.6700,52.1100,50.4700,50.5500,104596
2023-10-24,51.5600,52.5000,51.2600,52.2000,86329
2023-10-23,51.5800,52.0700,50.7600,50.9400,88757
2023-10-20,51.7400,51.8800,51.0500,51.6200,105761
2023-10-19,52.3500,53.1000,51.5300,51.6300,78013
2023-10-18,54.0800,54.0800,52.6700,52.7400,81799
2023-10-17,53.7200,55.5300,53.7200,54.7100,97266
2023-10-16,54.1700,54.6150,53.4500,53.9400,65214
2023-10-13,55.2100,55.2100,53.4100,53.4600,64928
2023-10-12,55.7800,55.7800,54.6900,55.0400,46123
2023-10-11,55.2100,55.7600,55.2100,55.5900,67805
2023-10-10,54.9500,55.8000,54.9500,55.2700,81383
2023-10-09,53.7000,54.9900,53.6600,54.7400,51494
2023-10-06,54.0000,54.5900,53.0750,54.2900,74884
2023-10-05,54.0300,54.2950,53.3800,54.1400,99922
2023-10-04,53.7300,54.0800,52.9300,53.9900,73098
2023-10-03,54.8400,55.4242,53.7400,53.8200,86619
2023-10-02,54.9900,55.2300,54.7300,54.9600,93864
2023-09-29,55.5100,55.8000,54.5100,55.4800,139959
2023-09-28,54.9150,55.6100,54.7150,55.2000,88591
2023-09-27,54.3100,55.1200,54.3100,54.7500,126343
2023-09-26,53.8200,54.4050,53.7450,54.0000,100865
2023-09-25,53.1600,54.3600,53.1600,54.2000,117139
2023-09-22,53.7900,54.1500,53.0000,53.4200,152369
2023-09-21,54.5500,54.5500,53.6550,53.9000,85549
2023-09-20,56.0500,56.4200,54.9900,55.0200,81193
2023-09-19,56.2000,56.3900,55.6700,56.0000,101983
2023-09-18,55.9800,56.7300,55.7800,56.0500,44048
2023-09-15,56.6000,57.3000,55.8000,56.1500,164796
2023-09-14,56.2800,57.1100,55.9100,56.6700,67244
2023-09-13,56.3600,56.3600,55.4707,55.6400,106499
2023-09-12,56.8000,56.9200,55.9900,56.4600,53030
2023-09-11,57.9000,58.0300,56.7900,56.9000,63806
2023-09-08,56.9300,57.6750,56.3900,57.6300,67187
2023-09-07,58.0300,58.2700,56.7800,56.9100,79374
2023-09-06,58.4800,58.7199,58.0400,58.1100,72316
2023-09-05,58.9600,58.9600,57.5450,58.1900,106728
2023-09-01,58.2400,59.2300,58.2400,59.2200,57479
2023-08-31,57.8500,58.5700,57.6900,57.8800,71910
2023-08-30,57.3900,58.2600,57.3900,57.8400,101113
2023-08-29,57.7700,58.1000,57.4600,57.6000,152007
2023-08-28,57.1100,58.2400,57.1100,57.8700,55326
2023-08-25,57.2500,57.3400,56.3400,57.0300,54368
2023-08-24,56.8100,57.8000,56.5200,56.8800,51247
2023-08-23,57.7500,57.7500,57.2400,57.2900,42936
2023-08-22,57.9100,58.4700,57.2700,57.7900,128555
2023-08-21,57.5200,57.6700,56.7430,57.3900,123768
2023-08-18,56.3200,57.7500,56.3200,57.3000,148087
2023-08-17,57.3600,57.5000,56.6300,56.9200,74121
2023-08-16,57.8300,58.5698,57.1800,57.3500,97916
2023-08-15,57.9800,58.2814,57.5700,58.0500,64434
2023-08-14,57.6800,58.7000,56.6589,58.4400,105953
2023-08-11,57.0000,58.0000,57.0000,57.9000,108457
2023-08-10,56.2500,57.2000,56.0100,57.1600,141505
2023-08-09,54.9700,58.2200,53.8800,56.0100,345335
2023-08-08,53.0000,54.7100,48.0300,54.7100,713932
2023-08-07,62.3100,63.0880,62.1500,62.3300,88940
2023-08-04,63.1600,63.1700,62.3100,62.4900,87360
2023-08-03,63.2000,63.7300,62.6000,63.1300,92794
2023-08-02,63.2900,64.0200,63.0350,63.5000,92547
2023-08-01,63.1700,64.0100,63.0500,63.7900,68301
2023-07-31,62.0800,63.2600,62.0800,63.2000,48756
2023-07-28,62.5900,62.9500,61.9850,62.1800,85650
2023-07-27,62.2000,62.8100,61.5400,62.1300,92985
2023-07-26,62.7400,63.4900,61.7400,62.0800,102497
2023-07-25,61.3100,62.6800,61.3100,62.6400,135408
2023-07-24,61.2300,61.7200,60.5200,61.7200,318557
2023-07-21,63.6700,63.6850,60.8800,61.0300,265914
2023-07-20,64.6600,64.6600,63.3600,63.6500,133274
2023-07-19,65.6100,66.3500,64.0100,64.1500,200789
2023-07-18,64.5300,65.5200,64.0000,64.5500,197431
2023-07-17,64.6700,65.0350,64.4000,64.6000,236503
2023-07-14,65.8000,65.8000,64.0100,64.7100,152295
2023-07-13,67.1400,67.3100,66.1900,66.2200,52319
2023-07-12,66.9900,67.2400,65.9000,67.1100,107266
2023-07-11,65.2800,66.1939,64.7700,65.7500,73397
2023-07-10,63.7100,65.1300,63.7100,64.9600,111307
2023-07-07,63.6600,65.0100,63.6600,63.7200,65983
2023-07-06,62.9100,63.9700,62.5400,63.6800,124960
2023-07-05,64.2500,64.7000,63.4000,63.7900,104868
2023-07-03,65.3900,65.9600,64.5700,65.0300,37838
2023-06-30,65.7900,66.2400,64.8600,66.0900,212567
2023-06-29,63.9100,65.3300,63.8588,65.2500,112616
2023-06-28,63.8500,63.9300,63.3601,63.9200,66602
2023-06-27,63.4500,64.3850,63.3800,63.8400,71102
2023-06-26,62.3400,63.9700,62.3400,63.1800,76672
2023-06-23,62.0500,63.2000,61.8661,62.6600,237596
2023-06-22,63.9000,63.9700,62.5450,63.1900,72583
2023-06-21,62.5800,64.6700,62.5800,63.7200,68277
2023-06-20,62.5300,63.2200,62.2350,63.2100,177198
2023-06-16,63.0000,63.3500,62.3100,62.9300,310973
