,HMC_open,HMC_high,HMC_low,HMC_close,HMC_volume
2023-10-26,31.9900,32.0600,31.5700,31.5800,915095
2023-10-25,32.3800,32.5850,32.2600,32.3000,1065102
2023-10-24,32.1900,32.3300,32.1100,32.2300,980108
2023-10-23,32.1500,32.4186,31.9810,32.1900,1156693
2023-10-20,32.5800,32.7250,32.3900,32.4300,962173
2023-10-19,33.0700,33.1200,32.5000,32.5600,1404566
2023-10-18,33.5600,33.5800,33.0000,33.0700,1086083
2023-10-17,33.4900,33.9600,33.4900,33.7700,757362
2023-10-16,33.4400,33.8100,33.2000,33.7100,674001
2023-10-13,33.7200,33.8000,33.2450,33.3400,708483
2023-10-12,34.1800,34.4000,33.8300,34.0900,1000441
2023-10-11,33.7200,33.9450,33.6600,33.8100,664743
2023-10-10,33.3900,33.6650,33.3800,33.5500,837215
2023-10-09,32.6200,32.9901,32.5100,32.9000,628446
2023-10-06,32.4300,32.9200,32.2600,32.7700,1301268
2023-10-05,32.3800,32.5200,32.0750,32.2700,844767
2023-10-04,31.6000,31.8300,31.4000,31.8300,1948362
2023-10-03,32.6800,32.9100,32.5200,32.6800,1233716
2023-10-02,33.5000,33.7750,33.4650,33.5800,1007168
2023-09-29,33.9800,34.0200,33.5550,33.6400,1249586
2023-09-28,34.5400,34.9050,34.4600,34.8400,685892
2023-09-27,35.1100,35.1100,34.7650,34.9900,955516
2023-09-26,34.9500,35.1500,34.6800,34.7300,742907
2023-09-25,35.0200,35.2250,34.8900,35.2100,566176
2023-09-22,35.5200,35.6350,35.2200,35.2300,1231642
2023-09-21,35.3900,35.4200,35.2100,35.2400,906953
2023-09-20,36.1900,36.6450,36.1300,36.1300,926660
2023-09-19,36.5600,36.8200,36.4350,36.6700,1912174
2023-09-18,35.2100,35.2900,34.9400,35.2200,1272688
2023-09-15,35.4900,35.6750,35.2900,35.3400,791621
2023-09-14,35.4200,35.6350,35.2600,35.6000,1219009
2023-09-13,34.3900,34.5550,34.3800,34.5000,856551
2023-09-12,34.2300,34.4200,34.0600,34.3300,1510177
2023-09-11,33.7500,34.0650,33.7500,33.9900,1012722
2023-09-08,33.4700,33.6350,33.4200,33.5500,1253768
2023-09-07,33.3700,33.5750,33.3548,33.4600,1316403
2023-09-06,33.5000,33.6600,33.3600,33.4300,958015
2023-09-05,32.8900,33.1000,32.8300,32.9700,1174181
2023-09-01,32.5600,32.5700,32.2250,32.3300,792820
2023-08-31,32.2300,32.3600,32.1900,32.3300,736736
2023-08-30,31.8700,31.9500,31.7700,31.8500,567048
2023-08-29,31.4300,31.8700,31.4000,31.8600,699456
2023-08-28,31.7100,31.9000,31.6850,31.8800,853762
2023-08-25,31.0800,31.2050,30.8400,31.1200,494858
2023-08-24,31.1600,31.2350,30.8700,30.8800,725184
2023-08-23,31.2500,31.5400,31.2400,31.5100,820255
2023-08-22,30.9200,30.9800,30.8000,30.8000,855164
2023-08-21,30.3900,30.6900,30.3900,30.6600,772233
2023-08-18,30.2000,30.4200,30.1300,30.3500,825744
2023-08-17,30.4500,30.5350,30.1750,30.2300,760627
2023-08-16,30.3300,30.4750,30.2000,30.2000,821164
2023-08-15,30.7400,30.8400,30.6800,30.7100,809139
2023-08-14,30.9000,30.9800,30.5800,30.8800,1378964
2023-08-11,31.8900,31.9400,31.7321,31.8800,1067891
2023-08-10,32.5000,32.5700,31.9100,31.9700,1280460
2023-08-09,31.9100,32.3827,31.9000,32.0000,1483773
2023-08-08,31.1700,31.1700,30.8500,31.1500,947435
2023-08-07,31.0600,31.1900,30.9400,31.1900,611151
2023-08-04,30.9500,31.1400,30.8150,30.8500,694572
2023-08-03,30.6500,30.8499,30.4300,30.7900,950763
2023-08-02,31.6300,31.6500,31.2700,31.4700,1204101
2023-08-01,31.9600,32.0650,31.8400,31.9300,703934
2023-07-31,31.8100,31.9250,31.8100,31.9200,521186
2023-07-28,31.6900,31.9000,31.6650,31.7900,809382
2023-07-27,31.5900,31.7800,31.4900,31.5300,952126
2023-07-26,31.4900,31.5750,31.3250,31.5400,820481
2023-07-25,31.6300,31.6350,31.5100,31.6100,779555
2023-07-24,31.4400,31.5900,31.4300,31.5700,756533
2023-07-21,31.2700,31.2900,31.1200,31.1800,820312
2023-07-20,30.8000,30.9700,30.8000,30.9200,833157
2023-07-19,31.0800,31.1500,30.9600,30.9800,966045
2023-07-18,30.4900,30.7500,30.4100,30.7500,785710
2023-07-17,30.2000,30.2500,29.9650,30.1600,1242352
2023-07-14,30.3000,30.3199,30.1750,30.2300,744488
2023-07-13,30.4500,30.5400,30.3700,30.3900,627539
2023-07-12,30.2800,30.4999,30.2250,30.2500,1064171
2023-07-11,29.8000,29.9400,29.7550,29.9400,1062902
2023-07-10,29.6900,29.8650,29.6600,29.8500,1107295
2023-07-07,29.9900,30.3550,29.9500,30.1800,1225709
2023-07-06,29.9400,30.1400,29.9200,30.1000,1342889
2023-07-05,30.5900,30.5900,30.4250,30.4500,840297
2023-07-03,30.7300,30.7800,30.6600,30.6700,518729
2023-06-30,30.1600,30.3700,30.1600,30.3100,1538513
2023-06-29,30.1600,30.4200,30.1600,30.3700,1267192
2023-06-28,30.4500,30.6000,30.4300,30.5500,1342614
2023-06-27,29.9600,30.2370,29.9500,30.2200,705628
2023-06-26,30.1700,30.1700,29.9500,29.9600,1298046
2023-06-23,30.0500,30.2300,29.9850,30.1500,1019595
2023-06-22,30.9700,31.0700,30.8800,30.9600,574495
2023-06-21,31.2100,31.2200,31.0300,31.1200,1354942
2023-06-20,30.8500,30.8600,30.4700,30.4700,1326035
2023-06-16,31.5800,31.5800,31.1600,31.3200,2602351
2023-06-15,31.9900,32.1732,31.8401,32.0000,2995693
2023-06-14,32.4900,32.6173,32.3300,32.4800,1564426
2023-06-13,31.6600,31.8950,31.6600,31.8100,1612001
2023-06-12,30.9000,31.0600,30.8650,31.0500,759404
2023-06-09,30.6700,30.7800,30.5250,30.7400,1818133
2023-06-08,29.8300,30.0450,29.8000,30.0300,800110
2023-06-07,29.9500,29.9950,29.7400,29.9300,1822567
2023-06-06,30.3100,30.7400,30.2500,30.7200,1424024
2023-06-05,30.0000,30.0200,29.7900,29.8300,981700
2023-06-02,29.3700,29.6600,29.3100,29.5900,1232579
2023-06-01,28.5900,28.8400,28.4900,28.8400,835728
2023-05-31,28.5800,28.6000,28.1700,28.4100,1184137
2023-05-30,29.0600,29.1200,28.7900,28.8700,1350231
2023-05-26,28.5100,28.7900,28.4500,28.6700,961426
2023-05-25,28.6100,28.7900,28.6050,28.7400,1460879
2023-05-24,28.4400,28.4400,28.1700,28.2300,1221174
2023-05-23,28.3400,28.5350,28.3000,28.3700,1053836
2023-05-22,28.5800,28.7100,28.5100,28.5600,1264760
2023-05-19,28.2000,28.3100,28.1050,28.2000,713697
2023-05-18,28.2400,28.3500,28.1650,28.2900,612962
2023-05-17,28.1100,28.2800,28.0150,28.2200,1225591
2023-05-16,27.8100,28.0000,27.7700,27.9000,1109650
2023-05-15,27.6000,27.6300,27.4901,27.6000,992725
2023-05-12,27.9100,28.0450,27.6600,27.7500,1280975
2023-05-11,27.2600,27.6000,27.2200,27.5900,1850397
2023-05-10,27.0900,27.2000,26.8301,27.0200,1237849
2023-05-09,26.9600,26.9900,26.8100,26.9700,834411
2023-05-08,26.8000,26.8500,26.6950,26.7900,648801
2023-05-05,26.2500,26.7800,26.1500,26.7500,869658
2023-05-04,26.0800,26.2099,26.0200,26.0300,944702
2023-05-03,26.2000,26.4200,26.1200,26.1900,848427
2023-05-02,26.2300,26.2350,25.9250,26.1700,742178
2023-05-01,26.6000,26.7000,26.3550,26.3900,1017373
2023-04-28,26.3200,26.5900,26.2750,26.5800,980177
2023-04-27,26.1100,26.4950,26.1100,26.4900,1264250
2023-04-26,25.9200,26.0500,25.7600,25.8000,1182358
2023-04-25,26.1000,26.1300,25.7450,25.8700,1020012
2023-04-24,25.8700,26.1800,25.8600,26.1500,860286
2023-04-21,25.9700,25.9900,25.7800,25.9200,683038
2023-04-20,25.9900,26.1100,25.8350,25.9600,966926
2023-04-19,26.2400,26.2433,26.1450,26.1800,628477
2023-04-18,26.4500,26.5150,26.3100,26.3800,752668
2023-04-17,26.1800,26.4000,26.1000,26.4000,1108639
2023-04-14,26.1900,26.2900,26.0550,26.1000,1148809
2023-04-13,26.6200,26.6300,26.3950,26.5700,702741
2023-04-12,26.5800,26.6750,26.3600,26.4400,719255
2023-04-11,26.5500,26.6000,26.4900,26.5200,769005
2023-04-10,26.0500,26.3800,26.0500,26.3600,1553719
2023-04-06,26.2900,26.3003,26.0831,26.1300,797036
2023-04-05,26.6400,26.6600,26.4450,26.5800,847087
2023-04-04,26.9950,27.0800,26.7700,26.9200,997837
2023-04-03,26.6700,26.7900,26.5750,26.7900,893541
2023-03-31,26.4100,26.5000,26.3400,26.4900,762374
2023-03-30,26.3400,26.3808,26.1450,26.2200,710272
2023-03-29,26.1500,26.1700,25.9850,26.1300,898597
2023-03-28,25.8000,25.9350,25.8000,25.8600,749577
2023-03-27,25.8800,25.9650,25.7500,25.8700,578009
2023-03-24,25.6300,25.7050,25.4225,25.7000,761024
2023-03-23,25.8600,25.9500,25.4800,25.6400,895503
2023-03-22,25.6700,25.9400,25.5100,25.5300,968118
2023-03-21,25.5500,25.6150,25.4000,25.5300,916737
2023-03-20,25.0400,25.3550,25.0250,25.2500,1598385
2023-03-17,25.1900,25.2800,24.9100,24.9300,1468250
2023-03-16,25.0000,25.5200,24.9500,25.5000,1645029
2023-03-15,24.9600,25.0000,24.6000,24.8900,1322424
2023-03-14,25.2300,25.5000,25.1200,25.4100,1279136
2023-03-13,25.7400,25.9100,25.6300,25.7200,1285969
2023-03-10,26.4800,26.6050,26.1225,26.2600,1085072
2023-03-09,26.7700,26.8300,26.3650,26.4000,1028513
2023-03-08,26.5200,26.6387,26.4500,26.5500,623514
2023-03-07,26.7300,26.7400,26.3313,26.4000,845766
2023-03-06,26.7000,26.7500,26.5750,26.6000,863677
2023-03-03,26.3900,26.7000,26.3400,26.7000,1838159
2023-03-02,25.8500,26.0950,25.8300,26.0900,930925
2023-03-01,26.2800,26.3950,26.1700,26.2100,1143045
2023-02-28,26.0200,26.0900,25.9350,25.9700,923688
2023-02-27,26.2400,26.3600,26.1549,26.1700,1187029
2023-02-24,25.8000,25.8700,25.6350,25.7500,913909
