,IBN_open,IBN_high,IBN_low,IBN_close,IBN_volume
2023-10-13,22.7300,23.0100,22.7300,22.7400,3629564
2023-10-12,22.8200,22.9600,22.6050,22.6300,5051173
2023-10-11,22.9600,23.0400,22.7200,22.7800,4619097
2023-10-10,23.0200,23.1250,22.8800,22.9200,3951333
2023-10-09,22.7100,22.8100,22.6750,22.7600,2516142
2023-10-06,22.8700,23.1400,22.7900,23.0600,3062967
2023-10-05,22.7600,22.8700,22.7250,22.8500,2211915
2023-10-04,22.5000,22.6800,22.5000,22.6700,3087482
2023-10-03,22.6500,22.7600,22.5000,22.5500,2667274
2023-10-02,23.0200,23.0900,22.9100,23.0000,3499418
2023-09-29,23.0600,23.1750,22.9950,23.1200,6421785
2023-09-28,22.7500,22.9300,22.7400,22.9100,3065917
2023-09-27,22.6600,22.8200,22.6100,22.8100,4821969
2023-09-26,22.7100,22.7650,22.6200,22.7400,5484708
2023-09-25,22.8900,22.9800,22.8200,22.9800,3691434
2023-09-22,22.8100,23.0700,22.7900,22.8300,3915039
2023-09-21,22.9800,23.0750,22.7300,22.7600,6818487
2023-09-20,23.9300,23.9300,23.4900,23.5300,5713079
2023-09-19,23.8900,23.9000,23.7950,23.8300,1641391
2023-09-18,23.8800,24.0050,23.8350,23.8900,2911740
2023-09-15,23.9400,24.0150,23.8100,23.8900,5059783
2023-09-14,23.9400,24.0600,23.9100,23.9700,2624991
2023-09-13,24.0600,24.0800,23.9200,23.9400,2255075
2023-09-12,24.0000,24.1100,23.9900,24.0300,2841233
2023-09-11,23.6400,23.9300,23.6400,23.8700,3256141
2023-09-08,23.4100,23.4950,23.3400,23.4100,3294777
2023-09-07,23.1700,23.3700,23.1500,23.2400,3353534
2023-09-06,23.1800,23.2700,23.0400,23.0400,4466459
2023-09-05,23.5200,23.6100,23.4700,23.5100,3790575
2023-09-01,23.5000,23.5800,23.4015,23.4600,2862408
2023-08-31,23.3000,23.3300,23.1300,23.1700,5147675
2023-08-30,23.3600,23.4700,23.3200,23.3500,4281994
2023-08-29,23.5600,23.6400,23.4700,23.6300,3681632
2023-08-28,23.5700,23.7900,23.5650,23.6800,2312415
2023-08-25,23.3900,23.5350,23.3550,23.4300,3319363
2023-08-24,23.5100,23.5950,23.3500,23.3500,2858440
2023-08-23,23.3600,23.6450,23.3000,23.5800,5338175
2023-08-22,22.9700,23.1400,22.8800,22.9000,3679549
2023-08-21,23.0800,23.1350,22.9550,23.1100,3227065
2023-08-18,22.8900,22.9700,22.8400,22.9000,3227129
2023-08-17,22.9300,22.9900,22.8600,22.8700,3680194
2023-08-16,22.8900,23.0250,22.8850,22.9300,4506347
2023-08-15,22.8600,22.9450,22.7800,22.8200,4075813
2023-08-14,23.1300,23.1450,22.9050,22.9500,5637942
2023-08-11,23.2100,23.2100,23.0950,23.1500,3594555
2023-08-10,23.5800,23.5800,23.3650,23.4000,5267576
2023-08-09,23.6400,23.7400,23.5800,23.6400,3330584
2023-08-08,23.6100,23.6900,23.5050,23.6600,3648551
2023-08-07,23.6700,23.8150,23.6700,23.7700,2861537
2023-08-04,23.7400,23.7650,23.5450,23.5500,3445854
2023-08-03,23.6000,23.6600,23.4200,23.5500,4712516
2023-08-02,24.2100,24.3100,23.9000,24.0200,5711267
2023-08-01,24.4100,24.5450,24.4000,24.5000,4356929
2023-07-31,24.4900,24.5700,24.4200,24.5700,3530388
2023-07-28,24.3400,24.4100,24.2750,24.3900,2860022
2023-07-27,24.5500,24.5800,24.1200,24.1700,3777747
2023-07-26,24.4400,24.8000,24.4100,24.6600,4531106
2023-07-25,24.4900,24.5300,24.3900,24.4400,3033104
2023-07-24,24.4700,24.5300,24.3150,24.4800,3748253
2023-07-21,24.6500,24.6700,24.3600,24.4700,2915517
2023-07-20,24.3100,24.4800,24.2300,24.4800,3560090
2023-07-19,23.8500,24.0900,23.7550,24.0400,7524309
2023-07-18,23.7300,23.8600,23.6800,23.8600,4198652
2023-07-17,23.5900,23.8650,23.5900,23.8300,3116593
2023-07-14,23.5300,23.5550,23.3300,23.3300,3345852
2023-07-13,23.4400,23.4700,23.3900,23.4000,4968341
2023-07-12,23.0800,23.2300,23.0800,23.1700,2211985
2023-07-11,23.0300,23.0800,22.9700,23.0500,2850953
2023-07-10,23.1200,23.1200,22.9200,22.9600,2427442
2023-07-07,23.0500,23.1600,22.9750,23.0900,3040838
2023-07-06,23.3400,23.3700,23.1250,23.2000,3625790
2023-07-05,23.5700,23.6650,23.3900,23.4100,4299383
2023-07-03,23.2400,23.4500,23.2100,23.3900,4292990
2023-06-30,23.0500,23.1300,23.0100,23.0800,4156422
2023-06-29,23.0800,23.1450,22.9800,23.1100,3749523
2023-06-28,22.8700,23.0250,22.8700,23.0100,2492280
2023-06-27,23.1200,23.2300,22.9300,22.9800,5769704
