,IGT_open,IGT_high,IGT_low,IGT_close,IGT_volume
2023-10-13,30.8000,31.0600,30.3300,30.5800,971130
2023-10-12,31.4600,31.5500,30.4500,30.8000,850301
2023-10-11,31.5500,31.7500,31.0200,31.2600,631700
2023-10-10,30.7800,31.8500,30.5900,31.4500,1276940
2023-10-09,30.6300,30.8100,29.7000,30.4300,966081
2023-10-06,29.8000,31.1800,29.7450,30.8000,1001936
2023-10-05,29.9700,30.2900,29.7000,30.0400,844590
2023-10-04,30.0500,30.1850,29.7400,30.1200,1074925
2023-10-03,29.8200,30.0800,29.5000,30.0600,1375110
2023-10-02,30.2900,30.3900,29.9800,30.1900,1043523
2023-09-29,30.7900,30.8500,30.2300,30.3200,636403
2023-09-28,30.0400,30.7700,30.0400,30.4400,560195
2023-09-27,30.1700,30.4500,29.9800,30.3200,578871
2023-09-26,30.2200,30.6399,29.9600,30.0400,1003444
2023-09-25,30.5500,30.8750,30.3800,30.4700,801296
2023-09-22,31.2000,31.4400,30.7300,30.9300,924346
2023-09-21,31.2000,31.3900,30.8100,31.0900,1209019
2023-09-20,31.8400,32.2400,31.5850,31.6900,793862
2023-09-19,32.5200,32.6000,31.7600,31.7700,1070319
2023-09-18,32.3800,32.9100,32.2500,32.5800,1244800
2023-09-15,33.0300,33.1500,32.5000,32.5700,2583749
2023-09-14,32.1000,33.4800,32.0100,33.2000,4082577
2023-09-13,30.6200,30.6600,29.9500,30.0600,924159
2023-09-12,30.3900,30.9000,30.3900,30.6200,825614
2023-09-11,30.9700,31.0000,30.4600,30.6900,879442
2023-09-08,31.1500,31.3100,30.5250,30.6300,703181
2023-09-07,31.5900,31.6300,31.1001,31.1300,679379
2023-09-06,31.4900,31.6750,31.3500,31.6400,465759
2023-09-05,32.1600,32.1600,31.3100,31.6200,950747
2023-09-01,32.2000,32.4900,31.8700,32.1600,665396
2023-08-31,31.9500,32.0400,31.7400,32.0200,1029153
2023-08-30,31.8000,32.0100,31.7500,31.8400,609824
2023-08-29,31.4000,32.0200,31.3200,31.8500,617818
2023-08-28,31.3200,31.6600,31.2000,31.5300,780864
2023-08-25,31.4700,31.5000,30.9500,31.1500,985440
2023-08-24,31.5600,31.7000,31.2350,31.2900,759386
2023-08-23,31.1500,31.8600,31.0300,31.7000,949814
2023-08-22,31.3500,31.4800,30.8200,31.0900,1001126
2023-08-21,31.0700,31.2100,30.8400,31.1700,600207
