,IX_open,IX_high,IX_low,IX_close,IX_volume
2023-10-26,88.9000,89.2000,88.2900,88.6900,13610
2023-10-25,90.2000,90.2000,89.1200,89.1200,14817
2023-10-24,90.4400,90.5600,89.7700,90.3400,16030
2023-10-23,89.1600,89.7406,88.6600,89.1900,14510
2023-10-20,90.1800,90.2300,89.1100,89.1400,15752
2023-10-19,89.9500,90.6500,89.2000,89.3800,16105
2023-10-18,90.6200,90.6300,89.5700,89.6700,11159
2023-10-17,90.4200,91.6914,90.2500,91.1200,28961
2023-10-16,90.4300,91.7700,90.4300,90.9500,13187
2023-10-13,91.6200,91.9600,90.6200,91.0100,8929
2023-10-12,93.5800,93.5800,91.8036,92.3800,20831
2023-10-11,93.0400,93.0400,92.1809,92.8000,11150
2023-10-10,93.1300,93.4700,92.6600,92.8500,19614
2023-10-09,90.8200,91.7300,90.3901,91.5300,16025
2023-10-06,90.6400,91.8400,90.0900,91.2900,19786
2023-10-05,90.5300,90.6000,89.7400,90.2300,35653
2023-10-04,87.4400,87.7900,86.5901,87.4000,33474
2023-10-03,90.0500,90.9400,89.4400,89.6700,31991
2023-10-02,92.7900,93.7500,91.7600,92.3200,20103
2023-09-29,94.9300,94.9300,93.2500,93.8800,32619
2023-09-28,94.9200,96.2999,94.2200,95.6300,14392
2023-09-27,97.4600,98.1500,96.3700,97.0100,10615
2023-09-26,96.8800,97.7314,95.5900,96.4200,14551
2023-09-25,97.1400,97.7400,96.9000,97.3300,8856
2023-09-22,98.2100,98.5700,97.4650,97.6300,13215
2023-09-21,97.7500,98.2500,96.8500,96.9300,14943
2023-09-20,99.8300,100.5250,98.9800,99.0500,50011
2023-09-19,101.1200,101.5600,100.8800,101.3900,20912
2023-09-18,99.7000,99.7000,98.2200,99.2800,10778
2023-09-15,100.1100,100.7100,99.4200,99.6700,24514
2023-09-14,99.1000,99.9800,98.9600,99.9300,54801
2023-09-13,96.5000,97.1200,96.5000,97.0000,14839
2023-09-12,95.6900,96.0650,95.5200,95.9900,49135
2023-09-11,96.7800,98.9300,96.6100,97.1600,15741
2023-09-08,97.0600,97.0600,96.0800,96.5100,31379
2023-09-07,97.6000,98.0799,97.5400,98.0000,22028
2023-09-06,97.0600,97.3700,96.3700,97.0300,23569
2023-09-05,95.5800,95.6400,94.5100,95.1100,16519
2023-09-01,94.8600,94.8600,93.6700,94.2200,9283
2023-08-31,93.1700,93.2300,92.6113,92.9000,9935
2023-08-30,92.3300,92.4900,92.0800,92.2600,6340
2023-08-29,90.7300,91.7700,90.7300,91.7700,10548
2023-08-28,91.2000,91.6990,90.9900,91.4000,32621
2023-08-25,90.3300,90.7900,89.7300,90.5000,12678
2023-08-24,90.8000,90.9300,89.9400,90.3100,19006
2023-08-23,90.5400,90.8900,90.3900,90.7500,11142
2023-08-22,89.7200,89.7300,89.1512,89.6000,23552
2023-08-21,89.3200,89.3200,88.7640,89.2800,155473
2023-08-18,87.4900,90.2900,87.4900,88.5300,66655
2023-08-17,88.5200,88.5200,87.7200,87.7600,13370
2023-08-16,87.7000,87.9600,87.2800,87.3900,13801
2023-08-15,89.5700,89.5700,88.4900,88.6100,15919
2023-08-14,89.4800,89.4800,88.4600,88.8500,16431
2023-08-11,89.6100,89.6100,89.0100,89.2600,9585
2023-08-10,90.7600,91.0799,89.3900,89.5800,10740
2023-08-09,90.0600,90.5299,89.3000,89.5200,16880
2023-08-08,90.7700,90.7700,89.9400,90.4000,18964
2023-08-07,91.5200,91.8300,91.1700,91.4500,19783
2023-08-04,93.1400,93.1400,91.8900,92.3200,17400
2023-08-03,91.9500,92.9100,91.9500,92.6000,21350
2023-08-02,93.7400,93.8400,93.0200,93.2200,15322
2023-08-01,95.6000,95.8700,95.2639,95.3800,11393
2023-07-31,96.7100,96.7100,96.2600,96.3800,8190
2023-07-28,96.5400,97.1700,96.2394,96.6200,14126
2023-07-27,95.3500,96.1400,95.2500,95.4800,30022
2023-07-26,93.9000,94.5000,93.9000,94.4500,9108
2023-07-25,93.6400,94.5600,93.6400,94.2400,13225
2023-07-24,93.1100,93.6700,92.9350,93.1700,12781
2023-07-21,93.1700,93.2300,92.5590,92.9800,15575
2023-07-20,92.8900,93.2590,92.7850,93.2500,9044
2023-07-19,93.8800,93.9100,93.4200,93.6600,8236
2023-07-18,93.0700,93.6400,92.8500,93.5200,14259
2023-07-17,92.3700,92.5300,92.0300,92.3600,11922
2023-07-14,93.0300,93.1200,92.3200,92.3800,16543
2023-07-13,92.4600,92.9300,92.1900,92.6100,24725
2023-07-12,91.4000,92.2750,91.1900,91.7900,16752
2023-07-11,90.3900,91.0700,90.2750,91.0300,13261
2023-07-10,89.8100,90.3600,89.8100,90.1400,18398
2023-07-07,89.7500,91.1500,89.7500,90.8500,12961
2023-07-06,89.9400,89.9400,88.9000,89.4400,19044
2023-07-05,91.2400,91.5100,91.1028,91.2400,16564
2023-07-03,91.8800,92.1600,91.5100,91.7200,20947
2023-06-30,91.0200,91.4490,90.9400,91.2100,15541
2023-06-29,90.8000,91.1900,90.7300,91.1300,25124
2023-06-28,91.9700,92.0300,91.6000,91.9600,20993
2023-06-27,89.3200,90.9300,88.9600,90.3300,29768
2023-06-26,88.6400,89.2200,88.6300,88.8800,29473
2023-06-23,89.8700,89.8800,88.9683,89.0700,20419
2023-06-22,91.9600,91.9800,91.3200,91.4000,65903
2023-06-21,88.8000,89.9100,88.8000,89.6800,36062
2023-06-20,88.2000,88.4000,87.3800,87.9000,70436
2023-06-16,89.2100,89.5300,88.9700,89.3300,109609
2023-06-15,89.7800,90.6000,89.6750,90.5600,27813
2023-06-14,90.7300,91.0300,89.8000,90.5000,38518
2023-06-13,89.4400,90.2500,89.4400,89.6500,26595
2023-06-12,88.4100,89.2300,88.1100,88.7900,73893
2023-06-09,88.4700,88.5100,88.1100,88.4800,23244
2023-06-08,87.5400,88.1631,87.3900,88.0900,12933
2023-06-07,88.7200,88.7200,88.0400,88.2100,16434
2023-06-06,88.9200,89.6800,88.9200,89.4800,15924
2023-06-05,88.8000,88.8000,87.8500,88.0300,13800
2023-06-02,87.7800,88.6700,87.7000,88.4300,28547
2023-06-01,85.3800,86.3900,85.3800,86.2700,14298
2023-05-31,83.7500,84.4800,83.5600,84.4000,39671
2023-05-30,84.6000,84.6000,84.0100,84.1300,24495
2023-05-26,84.7100,85.4900,84.7100,85.0400,15522
2023-05-25,84.9800,84.9800,84.3500,84.6600,12242
2023-05-24,85.0600,85.0800,84.2900,84.3400,26774
2023-05-23,85.9100,86.2200,85.2750,85.4900,23268
2023-05-22,86.3600,86.6211,86.0000,86.4600,16468
2023-05-19,87.4600,87.4700,86.9100,87.3400,15692
2023-05-18,88.8200,89.0150,88.3000,88.6900,48172
2023-05-17,87.8200,89.1700,87.5000,88.9500,35176
2023-05-16,87.8000,88.4000,87.5819,88.0000,16692
2023-05-15,87.0100,88.2100,86.8400,87.9700,16337
2023-05-12,85.6800,85.6800,84.6200,85.1200,14048
2023-05-11,87.2600,87.2600,86.3200,86.5200,21456
2023-05-10,87.6900,88.9800,87.6900,88.7800,21805
2023-05-09,85.7300,86.3650,85.7300,86.2100,15613
2023-05-08,85.3000,85.6500,85.0500,85.1900,13146
2023-05-05,84.1500,85.9700,84.1500,85.9400,23422
2023-05-04,83.6700,84.1600,83.0400,83.7300,18041
2023-05-03,83.8900,84.4999,83.3700,83.4000,14009
2023-05-02,83.7600,83.7600,82.6700,83.4900,17765
2023-05-01,85.3600,85.5100,84.9200,85.2200,11299
2023-04-28,85.2000,85.3100,84.5500,85.3100,7836
2023-04-27,85.1700,85.9300,85.1015,85.9300,18322
