,MEI_open,MEI_high,MEI_low,MEI_close,MEI_volume
2023-10-26,22.8200,23.2600,22.8200,23.0700,168073
2023-10-25,22.9600,23.0800,22.5900,22.7800,226491
2023-10-24,23.4200,23.5700,23.2100,23.2400,307063
2023-10-23,23.3900,23.6300,23.2450,23.2800,512289
2023-10-20,23.8900,23.8900,23.5400,23.5600,329005
2023-10-19,24.4300,24.4900,23.6100,23.7600,476752
2023-10-18,24.9200,25.0199,24.4800,24.5000,244922
2023-10-17,25.2800,25.7800,25.1800,25.1900,363658
2023-10-16,25.1100,26.0250,25.0050,25.5100,585623
2023-10-13,24.9400,24.9400,24.4500,24.8700,461214
2023-10-12,25.0600,25.1400,24.6000,24.7800,310980
2023-10-11,25.0600,25.2500,24.7300,25.1000,269449
2023-10-10,24.4300,25.2600,24.4200,24.9500,505641
2023-10-09,23.2900,24.5000,23.0300,24.2700,460964
2023-10-06,23.1600,23.7500,22.9800,23.4700,451992
2023-10-05,23.1800,23.4500,22.8600,23.2500,684222
2023-10-04,23.0100,23.3200,22.8400,23.2800,233509
2023-10-03,23.3900,23.4850,22.9600,22.9900,520227
2023-10-02,22.7000,23.5400,22.2650,23.4900,519449
2023-09-29,22.5300,23.0600,22.3800,22.8500,530921
2023-09-28,22.2300,22.6400,22.2100,22.3800,523394
2023-09-27,22.3800,22.4450,22.1300,22.2200,370302
2023-09-26,22.8000,23.5500,22.0400,22.2100,775851
2023-09-25,21.6600,22.2800,21.6600,22.0000,423963
2023-09-22,21.7300,21.7700,21.3900,21.4900,364771
2023-09-21,22.0300,22.0300,21.3800,21.6000,263168
2023-09-20,22.4000,22.8200,22.2150,22.2300,299258
2023-09-19,22.1500,22.5150,22.0600,22.2400,396003
2023-09-18,22.5900,22.7500,22.1900,22.2800,311191
2023-09-15,22.7700,22.8274,21.9300,22.5000,842215
2023-09-14,23.0400,23.4000,22.7000,22.8400,390187
2023-09-13,22.7900,23.0500,22.7400,22.8300,356829
2023-09-12,22.5100,22.8300,22.2200,22.7700,379637
2023-09-11,23.5300,23.9600,22.5900,22.6100,505164
2023-09-08,23.1700,24.3185,23.1000,23.3400,491969
2023-09-07,27.1100,27.1100,23.0500,23.3300,831105
2023-09-06,30.3400,30.6400,29.7300,30.0000,312397
2023-09-05,30.7100,30.8200,29.8500,30.1100,323195
2023-09-01,32.4000,32.4775,30.9650,31.1100,372450
2023-08-31,32.5600,32.8650,32.1400,32.2500,332838
2023-08-30,32.3500,32.7950,32.3500,32.5800,206824
2023-08-29,32.0400,32.5300,32.0400,32.5200,157892
2023-08-28,32.0300,32.5100,32.0300,32.1400,117824
2023-08-25,31.9600,32.1800,31.5300,31.8700,205906
2023-08-24,32.0000,32.2550,31.6500,31.8800,195560
2023-08-23,31.6500,32.2000,31.3400,32.1700,150858
2023-08-22,31.1100,31.4900,30.8100,31.4400,297251
2023-08-21,31.1600,31.2500,30.8800,30.9400,297235
2023-08-18,31.2500,31.6400,31.1800,31.2500,323531
2023-08-17,31.5800,31.8300,31.3700,31.4400,179184
2023-08-16,31.5900,31.8000,31.2800,31.4400,109870
2023-08-15,31.7700,31.7700,31.3300,31.5200,102063
2023-08-14,31.8500,31.9200,31.3600,31.9000,119246
2023-08-11,32.1500,32.3300,31.9500,31.9800,85747
2023-08-10,32.7200,33.0400,32.1660,32.2700,175983
2023-08-09,32.7200,32.7200,32.2600,32.6000,156142
2023-08-08,33.1100,33.3300,32.2900,32.6600,126476
2023-08-07,33.4900,33.5850,33.2050,33.5000,97752
2023-08-04,33.1300,33.7600,33.1100,33.2800,100559
2023-08-03,33.2700,33.3800,32.8078,33.1500,109265
2023-08-02,33.4200,33.8600,33.2568,33.5400,144488
2023-08-01,33.3700,33.8500,33.3100,33.8200,158184
2023-07-31,32.7200,33.7500,32.7100,33.6400,400263
2023-07-28,32.8400,33.0500,32.6900,32.7100,92134
2023-07-27,33.1500,33.5700,32.5400,32.6600,131507
2023-07-26,32.6300,33.2700,32.6300,33.0200,136695
2023-07-25,32.8300,33.1000,32.7000,32.8200,134097
2023-07-24,32.4600,33.0550,32.3600,32.9300,202251
2023-07-21,32.4900,32.6500,31.9900,32.4200,377920
2023-07-20,33.1100,33.1100,32.1800,32.3000,177739
2023-07-19,33.0600,33.2500,32.7200,33.0700,211265
2023-07-18,33.4500,33.8400,32.8500,33.0900,152611
2023-07-17,33.2000,33.4800,33.0600,33.3100,368021
2023-07-14,33.5800,33.5923,33.0200,33.2700,167101
2023-07-13,33.8200,34.0400,33.4000,33.8000,329413
2023-07-12,33.5900,33.8300,33.0700,33.7200,644491
2023-07-11,32.9800,33.1650,32.4000,32.9400,538808
2023-07-10,32.6500,33.2400,32.6500,32.7900,676879
2023-07-07,33.0000,33.1675,32.7100,32.7600,260202
2023-07-06,32.8400,33.1250,32.6000,32.8500,238745
2023-07-05,33.2700,33.6500,32.9200,33.3300,213625
2023-07-03,33.3500,33.6900,33.3100,33.4800,105653
2023-06-30,33.6600,34.0200,33.3900,33.5200,390062
2023-06-29,32.6600,33.5600,32.5930,33.2800,328925
2023-06-28,32.8000,33.3300,32.5400,32.5400,292793
2023-06-27,32.5600,33.0100,32.2500,32.6900,457979
2023-06-26,33.0100,33.5000,32.3700,32.5100,356448
2023-06-23,33.7000,34.3100,32.2500,32.7700,799225
2023-06-22,36.6000,36.6000,33.6200,34.0400,608176
2023-06-21,37.2600,37.7000,36.8700,37.5200,267044
2023-06-20,38.0500,38.0500,37.3833,37.5200,236920
2023-06-16,38.8400,38.8400,37.5900,38.1600,622152
2023-06-15,37.0800,38.2000,37.0625,38.2000,468044
2023-06-14,37.0000,37.8650,36.7700,37.2000,754162
2023-06-13,38.6800,38.6800,36.1700,36.9000,1832668
2023-06-12,45.2000,45.3900,44.9000,45.0700,248539
2023-06-09,45.4700,45.8200,44.9700,45.1000,83664
2023-06-08,46.3100,46.3100,45.0800,45.5100,201996
2023-06-07,45.2300,46.5800,45.0900,46.2900,202839
2023-06-06,43.0200,45.2700,42.6700,44.7900,121836
2023-06-05,43.8100,43.8100,42.8200,43.0400,146400
2023-06-02,43.5600,44.5400,43.0700,44.4400,142332
2023-06-01,42.9000,43.1000,42.0900,42.8600,107859
2023-05-31,43.1700,43.5050,42.5400,43.0500,481111
2023-05-30,43.9100,43.9900,43.4300,43.4500,92150
2023-05-26,42.7100,44.0300,42.7100,43.8500,185914
2023-05-25,42.2400,42.8200,42.0900,42.7000,245748
2023-05-24,42.3200,42.3600,41.8250,42.0900,114924
2023-05-23,42.1000,43.1300,42.1000,42.4700,108158
2023-05-22,42.0600,42.6319,41.8685,42.2600,100651
2023-05-19,42.5900,42.5900,41.4100,41.9200,78360
2023-05-18,41.5500,42.3700,41.5500,42.1400,76059
2023-05-17,41.2000,41.7900,40.9100,41.6400,155361
2023-05-16,40.6600,40.9450,40.4590,40.8700,75885
2023-05-15,41.0300,41.2800,40.8100,40.8400,91919
2023-05-12,40.8000,41.1400,40.5800,40.8700,63719
2023-05-11,40.4200,40.8300,40.0400,40.7000,85564
2023-05-10,41.3700,41.3700,40.2500,40.9300,123584
2023-05-09,40.5800,41.1000,40.5200,40.7100,83186
2023-05-08,41.0600,41.1150,40.5600,40.7900,61186
2023-05-05,40.4700,41.1200,40.4100,40.9600,101148
2023-05-04,40.4500,40.4500,39.5700,39.7600,133347
2023-05-03,41.1600,41.7800,40.8900,40.9600,116563
2023-05-02,40.8700,41.1200,40.3000,41.1000,84215
2023-05-01,40.9200,41.7600,40.9200,41.2200,79400
2023-04-28,40.6900,41.2450,40.6850,40.9900,112403
2023-04-27,40.3100,40.7600,40.0500,40.7500,109432
2023-04-26,40.2300,40.6200,40.1300,40.2800,90384
2023-04-25,41.0700,41.2600,40.4600,40.5300,97244
2023-04-24,41.4900,41.9800,41.3400,41.5300,106870
2023-04-21,42.6600,42.6600,41.6000,41.7800,127113
2023-04-20,42.6000,42.7200,42.3350,42.6700,99290
2023-04-19,42.5800,42.9900,42.5800,42.7000,188561
2023-04-18,43.3200,43.4300,42.7100,43.0500,185785
2023-04-17,42.7900,43.3000,42.7900,43.1500,80851
2023-04-14,42.6800,43.2500,42.5800,42.8600,114926
2023-04-13,42.7200,43.0000,41.9800,42.8800,204091
2023-04-12,42.9800,42.9800,42.4200,42.7000,98625
2023-04-11,42.3500,42.8700,42.0500,42.4800,128456
2023-04-10,41.4400,42.2800,41.3500,42.1500,156739
2023-04-06,41.7400,41.7400,41.2900,41.7000,168082
2023-04-05,41.6800,41.6800,41.1900,41.5900,229201
2023-04-04,43.6800,43.6800,41.4700,41.8000,262644
2023-04-03,43.7800,43.9350,42.9700,43.6000,324477
2023-03-31,43.2900,43.9300,43.2500,43.8800,202406
2023-03-30,43.4000,43.6400,43.0000,43.0500,147212
2023-03-29,42.8000,43.3100,42.3580,43.2000,406643
2023-03-28,41.9600,42.4900,41.7500,42.3000,171877
2023-03-27,42.0100,42.1900,41.6500,42.1500,313639
2023-03-24,41.0100,41.5000,41.0100,41.4000,128792
2023-03-23,41.4900,41.9600,40.9600,41.3800,159310
2023-03-22,42.2000,42.5400,41.2000,41.2500,116023
2023-03-21,42.1600,42.8000,41.9000,42.0700,207554
2023-03-20,41.4200,41.9100,41.1800,41.4000,169554
2023-03-17,41.6400,42.1400,40.5000,40.9200,806315
2023-03-16,40.7800,42.1100,40.7700,41.8300,174568
2023-03-15,40.9800,41.4200,40.5100,41.3700,238041
2023-03-14,42.3100,42.5000,41.5700,42.0500,295389
2023-03-13,42.0100,42.0900,41.0350,41.3600,227414
2023-03-10,43.2900,43.8525,42.2050,42.9300,389454
2023-03-09,43.0300,45.8450,42.7400,43.6900,592637
2023-03-08,48.0100,48.1000,47.0400,47.6100,151083
2023-03-07,47.7700,48.2950,46.9400,47.7100,171979
2023-03-06,50.0800,50.0800,47.3100,47.7400,239947
2023-03-03,50.5000,50.7400,49.9645,50.1500,110189
2023-03-02,49.0400,50.2500,48.9900,50.2400,91576
2023-03-01,48.6600,49.4500,48.6600,49.4100,79899
2023-02-28,48.3100,49.2750,48.3100,48.7300,181735
2023-02-27,49.0200,49.2300,48.1400,48.2300,89173
2023-02-24,48.3000,48.6000,47.9900,48.6000,90448
2023-02-23,49.0300,49.2400,48.3300,49.0200,75024
2023-02-22,48.7800,49.1700,48.5400,48.8100,137052
2023-02-21,49.2100,49.3150,48.5900,48.7800,96549
2023-02-17,49.7800,50.0300,49.5300,49.6700,89068
2023-02-16,49.0500,49.9250,49.0500,49.7100,82627
2023-02-15,49.1600,49.9700,49.0700,49.7600,62905
2023-02-14,49.2100,49.9650,48.9400,49.4200,97349
2023-02-13,48.3800,49.5400,48.3800,49.3900,88480
2023-02-10,48.6700,48.9600,48.3722,48.5500,80772
2023-02-09,49.5200,49.7300,48.8900,48.9300,62534
2023-02-08,49.5200,49.7800,48.6350,49.2600,84093
2023-02-07,49.5900,50.3100,49.2900,49.9200,89359
2023-02-06,50.2000,50.3800,49.4600,49.9800,94193
2023-02-03,50.2000,51.3800,50.2000,50.4300,185122
2023-02-02,49.4700,50.5200,49.4700,50.4500,128288
2023-02-01,47.7900,49.7900,47.7900,49.3800,222161
2023-01-31,46.8000,48.1400,46.8000,47.7400,244053
2023-01-30,46.7100,47.1500,46.6200,46.7800,74739
2023-01-27,46.7100,47.5300,46.5400,46.9700,102012
2023-01-26,47.1600,47.1600,46.0750,46.7700,100512
2023-01-25,45.9300,46.9400,45.5901,46.9400,95703
2023-01-24,45.5500,46.4100,45.3800,46.3300,76903
2023-01-23,45.7900,46.1500,45.3800,45.8700,82515
2023-01-20,45.8600,45.8600,44.9800,45.8200,123031
2023-01-19,45.9400,45.9400,44.9600,45.5100,109093
2023-01-18,47.0300,47.2700,46.0900,46.2800,81543
2023-01-17,46.8900,47.0100,46.4100,46.6300,73687
2023-01-13,46.1600,47.2400,46.1600,46.9700,76790
2023-01-12,46.7900,46.8900,46.3600,46.7400,94186
2023-01-11,46.9400,47.7300,46.7200,46.7700,85776
2023-01-10,46.5600,47.2200,46.3600,46.9900,86568
2023-01-09,46.5200,47.5900,46.4700,46.7300,116357
2023-01-06,45.5900,46.5100,45.4500,46.2600,112990
2023-01-05,44.4700,45.1650,44.4000,45.0000,79511
2023-01-04,45.4300,45.5500,44.2600,44.6700,126243
2023-01-03,44.8800,45.2550,44.5500,44.9200,149574
2022-12-30,44.5800,44.7800,44.1050,44.3700,125438
2022-12-29,44.2000,44.9900,44.0450,44.8200,99198
2022-12-28,45.1300,45.4400,43.5900,43.6200,73723
2022-12-27,44.5100,45.3900,43.8100,44.8700,201174
2022-12-23,43.9500,44.5900,43.7800,44.2700,83019
2022-12-22,44.4800,44.4800,43.2600,43.9900,99286
2022-12-21,44.6500,45.2200,44.6500,44.9300,97581
2022-12-20,44.2700,45.3250,43.9800,44.4100,114569
2022-12-19,44.1600,44.3400,43.6800,44.0300,354871
2022-12-16,43.9200,44.5497,43.7600,44.1100,449225
2022-12-15,45.9600,45.9600,44.4800,44.6200,133229
2022-12-14,47.5000,47.7100,46.1600,46.3800,122524
2022-12-13,48.4300,48.7100,47.2100,47.2500,125858
2022-12-12,46.5700,47.4300,46.4800,47.2000,93846
2022-12-09,46.4300,47.0000,46.2800,46.8500,125248
2022-12-08,47.0200,47.1050,46.4700,46.7100,157215
2022-12-07,48.0400,48.2400,46.8000,46.9100,225600
2022-12-06,48.8800,48.8900,47.6800,48.1700,149489
2022-12-05,50.1200,50.1200,48.7150,48.8400,142569
2022-12-02,48.7300,50.3900,48.5100,50.2300,132009
2022-12-01,46.5000,49.4200,46.1950,48.9700,147032
2022-11-30,44.3100,45.6800,43.4200,45.6800,327264
2022-11-29,44.1200,44.9300,43.8900,44.0000,260484
2022-11-28,45.2600,45.2600,44.2000,44.4000,109771
2022-11-25,45.2100,45.9500,45.1706,45.6200,73103
2022-11-23,45.3400,45.6506,44.9100,45.3400,106321
2022-11-22,44.5700,45.5850,44.0600,45.5000,245526
