,MLI_open,MLI_high,MLI_low,MLI_close,MLI_volume
2023-10-26,37.4500,38.1100,37.1600,37.4100,1007690
2023-10-25,36.3900,37.5900,36.3900,37.3100,1157038
2023-10-24,36.7950,37.1700,35.5300,36.2900,1383899
2023-10-23,35.3000,36.0199,35.0100,35.0700,674969
2023-10-20,71.1000,71.3150,69.9200,70.4500,348875
2023-10-19,70.7800,72.4100,70.2500,70.9500,417423
2023-10-18,74.5200,74.6000,70.8500,70.8700,304208
2023-10-17,73.4200,75.4400,72.8900,74.7400,359467
2023-10-16,73.4500,74.3900,72.9900,73.5900,239668
2023-10-13,72.8700,73.3550,71.8200,72.5700,304933
2023-10-12,75.0200,75.0200,72.5100,72.9500,299474
2023-10-11,74.6600,75.6300,74.1400,74.8700,223219
2023-10-10,74.5000,75.5300,74.4300,74.4700,231322
2023-10-09,72.7600,74.3000,72.7600,74.2400,227708
2023-10-06,72.4400,74.6200,72.1800,73.3100,361981
2023-10-05,72.8500,73.1200,72.0146,72.7300,287320
2023-10-04,72.9300,73.1400,71.6300,72.9000,344494
2023-10-03,73.6000,73.8800,72.4650,72.8800,323166
2023-10-02,75.0000,75.4100,73.2150,73.8500,452081
2023-09-29,76.8900,77.0900,74.8000,75.1600,359038
2023-09-28,76.1300,77.5500,76.0000,76.3700,408182
2023-09-27,74.8100,76.5950,74.3100,75.8600,446265
2023-09-26,73.5000,74.1850,73.1800,73.2300,262714
2023-09-25,72.8700,74.1000,72.6600,73.8800,203535
2023-09-22,72.6100,73.7100,72.6100,72.9400,195724
2023-09-21,73.1300,73.4700,72.4150,72.6200,366251
2023-09-20,74.9000,75.9550,73.6300,73.6400,266013
2023-09-19,74.4600,74.9550,73.7300,74.4900,243989
2023-09-18,74.1100,74.7975,73.9100,74.3300,320940
2023-09-15,74.5900,74.6700,73.1300,73.9000,1359873
2023-09-14,73.5700,75.2400,73.5700,74.6400,297472
2023-09-13,72.0500,72.8450,71.7900,72.6800,316830
2023-09-12,72.2600,72.6600,71.9000,72.2900,244944
