,MTZ_open,MTZ_high,MTZ_low,MTZ_close,MTZ_volume
2023-10-13,66.4300,66.4900,62.6000,63.7900,1098627
2023-10-12,67.7400,69.2050,66.3300,66.5000,945359
2023-10-11,69.8900,71.1700,66.6100,67.0200,1404809
2023-10-10,66.9600,70.0900,66.7943,69.8100,1235044
2023-10-09,68.3300,68.4200,66.1000,66.5700,937582
2023-10-06,67.3300,69.7400,67.2700,68.8900,542994
2023-10-05,67.9100,68.7900,67.2200,67.9700,1019862
2023-10-04,66.8700,68.4400,65.8750,68.2800,1176497
2023-10-03,68.9700,69.0900,66.0400,66.9300,1070127
2023-10-02,71.8200,71.9600,68.9100,69.5700,1398080
2023-09-29,73.5900,73.7000,71.6150,71.9700,743958
2023-09-28,72.2200,74.2600,72.2200,72.8200,560496
2023-09-27,73.0100,74.7000,71.9900,72.9000,831302
2023-09-26,73.0700,73.7600,71.8600,72.2700,1290575
2023-09-25,76.2400,77.0950,73.3500,73.5000,2209158
2023-09-22,78.3200,79.0350,76.5000,76.6000,1575898
2023-09-21,81.4200,81.4450,77.7900,78.1300,965447
2023-09-20,83.5700,84.5450,81.7700,82.0400,418295
2023-09-19,83.8600,84.4050,82.3000,83.2700,564789
2023-09-18,84.6100,85.3300,83.8000,83.8600,378283
2023-09-15,86.7000,86.7100,83.3000,84.3900,1028074
2023-09-14,84.5300,87.2900,83.9100,87.1900,1124338
2023-09-13,87.8400,87.8400,83.3400,83.7100,1678866
2023-09-12,90.0500,91.3000,88.0100,88.1800,807080
2023-09-11,92.3000,92.3450,89.2400,90.3300,716751
2023-09-08,92.8900,93.1000,91.4700,91.7400,514164
2023-09-07,92.9900,93.0100,91.4750,92.4800,728229
2023-09-06,95.8900,97.0200,93.1200,93.8700,536356
2023-09-05,98.4600,98.8050,94.7062,95.6100,730848
2023-09-01,99.8700,101.0900,98.3150,99.4700,608583
2023-08-31,99.8000,100.2500,98.9500,99.4900,315512
2023-08-30,100.8200,101.5400,99.3900,99.4300,605614
2023-08-29,98.7900,101.1411,98.3000,100.7500,494754
2023-08-28,96.7500,99.2025,96.7500,98.7800,447742
2023-08-25,95.6700,97.1800,94.8200,96.3700,418366
2023-08-24,97.0000,97.5500,95.6400,95.6600,339969
2023-08-23,97.2900,97.3350,95.6800,97.0800,407336
2023-08-22,95.7000,97.7300,95.3950,97.0100,669386
2023-08-21,94.5200,95.4000,93.6200,95.3200,401512
2023-08-18,92.2400,94.5500,92.0864,94.1600,513578
2023-08-17,93.5100,93.9750,92.5000,93.0800,434617
2023-08-16,93.3000,95.1800,93.3000,93.5900,373379
2023-08-15,94.1900,94.4350,92.6400,93.7900,393942
2023-08-14,93.8000,94.8000,93.1200,94.4800,554048
2023-08-11,93.9800,94.6250,93.0500,94.1200,565196
2023-08-10,93.3000,96.1450,93.0300,94.0700,745373
2023-08-09,92.7500,94.3400,91.6900,93.2600,989800
2023-08-08,95.6000,96.1700,91.4600,92.7000,1440034
2023-08-07,98.0100,98.0100,95.5600,96.1400,1634292
2023-08-04,104.9000,107.0000,97.0301,99.5600,3730172
2023-08-03,121.3900,123.3300,119.6700,120.9600,1526704
2023-08-02,121.0800,122.3100,120.2200,122.0800,817634
2023-08-01,117.4000,122.5800,117.3100,121.9500,812978
2023-07-31,117.4500,117.8350,116.6150,117.7500,399874
2023-07-28,118.1700,119.0800,115.2200,117.0200,511932
2023-07-27,117.2800,121.8300,115.6400,117.6400,1444155
2023-07-26,116.5300,117.5200,116.0600,116.5100,371491
2023-07-25,116.0000,118.1300,116.0000,116.8800,326869
2023-07-24,115.0500,116.8200,114.8500,116.5100,471665
2023-07-21,115.0500,115.6800,113.8100,114.6900,455389
2023-07-20,115.6100,115.8500,114.1900,114.5100,478166
2023-07-19,115.9200,116.9100,114.5500,115.1800,525504
