,MX_open,MX_high,MX_low,MX_close,MX_volume
2023-10-13,8.0400,8.0400,7.4797,7.5200,335573
2023-10-12,8.1600,8.1600,7.9600,8.0500,147839
2023-10-11,8.1000,8.2109,8.0300,8.1300,174641
2023-10-10,8.0200,8.2200,7.9600,8.1000,251754
2023-10-09,8.1800,8.2500,7.9400,7.9700,182546
2023-10-06,8.2200,8.3025,8.1500,8.2700,128154
2023-10-05,8.2400,8.3000,8.1500,8.2700,91744
2023-10-04,8.2900,8.3600,8.1900,8.2300,94071
2023-10-03,8.1100,8.5000,8.1100,8.3200,219657
2023-10-02,8.2900,8.4300,8.2000,8.2100,342712
2023-09-29,8.2100,8.3800,8.1800,8.3100,182509
2023-09-28,7.9800,8.2300,7.9200,8.1900,138768
2023-09-27,7.7500,8.0650,7.7500,7.9800,295102
2023-09-26,7.7100,7.9000,7.6600,7.7100,166293
2023-09-25,7.7800,7.8700,7.7100,7.7400,188785
2023-09-22,7.7600,7.8249,7.6700,7.7900,208120
2023-09-21,7.6500,7.8500,7.5500,7.7400,268183
2023-09-20,7.8700,7.9550,7.7100,7.7100,163620
2023-09-19,8.0000,8.0000,7.7600,7.8400,247427
2023-09-18,7.7600,8.0100,7.5700,7.9800,342716
2023-09-15,8.1500,8.1500,7.7650,7.8300,515176
2023-09-14,8.1000,8.1700,8.0600,8.1500,128175
2023-09-13,8.2000,8.2400,8.0000,8.0500,187831
2023-09-12,8.1500,8.3500,8.1499,8.2600,108759
2023-09-11,8.5800,8.6300,8.1400,8.1500,246788
2023-09-08,8.2100,8.5800,8.1300,8.5600,216863
2023-09-07,8.1000,8.2500,8.0350,8.2100,284526
2023-09-06,8.0800,8.2100,8.0300,8.2000,120527
2023-09-05,8.1800,8.2000,8.0700,8.1000,125300
2023-09-01,8.2200,8.3100,8.1100,8.2000,240890
2023-08-31,8.0400,8.2800,8.0400,8.2200,131370
2023-08-30,8.0800,8.1827,8.0500,8.0800,86616
2023-08-29,8.0000,8.2200,8.0000,8.1000,111493
2023-08-28,8.0300,8.0890,7.9200,8.0000,142883
2023-08-25,8.0700,8.1600,7.9127,7.9800,157000
2023-08-24,8.3600,8.3600,8.0800,8.1200,162454
2023-08-23,8.2000,8.4100,8.2000,8.3500,101702
2023-08-22,8.4000,8.4400,8.2150,8.2300,180433
2023-08-21,8.2300,8.3900,8.1600,8.3800,117091
2023-08-18,8.3300,8.4024,8.2400,8.2600,141786
2023-08-17,8.2200,8.3900,8.2200,8.3400,189874
2023-08-16,8.3500,8.3600,8.1000,8.1000,280473
2023-08-15,8.5900,8.5900,8.3399,8.4100,158519
2023-08-14,8.3600,8.6200,8.3200,8.6000,217532
2023-08-11,8.5400,8.5900,8.3200,8.3600,258559
2023-08-10,8.8800,8.9200,8.5400,8.5900,361091
2023-08-09,9.0700,9.0700,8.7500,8.8800,281150
2023-08-08,9.2000,9.5100,9.0700,9.1800,438575
2023-08-07,9.2300,9.2900,9.0450,9.1200,218465
2023-08-04,9.1000,9.3671,9.0900,9.2700,137416
2023-08-03,9.0900,9.2000,9.0300,9.1700,120372
2023-08-02,9.3400,9.3400,9.1000,9.1300,153604
2023-08-01,9.2300,9.3900,9.1600,9.3900,149009
2023-07-31,9.1000,9.3600,9.1000,9.2500,161831
2023-07-28,9.1400,9.2000,9.0600,9.1200,145313
2023-07-27,9.0000,9.2100,8.9650,9.0500,192416
2023-07-26,8.6500,8.8900,8.5900,8.8800,256202
2023-07-25,8.7500,8.9100,8.6900,8.7200,256814
2023-07-24,9.0700,9.1150,8.6400,8.7200,427667
2023-07-21,9.2000,9.2100,9.0400,9.1200,233064
2023-07-20,9.2100,9.2800,9.0600,9.1400,135603
2023-07-19,9.4700,9.5350,9.2800,9.2800,205872
2023-07-18,9.5000,9.6600,9.3950,9.5200,199901
2023-07-17,9.5000,9.5800,9.3000,9.4800,283873
2023-07-14,10.1100,10.1600,9.5400,9.5700,189199
2023-07-13,10.1500,10.2800,9.9900,10.1100,351416
2023-07-12,10.2400,10.2900,10.0800,10.1300,147338
2023-07-11,10.1600,10.2100,10.0300,10.1200,117649
2023-07-10,10.1700,10.1700,9.9300,10.1000,234283
2023-07-07,10.3600,10.4200,10.1750,10.2000,189018
2023-07-06,10.7000,10.7100,10.3000,10.3300,289393
2023-07-05,11.0400,11.0750,10.7900,10.8100,167683
2023-07-03,11.2600,11.3450,10.9700,11.0500,74378
2023-06-30,11.3200,11.4800,11.1500,11.1800,327460
2023-06-29,11.2000,11.2800,11.0050,11.2100,346644
2023-06-28,11.0800,11.1900,10.9600,11.1800,261714
2023-06-27,11.0000,11.2500,10.8700,11.1700,330825
2023-06-26,11.2500,11.4950,10.9100,10.9700,318594
2023-06-23,11.2100,11.3600,11.0850,11.2000,366566
2023-06-22,11.1400,11.3750,11.0400,11.2700,227276
2023-06-21,11.1200,11.3600,11.1200,11.1500,226601
2023-06-20,11.1000,11.4600,11.0300,11.2400,262189
2023-06-16,11.2000,11.3500,10.9700,11.1300,655513
2023-06-15,10.9100,11.1200,10.9100,11.0600,308751
2023-06-14,10.9300,11.1000,10.8800,11.0000,402639
2023-06-13,11.1500,11.3000,10.8916,10.9700,274106
2023-06-12,11.3200,11.3800,11.0101,11.0700,363169
2023-06-09,10.9800,11.6800,10.8801,11.2200,652396
2023-06-08,10.7000,10.8700,10.6450,10.6700,271117
2023-06-07,10.7100,10.9000,10.7000,10.7000,324475
2023-06-06,10.5000,10.8600,10.4600,10.6500,321369
2023-06-05,10.2400,10.5600,10.1800,10.5100,301524
2023-06-02,10.3700,10.3800,10.1700,10.2900,238477
2023-06-01,10.2200,10.5200,10.1950,10.2600,377421
2023-05-31,9.8600,10.2350,9.7500,10.2300,1178139
2023-05-30,10.8800,11.0600,9.9800,9.9900,681220
2023-05-26,10.3500,10.7000,10.3500,10.6600,454136
2023-05-25,10.2700,10.3300,9.9200,10.2700,497989
2023-05-24,10.2100,10.2950,10.0450,10.1100,326690
2023-05-23,9.7200,10.2800,9.7200,10.2600,546774
2023-05-22,9.4900,9.8400,9.4900,9.7800,302448
2023-05-19,9.3900,9.5300,9.3300,9.4900,172169
2023-05-18,9.0700,9.4800,9.0150,9.4000,305583
2023-05-17,8.8400,9.1350,8.8000,9.0700,178168
2023-05-16,8.5300,8.8100,8.4570,8.7800,212077
2023-05-15,8.3900,8.5550,8.3100,8.5000,620427
2023-05-12,8.5100,8.6450,8.3100,8.3500,287748
2023-05-11,8.6100,8.6100,8.4200,8.5000,224885
2023-05-10,8.7800,8.8100,8.6100,8.6700,178267
2023-05-09,8.6600,8.7800,8.6000,8.6600,677308
2023-05-08,8.6800,8.7700,8.5600,8.7600,177776
2023-05-05,8.6900,8.7800,8.5750,8.7100,240695
2023-05-04,8.4800,8.7400,8.1800,8.6500,521620
2023-05-03,8.6300,8.7300,8.4800,8.6800,289782
2023-05-02,8.7200,8.8105,8.6200,8.6400,210911
2023-05-01,8.8500,8.9800,8.6800,8.6800,256459
2023-04-28,8.9200,9.1850,8.8600,8.8800,218808
2023-04-27,8.9300,8.9550,8.7950,8.9200,235128
2023-04-26,8.9100,9.0750,8.8600,8.9100,167906
2023-04-25,8.9400,8.9400,8.6900,8.9000,267106
2023-04-24,9.1000,9.1300,8.9700,9.0000,135207
2023-04-21,9.1700,9.2000,9.0550,9.1000,152121
2023-04-20,9.1700,9.3175,9.1300,9.1600,137959
2023-04-19,9.2100,9.3250,9.1300,9.2000,139183
2023-04-18,9.2900,9.4200,9.1655,9.3300,440840
2023-04-17,9.3900,9.3901,9.0950,9.2300,224003
2023-04-14,9.0500,9.4200,9.0500,9.4000,231980
2023-04-13,9.0900,9.1600,8.9588,9.0200,220266
2023-04-12,9.3200,9.3200,9.0100,9.0500,166781
2023-04-11,9.2900,9.3900,9.2100,9.2800,159133
2023-04-10,9.0200,9.2950,9.0000,9.2600,129127
2023-04-06,9.0500,9.1600,9.0100,9.0800,177401
2023-04-05,9.1500,9.1500,8.9250,9.1000,183151
2023-04-04,9.3500,9.4400,9.1700,9.2000,259654
2023-04-03,9.2900,9.5000,9.2400,9.3500,221727
2023-03-31,9.1000,9.3200,9.1000,9.2800,397215
2023-03-30,9.1600,9.2100,8.9800,9.1000,156000
2023-03-29,8.8900,9.1700,8.8700,9.0800,255838
2023-03-28,8.9150,8.9500,8.7900,8.8100,228808
2023-03-27,9.1500,9.1500,8.9000,8.9500,167687
2023-03-24,9.0800,9.1750,9.0200,9.1100,197056
2023-03-23,9.1500,9.4200,9.1150,9.1900,306410
2023-03-22,8.9600,9.2399,8.9500,9.0200,345897
2023-03-21,8.8100,9.1000,8.7900,8.9400,341446
2023-03-20,8.7900,8.7900,8.5400,8.7300,520181
2023-03-17,9.1000,9.1400,8.7300,8.7600,531824
2023-03-16,8.9700,9.2100,8.9020,9.0900,319269
2023-03-15,8.9400,9.0700,8.8600,9.0500,245805
2023-03-14,9.2000,9.4200,9.0300,9.0800,204784
2023-03-13,9.2200,9.2400,9.0000,9.0100,349379
2023-03-10,9.4300,9.5700,9.2850,9.3900,202579
2023-03-09,9.7100,9.9500,9.4450,9.4600,201949
2023-03-08,9.3800,9.7600,9.3797,9.7300,290153
2023-03-07,9.4800,9.4850,9.3000,9.3400,496596
2023-03-06,9.6600,9.7600,9.4550,9.4900,301205
2023-03-03,9.2300,9.7000,9.1600,9.5900,364726
2023-03-02,9.3200,9.5150,9.1500,9.2000,664224
2023-03-01,9.6200,9.6800,9.4200,9.4200,222856
2023-02-28,9.6000,9.7700,9.5600,9.5800,352374
2023-02-27,9.8300,9.8300,9.5900,9.6300,139551
2023-02-24,9.8900,9.9350,9.7400,9.7600,158561
2023-02-23,9.7600,10.1500,9.6300,10.0900,315288
2023-02-22,9.6400,9.7300,9.5250,9.5600,285885
2023-02-21,9.5500,9.8400,9.5500,9.6300,186073
2023-02-17,9.1000,9.9100,9.0000,9.7400,609975
2023-02-16,10.1700,10.3700,10.0400,10.2700,223918
2023-02-15,10.3400,10.4300,10.2500,10.2700,171982
2023-02-14,10.1300,10.4400,10.1300,10.4200,290270
2023-02-13,10.0800,10.4000,9.9800,10.2400,204881
2023-02-10,10.2300,10.2900,10.0000,10.0800,178240
2023-02-09,10.3100,10.4600,10.1801,10.2800,252994
2023-02-08,10.3900,10.4300,10.2000,10.2100,172416
2023-02-07,10.3000,10.5100,10.2900,10.3900,150375
2023-02-06,10.6200,10.6400,10.2100,10.2900,293510
2023-02-03,10.8000,11.0800,10.7100,10.7200,165566
2023-02-02,11.1000,11.2899,10.7900,10.8400,315390
2023-02-01,10.5800,11.0900,10.5700,11.0400,283702
2023-01-31,10.5100,10.8000,10.4500,10.6000,453649
2023-01-30,10.6900,10.7300,10.4300,10.5000,225116
2023-01-27,10.4300,10.8500,10.4100,10.8300,160766
2023-01-26,10.8400,10.9000,10.4350,10.5300,399854
2023-01-25,10.5700,10.9400,10.5350,10.7400,124424
2023-01-24,10.6700,11.0200,10.6650,10.6900,148303
2023-01-23,10.7900,11.0450,10.6700,10.8900,201892
2023-01-20,10.5100,10.7700,10.4200,10.7100,129863
2023-01-19,10.6000,10.6650,10.4500,10.5200,107498
2023-01-18,10.9400,11.0500,10.6400,10.6600,140540
2023-01-17,10.7500,11.0050,10.6915,10.8500,174080
2023-01-13,10.7900,10.9200,10.6700,10.7800,196234
2023-01-12,10.9700,11.0398,10.7500,10.9300,325594
2023-01-11,10.9100,11.0200,10.7950,10.9300,234280
2023-01-10,10.5000,10.8100,10.4650,10.8100,309629
2023-01-09,10.1300,10.4800,10.0200,10.4300,361645
2023-01-06,9.5500,10.1500,9.4800,10.0000,478831
2023-01-05,9.7000,9.8418,9.4600,9.4600,186986
2023-01-04,9.5700,9.8900,9.4300,9.8300,155850
2023-01-03,9.4900,9.6700,9.3400,9.4100,270347
2022-12-30,9.0300,9.4050,8.9900,9.3900,443499
2022-12-29,8.6800,9.2750,8.6750,9.1400,826074
2022-12-28,8.6900,8.8900,8.5800,8.7400,555802
2022-12-27,8.7000,8.8100,8.4600,8.7500,484073
2022-12-23,8.7200,8.8600,8.6800,8.7100,255944
2022-12-22,8.6800,8.9300,8.4500,8.7900,300294
2022-12-21,8.8000,8.9600,8.7300,8.8100,237883
2022-12-20,8.5500,8.7300,8.5250,8.7100,322020
2022-12-19,9.0300,9.0300,8.5400,8.6300,363989
2022-12-16,8.9500,9.0600,8.7900,9.0600,374623
2022-12-15,9.1600,9.1800,9.0000,9.0000,259407
2022-12-14,9.3400,9.4599,9.1800,9.3100,279832
2022-12-13,9.4900,9.6600,9.3900,9.5200,279530
2022-12-12,9.4200,9.4200,9.0600,9.2300,426641
2022-12-09,9.4900,9.6200,9.3500,9.5000,220188
2022-12-08,9.3000,9.5700,9.2250,9.5100,151811
2022-12-07,9.2900,9.3600,9.1600,9.2800,149487
2022-12-06,9.6900,9.7600,9.3000,9.3400,194986
2022-12-05,9.7700,9.8000,9.5100,9.6400,152280
2022-12-02,9.6200,9.7600,9.5800,9.7400,92303
2022-12-01,10.1200,10.2500,9.7850,9.8000,230115
2022-11-30,9.7100,10.2200,9.6200,10.1200,539870
2022-11-29,9.7000,9.7500,9.5700,9.7200,353873
2022-11-28,9.7500,9.7800,9.5600,9.5900,319367
2022-11-25,9.7600,9.8425,9.6550,9.7700,197187
2022-11-23,9.4800,9.7400,9.4700,9.7200,331542
2022-11-22,9.3300,9.4500,9.2700,9.4300,416707
2022-11-21,9.5900,9.6200,9.2300,9.3300,608223
2022-11-18,9.7900,9.8867,9.6500,9.7000,332659
2022-11-17,9.3200,9.8500,9.3152,9.7200,302548
2022-11-16,9.7800,9.7800,9.4045,9.4400,292079
2022-11-15,9.8100,10.0550,9.6900,9.9400,460689
2022-11-14,9.8300,9.8800,9.5600,9.5900,415667
2022-11-11,9.4900,10.0000,9.4900,9.9300,718959
2022-11-10,9.2700,9.5800,9.1400,9.5000,818074
2022-11-09,9.2000,9.2000,8.9000,9.0100,483624
2022-11-08,9.3200,9.3400,8.9600,9.1800,832076
2022-11-07,9.5400,9.5900,9.0700,9.2700,840880
2022-11-04,9.7300,9.7300,9.3800,9.5400,707580
2022-11-03,9.2500,9.7650,9.0000,9.5000,907266
2022-11-02,10.3100,10.7250,10.0400,10.0800,743314
2022-11-01,10.0500,10.3800,9.9100,10.2000,691583
2022-10-31,9.9000,9.9900,9.7100,9.9500,476989
2022-10-28,9.5500,10.1000,9.5500,10.0100,231239
2022-10-27,9.8400,9.9550,9.5212,9.5600,341150
2022-10-26,9.8600,10.0800,9.8100,9.8500,362249
2022-10-25,9.5700,10.0300,9.5600,10.0000,290578
2022-10-24,9.7600,9.7850,9.4800,9.6100,326182
2022-10-21,9.6300,9.8200,9.5900,9.6900,294810
2022-10-20,9.7900,10.1206,9.6400,9.6800,366887
2022-10-19,9.8000,9.9250,9.6300,9.6900,604251
2022-10-18,10.3600,10.4400,9.8500,9.8800,553191
2022-10-17,10.3300,10.4000,10.1000,10.1400,201348
2022-10-14,10.5300,10.5900,10.1100,10.1200,288242
2022-10-13,10.0000,10.5700,9.7950,10.5200,437503
2022-10-12,10.1500,10.3900,10.0400,10.1500,329043
2022-10-11,10.3600,10.4199,10.0200,10.1500,452437
2022-10-10,10.7300,10.7700,10.4100,10.4500,714613
2022-10-07,11.1600,11.1800,10.6900,10.7300,1051990
2022-10-06,10.8200,11.4400,10.7900,11.4000,498021
2022-10-05,10.8300,10.8796,10.6100,10.8400,180369
2022-10-04,10.8800,11.0400,10.7100,10.9500,389103
2022-10-03,10.3600,10.7900,10.2300,10.6700,323029
2022-09-30,10.1700,10.4200,10.1400,10.2400,524792
2022-09-29,10.3500,10.3500,10.1100,10.2700,363942
2022-09-28,10.4600,10.6099,10.3800,10.5200,329745
2022-09-27,10.5400,10.6000,10.3100,10.5100,209779
2022-09-26,10.4000,10.7600,10.3200,10.4000,440147
2022-09-23,10.5600,10.6800,10.1700,10.4900,605721
2022-09-22,11.1100,11.1300,10.5800,10.6900,367943
2022-09-21,11.0900,11.5900,11.0900,11.1900,403134
2022-09-20,11.3000,11.3000,11.1000,11.1400,608514
2022-09-19,11.3700,11.4770,11.2400,11.3600,185534
2022-09-16,11.5700,11.6150,11.3150,11.4200,235273
2022-09-15,11.5500,11.8000,11.4600,11.5800,247234
2022-09-14,11.7600,11.9900,11.5900,11.6600,329572
2022-09-13,12.0000,12.1500,11.6400,11.6500,610619
2022-09-12,12.0700,12.1500,11.6900,12.1500,498345
2022-09-09,11.5100,11.8600,11.5050,11.8000,254982
2022-09-08,11.2900,11.5500,11.1330,11.4500,257679
2022-09-07,11.5100,11.5600,11.1800,11.4000,334172
2022-09-06,11.8500,11.8500,11.5050,11.5500,295627
2022-09-02,11.4900,11.8000,11.3200,11.7700,456975
2022-09-01,11.5700,11.5700,11.1400,11.3500,599095
2022-08-31,11.8900,11.9700,11.5800,11.7000,792568
2022-08-30,12.1200,12.1500,11.7300,11.8200,482764
2022-08-29,12.0500,12.3500,12.0500,12.1100,256308
2022-08-26,12.5800,12.6500,12.1700,12.1700,339262
2022-08-25,12.1900,12.6300,12.1300,12.6200,470552
2022-08-24,12.0100,12.4100,11.8900,12.2200,349499
2022-08-23,12.1900,12.2400,11.9000,12.0900,413157
2022-08-22,12.3100,12.3400,12.0200,12.1000,363720
2022-08-19,12.8100,12.8100,12.4100,12.4900,271172
2022-08-18,12.7800,12.8800,12.7100,12.7300,220167
2022-08-17,13.0800,13.1800,12.7600,12.7800,243175
2022-08-16,13.5200,13.5800,13.1300,13.1300,402644
2022-08-15,13.3000,13.5200,13.2000,13.4000,280560
2022-08-12,13.0700,13.5800,13.0400,13.4200,302946
2022-08-11,12.7400,13.5700,12.7400,13.0500,720383
2022-08-10,12.4100,12.7300,12.0800,12.6100,1373027
2022-08-09,13.1400,13.1600,12.0500,12.2100,2731682
2022-08-08,14.6800,14.7623,14.0100,14.2000,621461
2022-08-05,14.6500,14.9100,14.4400,14.4800,299214
2022-08-04,14.8200,14.9600,14.6100,14.7800,434779
2022-08-03,14.3700,14.8400,14.3300,14.8000,336168
2022-08-02,14.4100,14.5950,14.3009,14.3800,373242
2022-08-01,15.1200,15.1200,14.4000,14.4100,609939
2022-07-29,15.2100,15.4000,15.0500,15.2600,370725
2022-07-28,15.4000,15.5800,15.0764,15.2300,380353
2022-07-27,15.2600,15.5750,15.1900,15.3900,463697
2022-07-26,16.0800,16.0800,15.1400,15.1700,518913
2022-07-25,16.2900,16.2900,15.7100,16.0800,332258
2022-07-22,16.3100,16.3601,15.9910,16.1200,413059
2022-07-21,16.5200,16.7300,16.2500,16.3100,273036
2022-07-20,16.4600,16.7000,16.2760,16.4600,309936
2022-07-19,16.3200,16.5900,16.1200,16.4300,579901
2022-07-18,15.3400,16.9799,15.2600,16.4300,1183720
2022-07-15,15.4800,15.5500,15.1500,15.2900,485650
2022-07-14,15.1500,15.5500,15.0000,15.4000,424826
2022-07-13,15.0600,15.5500,15.0500,15.3100,487883
2022-07-12,15.4400,15.4700,15.1700,15.4100,655913
2022-07-11,15.7050,15.7200,15.1801,15.5000,1327464
2022-07-08,13.6500,15.9500,13.5601,15.1200,1739787
2022-07-07,13.3800,13.9400,13.3500,13.7600,399385
2022-07-06,13.6500,13.8300,13.0300,13.2100,728853
2022-07-05,13.7900,13.8800,13.3300,13.6400,509854
2022-07-01,14.4000,14.4000,13.5800,13.9900,802416
2022-06-30,14.5000,14.7600,14.1800,14.5300,379069
2022-06-29,14.8100,14.8900,14.3499,14.5600,407659
2022-06-28,15.1900,15.4900,14.8600,14.8600,306980
2022-06-27,15.1400,15.3500,14.9300,15.1900,387313
2022-06-24,15.2300,15.3245,15.0000,15.0600,594737
2022-06-23,15.7600,15.8250,14.8100,15.0700,741412
2022-06-22,16.4900,16.5100,15.7800,15.8700,319510
2022-06-21,16.9100,16.9200,15.9200,16.7200,608428
2022-06-17,16.4400,16.8400,16.1000,16.8000,612874
2022-06-16,17.1900,17.4200,16.2500,16.2800,788865
2022-06-15,17.5100,17.7700,17.1100,17.6600,221186
2022-06-14,17.2100,17.5900,17.0700,17.3000,306921
2022-06-13,18.1700,18.3100,17.0300,17.0800,636742
2022-06-10,19.0200,19.0800,18.5300,18.5900,332805
2022-06-09,19.2900,19.3700,19.0700,19.1800,201594
2022-06-08,19.9900,19.9900,19.3000,19.4000,216420
2022-06-07,19.8600,19.9600,19.6900,19.9500,221896
2022-06-06,19.9600,19.9700,19.6400,19.8700,174174
2022-06-03,19.8800,20.0000,19.6300,19.9400,227973
2022-06-02,19.7000,20.0590,19.6300,19.8100,267176
2022-06-01,19.5400,19.9400,19.4300,19.8000,266318
2022-05-31,19.6600,19.6600,19.1900,19.5000,428105
2022-05-27,19.4600,19.6600,19.2100,19.6600,383117
2022-05-26,19.1100,19.8600,19.1100,19.4900,313731
2022-05-25,18.7900,19.4900,18.7900,19.2400,240821
2022-05-24,19.3500,19.3500,18.5100,18.7600,861228
2022-05-23,19.5900,19.8100,19.4100,19.4900,253742
2022-05-20,20.2100,20.6400,19.5450,19.6400,735996
2022-05-19,19.5100,20.2700,19.4800,20.1200,1182412
2022-05-18,19.1600,19.9900,19.1100,19.6600,2548745
2022-05-17,17.0000,17.4300,16.9761,17.3300,222716
2022-05-16,16.4700,16.9800,16.4700,16.8600,165639
2022-05-13,16.1300,16.7200,15.9900,16.6600,564642
2022-05-12,16.0200,16.5499,15.7200,15.9500,415077
2022-05-11,16.9500,17.1200,16.2401,16.2800,355528
2022-05-10,16.1600,16.6200,15.9100,16.4200,353625
2022-05-09,17.3000,17.4500,15.8899,16.0200,543578
2022-05-06,18.0900,18.0900,17.3600,17.6000,512278
2022-05-05,17.8300,18.1500,17.6900,18.0900,405481
2022-05-04,17.7800,18.1600,17.2500,18.1400,493598
2022-05-03,18.3700,18.4400,18.0100,18.2300,446159
2022-05-02,18.1700,18.6100,17.9700,18.5800,404458
2022-04-29,17.9400,18.6500,17.8600,18.2900,811991
2022-04-28,18.5000,18.6100,17.6100,17.9200,806065
2022-04-27,17.5500,18.5500,17.5500,18.4300,1571097
2022-04-26,17.9800,18.2000,17.3600,17.5100,2990636
2022-04-25,14.9600,15.0900,14.6600,15.0300,392360
2022-04-22,15.2800,15.5400,14.9400,15.0900,450319
2022-04-21,15.2000,16.5000,15.2000,15.3700,1028284
2022-04-20,15.5400,15.6100,15.0900,15.1100,139918
2022-04-19,14.7900,15.5100,14.6750,15.3000,510115
2022-04-18,14.9500,15.0600,14.7180,14.7700,470461
2022-04-14,15.2200,15.2200,14.8000,14.9800,369514
2022-04-13,15.2900,15.5702,15.1000,15.1700,276496
2022-04-12,15.6400,15.8500,15.1191,15.2500,254050
2022-04-11,15.5300,15.8700,15.3800,15.4500,261740
2022-04-08,15.6300,15.9500,15.5100,15.8100,349952
2022-04-07,15.8900,16.0300,15.3800,15.7100,324371
2022-04-06,15.8500,16.0350,15.7000,15.7800,490812
2022-04-05,16.5900,16.6850,16.0200,16.0500,657811
2022-04-04,16.6900,17.0800,16.6600,16.7400,551871
2022-04-01,17.0000,17.0950,16.5800,16.6500,563739
2022-03-31,16.9200,17.1700,16.6300,16.9100,551370
2022-03-30,17.7200,17.7543,16.8200,16.9200,251314
2022-03-29,17.6500,17.7900,17.5300,17.7100,718302
2022-03-28,17.1600,17.5400,17.1600,17.5100,130131
2022-03-25,17.4300,17.5500,17.2300,17.2500,159980
2022-03-24,16.9000,17.4900,16.8700,17.4700,227349
2022-03-23,17.2800,17.3500,16.8800,16.8900,144462
2022-03-22,17.2000,17.5100,17.2000,17.3200,260621
2022-03-21,17.4300,17.6000,17.1100,17.2000,203950
2022-03-18,17.2300,17.7500,17.2300,17.4900,419035
2022-03-17,17.2800,17.7550,17.0300,17.3900,344910
2022-03-16,16.1300,17.4700,16.1300,17.3600,921869
2022-03-15,15.3200,16.0600,15.3200,15.9200,336601
2022-03-14,16.2100,16.3000,15.1100,15.2700,765086
2022-03-11,16.7400,16.9399,16.2700,16.3000,472514
2022-03-10,16.4200,16.7300,16.3700,16.6900,351482
2022-03-09,16.5800,16.8700,16.3800,16.7500,349236
2022-03-08,16.0600,16.7300,15.8000,16.2600,769608
2022-03-07,17.1300,17.1700,15.9300,16.0000,1263365
2022-03-04,17.8000,17.8950,17.0600,17.1400,1123863
2022-03-03,18.1800,18.1800,17.9000,18.0400,205497
2022-03-02,18.0200,18.0600,17.6600,18.0300,616967
2022-03-01,18.2100,18.2100,17.8900,18.0300,284247
2022-02-28,18.2200,18.2950,17.9101,18.2000,586291
2022-02-25,18.2300,18.3000,17.9900,18.2200,352444
2022-02-24,17.3700,18.2300,17.3100,18.1600,617519
2022-02-23,18.4500,18.5100,18.0200,18.1000,676608
2022-02-22,18.5500,19.0000,18.2300,18.2700,644739
2022-02-18,18.6900,18.9800,18.5400,18.7800,390421
2022-02-17,18.1800,18.9700,18.0000,18.6200,594561
2022-02-16,18.5600,18.9500,18.2500,18.7600,789590
2022-02-15,18.7200,18.8600,18.6200,18.7800,282224
2022-02-14,18.6000,18.8505,18.3200,18.4200,397011
2022-02-11,18.7500,18.9250,18.3600,18.6100,439564
2022-02-10,18.5200,18.9800,18.3700,18.6700,303598
2022-02-09,18.9800,18.9800,18.6200,18.7500,387323
2022-02-08,18.3700,18.8800,18.3700,18.7600,224462
2022-02-07,18.4300,18.7435,18.3800,18.5700,323797
2022-02-04,17.8600,18.4900,17.8580,18.4100,490856
2022-02-03,18.1100,18.3700,18.0100,18.0300,366062
2022-02-02,18.3600,18.5400,18.2500,18.4000,423525
2022-02-01,17.8200,18.3000,17.6700,18.1400,474229
2022-01-31,17.3000,17.9800,17.3000,17.7900,439077
2022-01-28,17.0100,17.4400,16.5300,17.2300,632936
2022-01-27,17.7900,17.8700,17.0600,17.1000,437625
