,PAG_open,PAG_high,PAG_low,PAG_close,PAG_volume
2023-10-13,150.5700,151.3800,146.3200,146.5700,344179
2023-10-12,154.7200,154.7200,148.6650,150.2600,334988
2023-10-11,158.6300,159.0550,154.6400,156.3000,159724
2023-10-10,155.9300,159.0800,155.5970,158.2500,247903
2023-10-09,150.9500,155.9400,150.4400,155.8300,165809
2023-10-06,151.2300,156.1100,150.1550,153.0000,287826
2023-10-05,158.2400,158.6800,150.8700,151.9000,394603
2023-10-04,158.6900,159.6700,156.0900,158.4400,270886
2023-10-03,162.5100,163.3500,158.0100,158.8100,268392
2023-10-02,166.7900,167.8600,162.0900,163.2000,273999
2023-09-29,169.0000,170.0000,166.7600,167.0600,307297
2023-09-28,161.9500,169.4100,161.7950,168.0400,304117
2023-09-27,162.2900,166.6600,161.4256,166.3600,167278
2023-09-26,161.2400,162.2800,159.8300,161.2800,233206
2023-09-25,159.4800,163.4200,159.4800,162.1100,188470
2023-09-22,161.2900,162.1400,159.0300,159.5200,209081
2023-09-21,161.0100,162.1750,158.7550,160.4300,206077
2023-09-20,165.6100,166.4650,162.2200,162.5600,180485
2023-09-19,164.9700,166.4500,164.5100,165.0400,238844
2023-09-18,164.6300,166.9900,164.4400,165.0900,226766
2023-09-15,167.4500,168.0114,162.6300,163.8700,1388385
2023-09-14,162.1400,168.1700,162.1400,167.9400,280579
2023-09-13,163.4500,163.8200,160.8250,161.3400,235140
2023-09-12,159.9200,162.6600,159.9200,161.8500,228774
2023-09-11,160.8400,162.4836,159.6900,160.2200,277571
2023-09-08,159.3300,161.1900,158.3500,159.6200,189238
2023-09-07,159.2400,161.9200,158.9450,158.9500,291631
2023-09-06,161.5900,163.3800,158.4800,159.2000,241372
2023-09-05,163.6800,164.1900,160.3400,161.8900,343572
2023-09-01,165.7200,167.0000,164.1500,166.1700,231258
2023-08-31,165.9700,166.8500,164.0600,164.3000,186992
2023-08-30,164.8900,166.7700,164.8550,165.7500,197378
2023-08-29,163.4700,166.5600,162.9700,165.5000,189368
2023-08-28,163.7900,165.7400,162.4900,162.9300,241070
2023-08-25,165.5500,166.8550,162.6900,163.4500,179819
2023-08-24,166.5000,167.3334,164.3900,164.6700,211042
2023-08-23,165.5200,168.0975,165.0200,167.3400,242390
2023-08-22,168.3900,169.3600,166.2600,166.6800,259687
2023-08-21,170.1000,171.5900,166.6100,168.4500,274126
