,PMT_open,PMT_high,PMT_low,PMT_close,PMT_volume
2023-10-13,11.7400,11.8300,11.4200,11.4700,714253
2023-10-12,11.8800,11.9100,11.5600,11.7000,907676
2023-10-11,12.2400,12.3700,12.2100,12.3600,684576
2023-10-10,12.1600,12.2500,12.0800,12.1800,584729
2023-10-09,11.8900,12.1150,11.8500,12.0900,594470
2023-10-06,11.7400,12.0050,11.7400,11.9200,632659
2023-10-05,11.6400,11.9400,11.5050,11.8700,759789
2023-10-04,11.8000,11.8200,11.4450,11.6300,647374
2023-10-03,12.0300,12.0400,11.6150,11.7200,691667
2023-10-02,12.3400,12.3700,12.0050,12.1300,594124
2023-09-29,12.4000,12.5700,12.3600,12.4000,557414
2023-09-28,12.0300,12.2900,11.9647,12.2600,627354
2023-09-27,12.0800,12.2300,11.9900,12.0900,475973
2023-09-26,12.3100,12.3600,12.0550,12.0800,573861
2023-09-25,12.3800,12.4700,12.2900,12.3100,348173
2023-09-22,12.3300,12.5000,12.2700,12.4300,358249
2023-09-21,12.8000,12.8500,12.2950,12.3100,598821
2023-09-20,13.2400,13.2400,12.9100,12.9100,412468
2023-09-19,13.0700,13.2450,13.0600,13.1300,496672
2023-09-18,12.9100,13.1600,12.9019,13.0500,735649
2023-09-15,12.8900,13.0150,12.8300,12.9300,2069378
2023-09-14,12.8600,13.0300,12.8600,12.9800,658767
2023-09-13,12.7900,12.8550,12.7050,12.7800,383192
2023-09-12,12.7900,13.0500,12.7500,12.7600,527189
2023-09-11,12.9300,12.9600,12.8250,12.8500,493709
2023-09-08,12.9100,12.9600,12.8500,12.8800,328685
2023-09-07,12.9300,13.0300,12.8500,12.8700,399766
2023-09-06,13.0300,13.1000,12.8700,12.9200,471774
2023-09-05,13.3200,13.3300,13.0100,13.0400,550500
2023-09-01,13.5300,13.5800,13.4200,13.4600,377480
2023-08-31,13.3900,13.4900,13.3750,13.4100,520578
2023-08-30,13.3500,13.4300,13.2500,13.3800,306794
2023-08-29,13.2200,13.4301,13.1600,13.4000,530840
2023-08-28,12.9700,13.2800,12.9300,13.2400,671819
2023-08-25,12.9800,13.0600,12.8350,12.9300,380251
2023-08-24,12.8000,13.0800,12.8000,12.9100,421075
2023-08-23,12.6700,12.9000,12.6600,12.8900,404872
2023-08-22,12.7200,12.7750,12.5899,12.6300,452178
2023-08-21,12.6200,12.6500,12.4600,12.6100,389810
2023-08-18,12.4600,12.6800,12.4000,12.6200,460473
2023-08-17,12.5600,12.7000,12.5400,12.5500,675913
2023-08-16,12.5700,12.7100,12.5150,12.5700,437633
2023-08-15,12.7200,12.7450,12.5800,12.6100,438548
2023-08-14,12.8900,12.8900,12.7200,12.7500,489730
2023-08-11,13.0000,13.0000,12.8600,12.8900,307386
2023-08-10,13.1900,13.3000,12.9450,13.0100,423074
2023-08-09,13.1500,13.2450,13.0900,13.1600,537005
2023-08-08,12.9100,13.2050,12.7900,13.1800,777119
2023-08-07,12.6500,13.0000,12.6250,13.0000,751608
2023-08-04,12.3400,12.6450,12.3000,12.6000,652708
2023-08-03,12.5500,12.6000,12.2630,12.3200,601190
