,PRLB_open,PRLB_high,PRLB_low,PRLB_close,PRLB_volume
2023-10-26,23.7300,23.7600,23.1600,23.5000,211838
2023-10-25,24.0500,24.2500,23.3700,23.5700,219288
2023-10-24,24.4400,24.6800,24.1400,24.3600,151437
2023-10-23,25.0500,25.2200,24.0000,24.1600,201136
2023-10-20,25.2800,25.4000,24.8100,25.0600,441832
2023-10-19,25.1100,25.3500,24.9000,25.1100,187135
2023-10-18,26.0600,26.0600,25.1100,25.2900,244474
2023-10-17,25.7900,26.4900,25.7300,26.3500,137158
2023-10-16,25.7500,26.0800,25.5300,25.9700,162837
2023-10-13,25.8800,26.0300,25.2550,25.5900,107363
2023-10-12,26.1100,26.2300,25.6500,25.8000,154554
2023-10-11,26.0600,26.1150,25.6700,26.0300,207204
2023-10-10,25.7600,26.4500,25.7600,25.9100,92333
2023-10-09,25.7200,26.0500,25.5700,25.7500,97258
2023-10-06,25.7700,26.4600,25.7700,26.0300,95437
2023-10-05,25.8700,26.0400,25.4000,25.8000,119791
2023-10-04,26.1600,26.2300,25.6700,25.9400,85824
2023-10-03,26.7700,27.0000,26.2200,26.2700,98494
2023-10-02,26.2700,26.7600,26.0100,26.7300,129609
2023-09-29,26.4000,26.5300,26.1500,26.4000,124340
2023-09-28,25.7100,26.4500,25.5850,26.1600,166860
2023-09-27,25.4100,25.9900,25.4100,25.6600,106749
2023-09-26,25.2400,25.5300,25.1298,25.2100,116455
2023-09-25,25.5600,25.9800,25.4377,25.5000,97983
2023-09-22,26.3600,26.4300,25.8000,25.8400,91894
2023-09-21,26.0200,26.4900,25.8800,26.3300,154709
2023-09-20,26.9800,27.1500,26.4200,26.5000,84401
2023-09-19,26.7000,27.0600,26.6600,26.9100,72792
2023-09-18,27.0400,27.0600,26.7100,26.7500,80741
2023-09-15,27.1900,27.2600,26.6800,26.9200,462179
2023-09-14,27.1500,27.3700,27.0500,27.2000,111327
2023-09-13,27.0200,27.0200,26.6000,26.8700,105731
2023-09-12,27.5700,27.7650,26.9210,27.0900,112343
2023-09-11,28.1200,28.1361,27.7200,27.8100,98770
2023-09-08,28.0700,28.2900,27.8000,27.9700,140911
2023-09-07,28.6900,28.6900,27.8250,28.1500,124963
2023-09-06,29.0900,29.2150,28.6700,28.7800,122635
2023-09-05,29.5100,29.5100,28.6400,28.9600,162762
