,RYN_open,RYN_high,RYN_low,RYN_close,RYN_volume
2023-10-13,27.0000,27.0000,26.4900,26.7300,362565
2023-10-12,27.6700,27.6700,26.9800,26.9900,381743
2023-10-11,27.7000,28.0300,27.5700,27.7200,281761
2023-10-10,27.4400,27.8100,27.4350,27.5300,347275
2023-10-09,27.2800,27.4500,27.2100,27.3600,339493
2023-10-06,27.2900,27.6500,27.0400,27.4600,283749
2023-10-05,27.5100,27.7200,27.3500,27.5200,283203
2023-10-04,27.3400,27.5400,27.1200,27.5100,337816
2023-10-03,27.4300,27.6250,27.0500,27.2700,486275
2023-10-02,28.3900,28.3900,27.4100,27.6300,372979
2023-09-29,28.5800,28.7600,28.3500,28.4600,544278
2023-09-28,27.9200,28.4200,27.8475,28.2400,839304
2023-09-27,28.3000,28.3250,27.7300,28.0400,887213
2023-09-26,28.1600,28.2200,27.9925,28.1900,556207
2023-09-25,28.3700,28.6300,28.3300,28.4000,460561
2023-09-22,28.9400,29.0900,28.5600,28.5600,417112
2023-09-21,29.0600,29.2200,28.7700,28.9100,443151
2023-09-20,29.8300,29.8700,29.1500,29.2000,526461
2023-09-19,30.2300,30.3300,29.5600,29.5800,1105018
2023-09-18,30.3100,30.4800,29.9700,30.2500,345424
2023-09-15,30.2700,30.4850,30.0000,30.2600,3882765
2023-09-14,30.0300,30.4550,29.8250,30.4300,564756
2023-09-13,30.1400,30.2300,29.9000,30.0000,547817
2023-09-12,30.0500,30.2580,29.9200,30.0600,529592
2023-09-11,29.6900,30.0700,29.5700,30.0700,572616
2023-09-08,29.5100,29.8100,29.2800,29.6000,509957
2023-09-07,29.5900,29.7600,29.3600,29.5100,491918
2023-09-06,29.0600,29.6900,29.0200,29.6500,609421
2023-09-05,29.7500,29.9650,28.8850,29.0000,960774
2023-09-01,30.0600,30.4250,29.9950,30.1100,355726
2023-08-31,29.9900,30.0550,29.7010,29.9000,633674
2023-08-30,30.0500,30.0750,29.7400,29.8900,441277
2023-08-29,30.0000,30.0950,29.7800,29.9900,437276
2023-08-28,30.0500,30.7900,30.0500,30.1900,301996
2023-08-25,30.1900,30.1900,29.8800,30.0000,571102
2023-08-24,30.7000,30.9500,29.9700,30.0100,651601
2023-08-23,30.2900,30.7800,30.2900,30.7500,260213
2023-08-22,30.3300,30.3400,30.0300,30.1000,292038
2023-08-21,30.0800,30.2750,29.9000,30.1300,489548
2023-08-18,30.0600,30.5100,30.0000,30.1700,350634
2023-08-17,30.6100,30.7300,30.2500,30.3400,311992
2023-08-16,30.6100,30.9400,30.5800,30.6000,314022
2023-08-15,31.0100,31.1400,30.6300,30.7000,396941
2023-08-14,31.4600,31.6350,31.2100,31.3000,313139
2023-08-11,31.5700,31.9400,31.4100,31.5900,319293
2023-08-10,32.0400,32.0800,31.4000,31.6400,261812
2023-08-09,31.8500,32.2700,30.9400,31.9600,452070
2023-08-08,31.4400,31.9400,31.4300,31.9000,442724
2023-08-07,32.2300,32.6100,31.7100,31.7900,581408
2023-08-04,32.6100,32.7900,31.9650,32.1200,777871
2023-08-03,32.0700,32.7600,31.1400,32.5200,699210
2023-08-02,32.5800,32.7700,32.1900,32.2200,556953
2023-08-01,32.8700,33.1600,32.7300,32.9400,692603
2023-07-31,32.6800,33.3200,32.6800,33.1200,545861
2023-07-28,32.7500,32.8950,32.3700,32.6800,618797
2023-07-27,33.0900,33.1450,32.4900,32.5300,420279
2023-07-26,32.8100,33.0500,32.5215,32.9400,461537
2023-07-25,32.6300,32.9650,32.5850,32.8300,317236
2023-07-24,32.4300,32.7600,32.3450,32.6600,454193
2023-07-21,32.4000,32.6700,32.1300,32.4700,286921
2023-07-20,32.4200,32.6300,32.0850,32.3200,455956
2023-07-19,32.3700,32.4000,31.8500,32.2400,341007
2023-07-18,31.5500,32.2600,31.4400,32.2300,487219
2023-07-17,31.5700,31.7900,31.4000,31.6300,301994
2023-07-14,31.5800,31.9100,31.4600,31.7900,298398
2023-07-13,31.7500,31.9250,31.6300,31.7500,352170
2023-07-12,31.9300,31.9800,31.5703,31.6500,493339
2023-07-11,30.8300,31.5450,30.8300,31.5200,563553
2023-07-10,31.0500,31.3700,30.7500,30.7700,443647
2023-07-07,30.6000,31.1180,30.4400,31.0200,427199
2023-07-06,30.2300,30.9293,30.0100,30.8100,580947
2023-07-05,31.1800,31.2800,30.6200,30.6300,638614
2023-07-03,31.3600,31.6100,31.2300,31.3300,200837
2023-06-30,31.3800,31.4500,30.9300,31.4000,1050431
2023-06-29,30.7200,31.1900,30.3700,31.1200,651105
2023-06-28,29.7500,30.8400,29.5800,30.8200,1062723
2023-06-27,28.9100,29.6500,28.8800,29.6200,470845
2023-06-26,28.4500,28.9500,28.4100,28.9000,429974
2023-06-23,28.8600,29.1100,28.3450,28.4200,496015
2023-06-22,29.3100,29.3499,28.9600,29.1200,435993
2023-06-21,29.9900,30.0600,29.4100,29.4200,440073
2023-06-20,30.5700,30.5700,29.8800,30.2200,448826
2023-06-16,30.9300,31.0550,30.2500,30.7800,1587448
2023-06-15,30.2100,30.9100,30.0188,30.8300,456267
2023-06-14,30.5700,30.9700,30.4600,30.6400,453615
2023-06-13,30.4100,30.9100,30.4100,30.6400,298600
2023-06-12,30.2000,30.6800,29.9500,30.4800,465018
2023-06-09,30.4100,30.4500,29.9600,30.0500,312061
2023-06-08,30.4500,30.5800,30.0000,30.2900,341494
2023-06-07,30.2700,30.6400,30.1900,30.4400,331177
2023-06-06,29.8500,30.2600,29.8400,30.1100,396136
2023-06-05,29.7800,30.0400,29.5800,29.7500,363605
2023-06-02,30.1200,30.3500,29.9600,29.9800,407714
2023-06-01,29.4700,29.7700,29.0800,29.7300,440770
2023-05-31,29.4400,29.5200,29.1000,29.3200,1129209
2023-05-30,29.3500,29.5150,29.1000,29.4400,813613
2023-05-26,29.0000,29.2200,28.6600,29.2100,629405
2023-05-25,28.9400,29.1100,28.5900,29.0000,333122
2023-05-24,29.3800,29.4950,28.8700,29.0100,345827
2023-05-23,29.7400,29.9000,29.4400,29.5500,399867
2023-05-22,29.9500,30.0400,29.5100,29.9000,276530
2023-05-19,29.8200,30.1200,29.7500,29.9700,402894
2023-05-18,29.3400,29.5800,29.1900,29.5500,381959
2023-05-17,29.2800,29.5650,28.9700,29.4600,437723
2023-05-16,29.6200,29.8800,29.1400,29.2100,468569
2023-05-15,29.8000,29.9400,29.5000,29.9100,356161
2023-05-12,30.0900,30.1600,29.3050,29.6800,468768
2023-05-11,30.0900,30.1500,29.8800,30.0100,376658
2023-05-10,30.5400,30.6650,30.1100,30.4100,459366
2023-05-09,29.7900,30.3000,29.5900,30.2200,588850
2023-05-08,29.8300,30.1900,29.7900,29.9700,453225
2023-05-05,30.1200,30.5900,29.8050,29.9500,594765
2023-05-04,29.3500,30.0000,27.8100,29.9100,1858552
2023-05-03,30.9500,31.5900,30.9100,30.9300,542598
2023-05-02,31.0700,31.1950,30.4500,30.7900,371304
2023-05-01,31.3900,31.6600,31.2843,31.3100,374443
2023-04-28,31.1400,31.4950,31.0700,31.3600,394028
2023-04-27,30.9200,31.3100,30.8100,31.1300,285386
2023-04-26,31.4200,31.5350,30.6900,30.8200,474997
2023-04-25,31.7500,31.8300,31.5200,31.5200,270923
2023-04-24,32.1600,32.1600,31.4500,31.8400,306226
2023-04-21,32.5300,32.5400,31.8800,32.2300,232181
2023-04-20,32.9300,33.0900,32.3200,32.4200,264837
2023-04-19,32.4300,33.0300,32.2200,33.0000,367994
2023-04-18,32.6800,32.8700,32.4750,32.6200,289418
2023-04-17,32.4200,32.7200,32.1775,32.6600,502431
2023-04-14,33.2500,33.3470,32.1700,32.3000,442072
2023-04-13,32.8600,33.2450,32.7700,33.1900,425064
2023-04-12,33.6400,33.6400,32.8100,32.8600,586766
2023-04-11,33.0100,33.5600,32.9500,33.2700,313966
2023-04-10,32.7300,33.3300,32.7300,33.0600,358954
2023-04-06,33.3300,33.3300,32.8600,32.9600,269372
2023-04-05,32.9800,33.3300,32.8200,33.2400,366586
2023-04-04,33.1200,33.1300,32.7300,32.9600,778442
2023-04-03,33.1600,33.4350,32.8400,33.1500,373189
2023-03-31,32.9300,33.2700,32.8500,33.2600,579275
2023-03-30,32.9700,33.0700,32.6473,32.6800,315439
2023-03-29,32.5200,32.7400,32.2800,32.6400,335368
2023-03-28,32.1200,32.3500,31.9950,32.1800,359077
2023-03-27,32.2900,32.5900,31.9500,32.2800,392696
2023-03-24,31.1300,32.0900,30.8000,32.0700,399281
2023-03-23,31.8800,32.2000,31.2300,31.3300,742386
2023-03-22,32.3300,32.8800,31.8100,31.8400,711613
2023-03-21,32.8900,32.9500,32.0500,32.4900,489837
2023-03-20,31.9900,32.6100,31.9900,32.6000,403597
2023-03-17,32.5000,32.5600,31.6900,31.7400,1110829
2023-03-16,32.1100,32.6500,31.9200,32.5800,429326
2023-03-15,32.3300,32.8500,32.2700,32.6000,391835
2023-03-14,33.2200,33.6300,32.3450,32.9000,602596
2023-03-13,32.1000,32.7500,32.0100,32.6200,361353
2023-03-10,32.6800,32.7500,31.7400,32.3500,654954
2023-03-09,33.3200,33.8300,32.7800,32.8700,439204
2023-03-08,32.4200,33.2800,32.3300,33.2200,526703
2023-03-07,33.0100,33.0100,32.3900,32.4300,289969
2023-03-06,33.8100,33.8100,32.9500,33.0200,372737
2023-03-03,33.9900,34.0500,33.7600,33.8400,264118
2023-03-02,33.7000,33.8600,33.2500,33.8300,343404
2023-03-01,33.4900,33.9000,33.3400,33.8900,383828
2023-02-28,33.7500,33.9900,33.5700,33.5800,517989
2023-02-27,34.4900,34.5453,33.6200,33.7500,273555
2023-02-24,33.8800,34.0200,33.6110,33.9800,226266
2023-02-23,34.3500,34.5500,33.9700,34.3200,282151
2023-02-22,33.9500,34.3099,33.7700,34.0600,347977
2023-02-21,34.2000,34.5300,33.5000,33.6900,407419
2023-02-17,34.6400,34.6400,34.0900,34.5900,428400
2023-02-16,34.2400,35.0300,34.1400,34.5300,367098
2023-02-15,34.5900,34.8300,34.5100,34.7500,338286
2023-02-14,35.4000,35.5100,34.8300,34.8400,318921
2023-02-13,35.6500,35.7100,35.1300,35.6100,328300
2023-02-10,34.7200,35.4700,34.6600,35.4700,275070
2023-02-09,36.0100,36.1800,34.7000,34.7700,352303
2023-02-08,35.1400,36.0000,35.1400,35.5800,372469
2023-02-07,34.9500,35.4100,34.5100,35.3800,482855
2023-02-06,35.5500,35.6900,34.8800,34.9800,575781
2023-02-03,36.9900,36.9900,35.8000,36.0000,671898
2023-02-02,37.2700,37.7890,36.7500,37.2700,860215
2023-02-01,36.1500,37.1600,35.9300,36.9000,724574
2023-01-31,35.4800,36.4100,35.4800,36.3900,390696
2023-01-30,35.6500,35.7000,35.2700,35.4000,557096
2023-01-27,35.3800,36.1150,35.3800,35.8100,522740
2023-01-26,35.1200,35.6000,35.0200,35.5700,236671
2023-01-25,34.4200,35.0100,34.1900,34.9600,275840
2023-01-24,34.8700,35.2000,34.5500,34.5900,382909
2023-01-23,34.9600,35.2600,34.7410,35.1300,393041
2023-01-20,33.9500,34.9500,33.8450,34.8500,356540
2023-01-19,33.9100,34.1700,33.7300,34.0000,234238
2023-01-18,34.3500,34.7200,33.9000,34.0300,304306
2023-01-17,35.0700,35.1400,34.3800,34.4100,305539
2023-01-13,35.1300,35.2700,34.8700,34.9600,345687
