,SCM_open,SCM_high,SCM_low,SCM_close,SCM_volume
2023-10-13,13.3900,13.4200,13.2800,13.3700,107838
2023-10-12,13.4200,13.4700,13.2700,13.2900,106077
2023-10-11,13.5500,13.5600,13.3300,13.3900,198555
2023-10-10,13.4400,13.6200,13.4400,13.5200,94236
2023-10-09,13.1800,13.4290,13.1800,13.3700,73149
2023-10-06,12.9600,13.2189,12.9416,13.1500,93380
2023-10-05,12.9400,13.1600,12.9400,13.1100,113012
2023-10-04,13.2700,13.3700,12.8700,12.9900,373579
2023-10-03,13.4700,13.5300,13.2300,13.2800,373729
2023-10-02,13.6000,13.6900,13.4450,13.5300,414566
2023-09-29,13.8100,13.8899,13.5700,13.6000,200841
2023-09-28,13.6400,13.7700,13.5900,13.7000,298421
2023-09-27,13.7900,13.8760,13.6900,13.7500,247735
2023-09-26,14.0700,14.0700,13.6400,13.6700,372677
2023-09-25,14.0700,14.1399,13.9900,14.0500,243330
2023-09-22,14.0300,14.1900,14.0000,14.0500,119349
2023-09-21,14.0700,14.0900,13.9500,13.9700,122240
2023-09-20,14.2500,14.2600,14.0200,14.1100,184329
2023-09-19,14.2000,14.2400,14.0900,14.2300,490047
2023-09-18,13.8900,14.2500,13.8400,14.1500,1684614
2023-09-15,14.0200,14.0200,13.8700,13.9000,325780
2023-09-14,14.0500,14.0500,13.9100,13.9400,172867
2023-09-13,14.0200,14.0500,13.9200,13.9400,106297
2023-09-12,13.9600,14.0100,13.9000,13.9700,56229
2023-09-11,13.9000,14.0200,13.9000,13.9800,89207
2023-09-08,13.9500,14.0000,13.8542,13.9400,106929
2023-09-07,13.8000,13.9900,13.7610,13.9500,57906
2023-09-06,13.8100,13.8400,13.6500,13.7500,72147
2023-09-05,13.9500,14.0000,13.8100,13.8200,69841
2023-09-01,13.8400,14.0000,13.8400,13.9700,74565
2023-08-31,13.9800,13.9800,13.8250,13.9100,100541
2023-08-30,13.8500,14.0150,13.8100,13.9300,104481
2023-08-29,14.0200,14.0200,13.8600,14.0000,168749
2023-08-28,14.1000,14.1800,13.9700,13.9900,165417
2023-08-25,14.0900,14.0900,13.9820,14.0200,179641
2023-08-24,14.1500,14.2300,13.9700,14.0500,158565
2023-08-23,14.1200,14.2700,14.0492,14.1900,148291
2023-08-22,14.1400,14.2450,14.0000,14.0100,121621
2023-08-21,14.0400,14.1500,14.0300,14.1200,92515
2023-08-18,13.9100,14.0600,13.9000,14.0200,81041
2023-08-17,14.0600,14.1200,13.8900,13.9400,95755
2023-08-16,14.2000,14.3300,14.0100,14.0200,144336
2023-08-15,14.2600,14.4400,14.1900,14.2200,169854
2023-08-14,14.5000,14.6000,13.8600,14.3000,323670
2023-08-11,14.6900,14.9000,14.6900,14.8300,79480
2023-08-10,15.1200,15.1880,14.4609,14.4900,192585
2023-08-09,15.1600,15.2500,15.0100,15.1200,66980
2023-08-08,15.0400,15.2100,14.9100,15.1400,95373
2023-08-07,15.2900,15.4000,15.0700,15.1000,117295
2023-08-04,14.9500,15.2200,14.9200,15.0100,90106
2023-08-03,14.9800,15.0200,14.9000,14.9200,64259
2023-08-02,14.9900,15.1100,14.9500,15.0100,58321
2023-08-01,15.0500,15.2100,14.9500,15.0400,94334
2023-07-31,15.1800,15.3071,15.0200,15.0400,75629
2023-07-28,15.0700,15.2100,15.0000,15.0700,95754
2023-07-27,15.3000,15.3500,15.1300,15.1300,132196
2023-07-26,14.9500,15.2700,14.8505,15.2700,118702
2023-07-25,15.0300,15.1550,14.9500,14.9600,86443
2023-07-24,14.8300,15.1200,14.7500,15.0400,120856
2023-07-21,14.6400,14.7900,14.5500,14.7500,104393
2023-07-20,14.7600,14.8100,14.5300,14.6400,103754
2023-07-19,14.7700,14.8200,14.6510,14.7300,121637
2023-07-18,14.7100,14.8750,14.6900,14.7600,79398
2023-07-17,14.5000,14.8300,14.4900,14.6400,114919
2023-07-14,14.3400,14.6300,14.2600,14.4700,147877
2023-07-13,14.3400,14.3900,14.2500,14.3900,77646
2023-07-12,14.3600,14.4000,14.2500,14.2700,81280
2023-07-11,14.4100,14.4401,14.2600,14.3100,75543
2023-07-10,14.3100,14.4300,14.2700,14.3600,48881
2023-07-07,14.3000,14.4100,14.2500,14.3400,90510
2023-07-06,14.2000,14.3000,14.0500,14.2800,55738
2023-07-05,14.1700,14.3173,14.1600,14.1800,59818
2023-07-03,14.1200,14.2500,14.0801,14.2300,46613
2023-06-30,14.1800,14.2200,14.0100,14.0700,68411
2023-06-29,14.1000,14.1985,14.0300,14.1400,57650
2023-06-28,14.1100,14.2500,14.0803,14.2000,119629
2023-06-27,14.1700,14.2900,14.1100,14.1200,120090
2023-06-26,14.0000,14.1800,14.0000,14.1500,96453
2023-06-23,14.1100,14.1198,13.9600,13.9700,123893
2023-06-22,14.2400,14.2426,14.0841,14.1500,121297
2023-06-21,14.1700,14.3700,14.0901,14.2000,179586
2023-06-20,13.9500,14.1700,13.8800,14.1300,483778
2023-06-16,13.9800,14.0600,13.9350,14.0000,177859
2023-06-15,13.8900,14.0200,13.8801,14.0200,151174
2023-06-14,13.8900,13.9800,13.8400,13.8800,131512
2023-06-13,13.9100,14.0000,13.8700,13.9000,124945
2023-06-12,13.9500,13.9700,13.8500,13.9200,189735
2023-06-09,13.8900,13.9600,13.8000,13.9400,138432
2023-06-08,13.8400,13.9400,13.8000,13.8500,241197
2023-06-07,13.9200,13.9900,13.7000,13.8600,940478
2023-06-06,13.8200,14.0400,13.8200,13.8700,89505
2023-06-05,13.9600,14.0400,13.7300,13.8500,134298
2023-06-02,13.9300,14.0500,13.7800,13.9200,94354
2023-06-01,13.6300,13.9000,13.5700,13.8700,107543
2023-05-31,13.8800,13.8800,13.6500,13.7000,92706
2023-05-30,13.8300,14.0200,13.7100,13.8600,136978
2023-05-26,14.0200,14.0900,13.8600,13.9600,236590
2023-05-25,14.1300,14.2300,14.0300,14.1000,189510
2023-05-24,14.5300,14.5400,14.2000,14.2600,258271
2023-05-23,14.7700,14.8160,14.5100,14.5300,173075
2023-05-22,15.0300,15.0405,14.6800,14.7500,148220
2023-05-19,14.8500,15.0700,14.8300,15.0000,142413
2023-05-18,14.7800,14.8850,14.7400,14.8500,142533
2023-05-17,14.8300,14.9100,14.7400,14.7800,138395
2023-05-16,14.8600,15.0000,14.7140,14.7300,69165
2023-05-15,14.7900,15.1000,14.7400,14.9000,161429
2023-05-12,14.7400,14.7900,14.6601,14.7000,123659
2023-05-11,14.7500,14.9460,14.6300,14.6700,91194
2023-05-10,14.9500,15.0200,14.5200,14.7200,91175
2023-05-09,14.7500,15.0758,14.6328,14.9500,95556
2023-05-08,14.3700,14.8600,14.3700,14.8400,153927
2023-05-05,14.0300,14.3500,14.0300,14.3300,116626
2023-05-04,14.2100,14.2100,13.9600,14.0300,73036
2023-05-03,14.3200,14.4300,14.2400,14.2700,44659
2023-05-02,14.4200,14.4423,14.0500,14.3200,125030
2023-05-01,14.5400,14.6900,14.4000,14.4500,105065
2023-04-28,14.5400,14.7900,14.5400,14.5400,67146
2023-04-27,14.6000,14.9300,14.6000,14.7400,120364
2023-04-26,14.4700,14.7700,14.4700,14.6000,106254
2023-04-25,14.5200,14.6600,14.4201,14.5300,69792
2023-04-24,14.3900,14.6750,14.3201,14.5300,123874
2023-04-21,13.7500,14.4400,13.7500,14.3900,174669
2023-04-20,13.7500,13.7999,13.7300,13.7300,93020
2023-04-19,13.7600,13.8500,13.7200,13.7800,154932
2023-04-18,13.8900,13.8958,13.7100,13.7500,93372
2023-04-17,13.7900,13.9100,13.7700,13.8600,110832
2023-04-14,13.8400,13.8800,13.5400,13.7700,158833
2023-04-13,13.7100,13.8100,13.6500,13.7600,126662
2023-04-12,13.7700,13.8300,13.6200,13.7500,111621
2023-04-11,13.7300,13.7920,13.6000,13.6900,116543
2023-04-10,13.7400,14.0000,13.5400,13.6400,137576
2023-04-06,13.9500,13.9620,13.6500,13.8200,206390
2023-04-05,13.9700,14.1299,13.9300,13.9300,127038
2023-04-04,14.1100,14.1100,13.8100,13.9400,71958
2023-04-03,14.1000,14.2400,13.9000,14.0100,111259
2023-03-31,13.9900,14.1400,13.9900,14.0900,142534
2023-03-30,14.0400,14.1375,13.9300,13.9900,90024
2023-03-29,14.2000,14.3299,14.0417,14.0900,126798
2023-03-28,14.2200,14.2520,14.1100,14.1400,80373
2023-03-27,14.2100,14.3044,14.1100,14.1700,104909
2023-03-24,13.9200,14.1200,13.8600,14.0700,94174
2023-03-23,13.9700,14.1950,13.8600,13.9700,100448
2023-03-22,14.1200,14.1400,13.9000,13.9200,77480
2023-03-21,14.1600,14.2100,13.9807,14.0500,86498
2023-03-20,13.8700,14.0599,13.8451,13.9600,79413
2023-03-17,13.9700,14.0200,13.6000,13.7900,168776
2023-03-16,13.9400,14.2300,13.7000,14.0100,214120
2023-03-15,14.0500,14.1238,13.7700,14.0000,152746
2023-03-14,14.3000,14.6796,14.0800,14.2700,133805
2023-03-13,13.8200,14.1500,13.4200,14.0200,167178
2023-03-10,14.4100,14.4992,13.8500,13.9200,216986
2023-03-09,15.0500,15.1300,14.4900,14.5400,190426
2023-03-08,15.0300,15.1000,14.9614,15.0800,114254
2023-03-07,15.2600,15.3875,14.7900,14.9800,141552
2023-03-06,15.3000,15.5300,15.1500,15.2400,146106
2023-03-03,15.1600,15.3300,14.9501,15.1800,146457
2023-03-02,14.7500,15.2500,14.5900,14.9200,280705
2023-03-01,15.6200,15.6700,15.1000,15.5700,165549
2023-02-28,15.7700,15.9500,15.6200,15.6800,129079
2023-02-27,15.9700,16.0300,15.7600,15.7600,138589
2023-02-24,15.8900,16.0800,15.8000,15.9700,92574
2023-02-23,15.5800,15.9550,15.5207,15.8900,113467
2023-02-22,15.4000,15.5700,15.3200,15.5000,84501
2023-02-21,15.5700,15.6500,15.2000,15.3500,124764
2023-02-17,15.5300,15.7100,15.4100,15.6900,84539
2023-02-16,15.5100,15.7299,15.4500,15.4900,122608
2023-02-15,15.5000,15.6900,15.3400,15.5300,128880
2023-02-14,15.1700,15.4800,15.1700,15.3700,124823
2023-02-13,15.0200,15.3500,14.9500,15.1400,98830
2023-02-10,14.7400,15.0800,14.7400,14.9800,52256
2023-02-09,14.9800,15.1399,14.7800,14.7800,92754
2023-02-08,14.9800,15.0100,14.9000,14.9100,71116
2023-02-07,14.7800,15.1350,14.7800,14.9700,153304
2023-02-06,14.6800,14.9400,14.6400,14.8000,106167
2023-02-03,14.6300,14.7696,14.5800,14.6400,89180
2023-02-02,14.6200,14.6300,14.3100,14.6300,102233
2023-02-01,14.3000,14.4100,14.1100,14.3200,142936
2023-01-31,14.1100,14.2900,14.0786,14.2600,132975
2023-01-30,14.4000,14.4900,13.9700,14.0000,98475
2023-01-27,14.7200,14.8300,14.4600,14.5700,156976
2023-01-26,14.5700,14.7385,14.4301,14.7000,106545
2023-01-25,14.1000,14.5350,14.0967,14.5100,122158
2023-01-24,14.0800,14.1100,13.9300,14.0500,88463
2023-01-23,13.7400,14.0000,13.7000,14.0000,199674
2023-01-20,13.6300,13.7000,13.5700,13.6900,79210
2023-01-19,13.7000,13.7500,13.5200,13.6500,83303
2023-01-18,13.8400,13.9200,13.6784,13.7500,104228
2023-01-17,13.8000,13.8800,13.6500,13.7500,206987
2023-01-13,13.7500,13.8500,13.6100,13.8000,126448
2023-01-12,13.4700,14.0000,13.4400,14.0000,225869
2023-01-11,13.2400,13.3100,13.1500,13.3100,45452
2023-01-10,13.2300,13.2500,13.1350,13.1400,30787
2023-01-09,13.2800,13.2800,13.1200,13.2300,39676
2023-01-06,13.2500,13.2500,13.1800,13.2500,56455
2023-01-05,13.3500,13.4250,13.1800,13.2300,30511
2023-01-04,13.3600,13.3740,13.2500,13.2900,49154
2023-01-03,13.1900,13.4100,13.1400,13.2900,46375
2022-12-30,13.1300,13.3700,13.1100,13.2600,49659
2022-12-29,13.1900,13.3300,13.1000,13.2100,54896
2022-12-28,13.2500,13.2700,12.9500,13.0700,44045
2022-12-27,13.1200,13.2400,12.8700,13.1700,48763
2022-12-23,12.8600,13.1100,12.7901,13.0300,35315
2022-12-22,12.8100,12.9299,12.7000,12.8400,22814
2022-12-21,12.8700,13.0400,12.8100,12.8700,45714
2022-12-20,12.8200,13.0400,12.8200,12.8700,39413
2022-12-19,13.0900,13.1500,12.8400,12.9600,54700
2022-12-16,13.1800,13.2700,12.9500,13.2100,94074
2022-12-15,13.3800,13.4000,13.1500,13.2800,66428
2022-12-14,13.3100,13.5800,13.2400,13.4800,58018
2022-12-13,13.7000,13.7000,13.1500,13.1700,131428
2022-12-12,13.5100,13.6600,13.4614,13.5800,35695
2022-12-09,13.3400,13.5200,13.2100,13.4600,47147
2022-12-08,13.1200,13.5800,13.1200,13.3900,55728
2022-12-07,13.2000,13.6400,13.1000,13.1000,107007
2022-12-06,13.3700,13.4900,13.1001,13.1900,46239
2022-12-05,13.5100,13.6600,13.2000,13.3800,58769
2022-12-02,13.4200,13.7000,13.4200,13.6200,36798
2022-12-01,13.4500,13.6300,13.4500,13.5600,35656
2022-11-30,13.7900,13.7900,13.3800,13.5900,49797
2022-11-29,13.7000,13.7500,13.4500,13.7100,42318
2022-11-28,13.7900,13.8000,13.6200,13.7400,44371
2022-11-25,13.7400,13.8900,13.7400,13.8000,31500
2022-11-23,13.7900,13.8000,13.6600,13.7400,31750
2022-11-22,13.7900,13.7900,13.6800,13.7500,28206
2022-11-21,13.6100,13.7421,13.5100,13.7300,53296
2022-11-18,13.7200,13.7500,13.5000,13.5400,47541
2022-11-17,13.6400,13.7500,13.6100,13.7100,63436
2022-11-16,13.7800,13.8600,13.6800,13.7500,59589
2022-11-15,13.9800,13.9800,13.7000,13.8000,97199
2022-11-14,13.9800,13.9950,13.9000,13.9600,68170
2022-11-11,13.9600,13.9693,13.8250,13.9400,59787
2022-11-10,13.8200,13.9900,13.7000,13.8500,65003
2022-11-09,13.7600,13.9300,13.6900,13.7600,36534
2022-11-08,13.9500,13.9900,13.7500,13.9100,39101
2022-11-07,13.7500,13.9900,13.7000,13.9600,76034
2022-11-04,13.7400,13.8600,13.4101,13.6800,61958
2022-11-03,13.2300,13.4700,13.1064,13.3600,47039
2022-11-02,13.0900,13.3999,12.9900,13.2900,46798
2022-11-01,13.2500,13.3299,12.9900,13.2200,65213
2022-10-31,13.4300,13.4600,13.2000,13.2700,23854
2022-10-28,13.2100,13.4800,13.1901,13.4800,61038
2022-10-27,13.3700,13.5400,13.3500,13.3600,29820
2022-10-26,13.4000,13.5503,13.2100,13.3000,59775
2022-10-25,12.9600,13.4900,12.9300,13.4900,58456
2022-10-24,12.7900,12.9750,12.6100,12.9100,41550
2022-10-21,12.8500,12.8500,12.5200,12.6500,26230
2022-10-20,12.5600,12.7635,12.5012,12.7400,18603
2022-10-19,12.6500,12.8000,12.5500,12.6200,20959
2022-10-18,12.6700,13.0000,12.6000,12.6800,50442
2022-10-17,12.7500,12.9000,12.5201,12.5700,32476
2022-10-14,12.5600,12.6500,12.4600,12.6000,49227
2022-10-13,12.0800,12.4500,11.9850,12.4500,40574
2022-10-12,12.1900,12.4200,12.1200,12.1900,68030
2022-10-11,11.9100,12.1100,11.8700,12.1100,24901
2022-10-10,12.0600,12.1417,11.9096,11.9800,23897
2022-10-07,12.3400,12.3899,12.0200,12.0600,38423
2022-10-06,12.5500,12.7000,12.2700,12.3400,30978
2022-10-05,12.3400,12.6500,12.2500,12.5800,50299
2022-10-04,12.1600,12.5750,12.1600,12.5400,63756
2022-10-03,11.9600,12.2000,11.9006,12.0800,43674
2022-09-30,11.8400,12.1200,11.8014,11.9300,61624
2022-09-29,12.3500,12.3500,11.7400,11.9500,127821
2022-09-28,12.2200,12.4200,12.1700,12.4100,49808
2022-09-27,12.2600,12.4800,12.1200,12.1700,57228
2022-09-26,12.1600,12.5000,12.0000,12.2500,108951
2022-09-23,12.6500,12.7100,12.3500,12.4500,114524
2022-09-22,13.0000,13.0200,12.6500,12.7100,80928
2022-09-21,13.1200,13.2333,12.9601,13.0100,18222
2022-09-20,13.0600,13.2350,12.9800,12.9800,31409
2022-09-19,13.1300,13.3674,12.9200,13.0600,61644
2022-09-16,13.4000,13.4838,13.1700,13.2100,46355
2022-09-15,13.2800,13.5800,13.2601,13.5200,56419
2022-09-14,13.1800,13.3100,13.1009,13.1900,24986
2022-09-13,13.3000,13.6000,13.0700,13.0700,55291
2022-09-12,13.3200,13.4000,13.2050,13.3800,46540
2022-09-09,12.9800,13.4700,12.9800,13.2000,31265
2022-09-08,13.0000,13.2696,13.0000,13.1400,27582
2022-09-07,13.0500,13.1913,13.0100,13.1300,14030
2022-09-06,13.1200,13.2000,13.0200,13.0600,15124
2022-09-02,13.2200,13.2900,13.0900,13.1200,73913
2022-09-01,13.5800,13.5800,13.0900,13.2100,81946
2022-08-31,13.5000,13.6399,13.4600,13.5400,46636
2022-08-30,13.5700,13.7080,13.4000,13.4000,37174
2022-08-29,13.6300,13.8600,13.6300,13.7300,39118
2022-08-26,13.8300,13.8300,13.6200,13.7700,27122
2022-08-25,13.8100,13.8500,13.7600,13.8300,21067
2022-08-24,13.7200,13.8399,13.6200,13.7200,34250
2022-08-23,13.6600,13.7499,13.5800,13.6500,46688
2022-08-22,13.6100,13.6299,13.4700,13.6100,36523
2022-08-19,13.7100,13.8200,13.6000,13.6100,36498
2022-08-18,13.8100,13.9200,13.6400,13.8300,46491
2022-08-17,14.0200,14.0870,13.6300,13.7100,55189
2022-08-16,14.1300,14.1300,13.8804,14.0200,56761
2022-08-15,13.8700,14.1700,13.7100,14.0800,106561
2022-08-12,13.5500,13.7900,13.5500,13.7700,47055
2022-08-11,13.4400,13.5800,13.4400,13.5500,35387
2022-08-10,13.3100,13.4800,13.2800,13.4500,36570
2022-08-09,13.4800,13.5697,13.1800,13.3100,81981
2022-08-08,13.3300,13.5200,13.3300,13.3700,25466
2022-08-05,13.1600,13.4500,13.1600,13.3600,27727
2022-08-04,13.3000,13.5200,13.1500,13.2600,49931
2022-08-03,13.4300,13.5400,13.3004,13.4700,36075
2022-08-02,13.3600,13.3722,13.2100,13.3000,34267
2022-08-01,13.3000,13.4000,13.2014,13.3500,50592
2022-07-29,13.2700,13.4800,13.2700,13.3800,55441
2022-07-28,13.0900,13.4200,13.0900,13.3700,83836
2022-07-27,13.0700,13.3800,12.9500,13.2600,96985
2022-07-26,12.8700,13.0800,12.8300,13.0100,79764
2022-07-25,12.7900,12.8819,12.7157,12.8300,58904
2022-07-22,12.8000,12.8600,12.6140,12.7200,46218
2022-07-21,12.7400,12.7600,12.5300,12.7600,28558
2022-07-20,12.5600,12.7500,12.5100,12.6800,57341
2022-07-19,12.4000,12.5499,12.3500,12.5200,27386
2022-07-18,12.1900,12.5900,12.1900,12.2800,71768
2022-07-15,12.2100,12.2600,11.9300,12.1800,62005
2022-07-14,11.9600,12.0359,11.8100,11.9100,44220
2022-07-13,11.8600,12.1900,11.8600,12.0800,32076
2022-07-12,12.0800,12.1800,11.9700,11.9900,36556
2022-07-11,12.0500,12.3400,12.0100,12.0800,52059
2022-07-08,12.3200,12.3500,12.0270,12.0600,25195
2022-07-07,11.8300,12.2850,11.8000,12.2700,114368
2022-07-06,11.6100,11.7700,11.5100,11.6800,49827
2022-07-05,11.4600,11.7100,11.3400,11.7100,44348
2022-07-01,11.1400,11.5200,11.1400,11.4400,28329
2022-06-30,11.0500,11.1900,11.0200,11.1300,34539
2022-06-29,11.5800,11.6353,11.1000,11.2000,76255
2022-06-28,11.9200,12.0450,11.5200,11.6200,73074
2022-06-27,11.4100,11.8109,11.3400,11.7600,73046
2022-06-24,11.3800,11.5800,11.3400,11.4200,40334
2022-06-23,11.3600,11.4200,11.2400,11.2800,29501
2022-06-22,11.2300,11.4164,11.2300,11.3000,61578
2022-06-21,11.3500,11.5200,11.1800,11.3100,64503
2022-06-17,11.0500,11.5461,11.0200,11.3300,94470
2022-06-16,11.7000,11.9000,11.2500,11.2900,167759
2022-06-15,11.8000,12.1300,11.7510,11.9500,74046
2022-06-14,12.1800,12.1989,11.6600,11.6900,150371
2022-06-13,12.3200,12.3200,11.8600,11.9900,134077
2022-06-10,12.2300,12.5400,12.2300,12.5400,85664
2022-06-09,12.6600,12.6713,12.3400,12.3700,52575
2022-06-08,12.6700,12.7199,12.5300,12.6300,61074
2022-06-07,12.6100,12.7497,12.5700,12.6500,42478
2022-06-06,12.8100,12.8299,12.6100,12.7100,43442
2022-06-03,12.7300,12.8190,12.5700,12.6800,37935
2022-06-02,12.7500,12.8600,12.6000,12.7100,63179
2022-06-01,12.7600,12.8900,12.6300,12.8700,28529
2022-05-31,13.0000,13.0300,12.6900,12.6900,112413
2022-05-27,12.8300,12.9900,12.8200,12.9000,66112
2022-05-26,12.7000,13.0400,12.7000,12.9100,33578
2022-05-25,12.7600,13.0800,12.7600,12.8100,38651
2022-05-24,12.6500,12.7600,12.5000,12.7300,55259
2022-05-23,12.5900,12.8500,12.5700,12.6500,37099
2022-05-20,12.6200,12.8300,12.3600,12.5700,72848
2022-05-19,12.4600,12.9700,12.4500,12.6500,114486
2022-05-18,13.1400,13.1702,12.6000,12.6600,94070
2022-05-17,13.1100,13.3200,13.0900,13.1500,55304
2022-05-16,12.7600,13.1400,12.7000,13.0200,67984
2022-05-13,12.7900,13.0223,12.4600,12.6800,88048
2022-05-12,13.0400,13.0400,12.2900,12.4700,187310
2022-05-11,13.0000,13.4800,12.8500,13.0900,89427
2022-05-10,12.9700,13.2000,12.8600,13.0000,62462
2022-05-09,13.2300,13.3181,12.8800,12.8900,104156
2022-05-06,13.4500,13.4500,13.3000,13.4200,25552
2022-05-05,13.7400,13.7400,13.3200,13.4300,21420
2022-05-04,13.5100,13.7500,13.5100,13.7400,28783
2022-05-03,13.3000,13.5700,13.2101,13.5200,40490
2022-05-02,13.6300,13.6900,13.0600,13.2300,132507
2022-04-29,13.7700,13.8699,13.6600,13.6600,58104
2022-04-28,13.8900,13.9150,13.6600,13.8300,62502
2022-04-27,13.8500,14.0700,13.8250,13.9900,72962
2022-04-26,14.2000,14.2000,13.8100,13.8300,89863
2022-04-25,14.0100,14.2000,13.8800,14.2000,95197
2022-04-22,13.9800,14.0000,13.9300,13.9900,75355
2022-04-21,13.9900,14.0288,13.9238,13.9300,71451
2022-04-20,13.8900,14.0300,13.8900,13.9800,38432
2022-04-19,14.0400,14.0800,13.8800,13.9700,48236
2022-04-18,13.8200,14.0750,13.8000,13.9600,76708
2022-04-14,13.9100,13.9500,13.8527,13.8700,37053
2022-04-13,13.8400,14.0000,13.8362,13.9400,60142
2022-04-12,13.9000,13.9000,13.7500,13.8600,52099
2022-04-11,13.7500,13.8600,13.7500,13.8000,56462
2022-04-08,13.8000,13.8937,13.7800,13.8300,40711
2022-04-07,13.7500,13.8900,13.6501,13.8600,48475
2022-04-06,13.9100,13.9450,13.7600,13.8000,41936
2022-04-05,13.9400,13.9500,13.8353,13.8900,42269
2022-04-04,13.9100,13.9400,13.8000,13.8200,48743
2022-04-01,13.9400,13.9500,13.8600,13.9500,48430
2022-03-31,13.8000,13.9347,13.7900,13.8900,54252
2022-03-30,13.8400,13.9239,13.7800,13.7800,58364
2022-03-29,14.0200,14.0200,13.9545,13.9900,90470
2022-03-28,13.8700,14.0000,13.8500,14.0000,84195
2022-03-25,13.9500,14.0350,13.7700,13.8300,66059
2022-03-24,13.9200,14.1000,13.8701,13.9200,35354
2022-03-23,13.9000,13.9986,13.7800,13.8400,87693
2022-03-22,14.1000,14.1000,14.0600,14.0900,62788
2022-03-21,14.0300,14.1200,13.9800,14.1200,70322
2022-03-18,14.1200,14.1200,14.0300,14.0300,49971
2022-03-17,14.0000,14.1500,13.9600,14.1500,93559
2022-03-16,13.9400,14.0000,13.9046,13.9600,83364
2022-03-15,13.9600,14.0800,13.8200,13.8500,156798
2022-03-14,13.8500,13.9800,13.7300,13.8000,54323
2022-03-11,13.9000,13.9300,13.8000,13.8400,56320
2022-03-10,13.7200,13.8700,13.7200,13.8500,73278
2022-03-09,13.8000,13.8600,13.6600,13.7600,57856
2022-03-08,13.6500,13.8200,13.5430,13.6500,52713
2022-03-07,13.7800,13.8600,13.5300,13.7300,73564
2022-03-04,13.7700,13.8700,13.7400,13.7800,61283
2022-03-03,13.4800,13.7850,13.4800,13.7600,78039
2022-03-02,13.2100,13.5100,13.1600,13.4000,73858
2022-03-01,13.3200,13.3200,12.9350,13.0800,58159
2022-02-28,13.0700,13.2700,13.0700,13.2400,66837
2022-02-25,13.1000,13.2800,13.1000,13.1500,35775
2022-02-24,13.0100,13.2300,12.8300,13.1500,155871
2022-02-23,13.6200,13.6844,13.4000,13.4500,71586
2022-02-22,13.8200,13.8300,13.4600,13.5200,94659
2022-02-18,13.7600,13.8003,13.6954,13.7800,44735
2022-02-17,13.7500,13.8369,13.5900,13.7100,51915
2022-02-16,13.8500,13.8800,13.7900,13.8200,68649
2022-02-15,13.7700,13.9351,13.7700,13.8300,75954
2022-02-14,13.6100,13.8300,13.6000,13.7600,53592
2022-02-11,13.7000,13.8300,13.5500,13.6700,58881
2022-02-10,13.8000,13.8000,13.6145,13.6300,46912
2022-02-09,13.8800,13.8800,13.7200,13.8000,51911
2022-02-08,13.8200,13.9000,13.7502,13.7800,44895
2022-02-07,13.7500,13.9800,13.7500,13.7800,71583
2022-02-04,13.6500,13.8500,13.6200,13.7900,36171
2022-02-03,13.8500,13.9198,13.6500,13.7200,35061
2022-02-02,13.8600,13.9300,13.6900,13.8600,54877
2022-02-01,13.5800,13.7597,13.5100,13.7300,81896
2022-01-31,13.2100,13.6800,13.1000,13.5800,81963
2022-01-28,13.5800,13.6774,13.1937,13.4300,70541
2022-01-27,13.5000,13.7300,13.3001,13.4000,62613
2022-01-26,13.6700,13.9300,13.5100,13.5800,106096
2022-01-25,13.2800,13.7500,13.1852,13.6700,129402
2022-01-24,13.3500,13.4900,12.9100,13.2900,176171
2022-01-21,13.5800,13.5800,13.2900,13.4000,67658
2022-01-20,13.5700,13.7000,13.4900,13.5000,41355
2022-01-19,13.6600,13.7007,13.4600,13.5200,58302
2022-01-18,13.2000,13.5900,13.1800,13.5600,66316
2022-01-14,13.3900,13.4500,13.1500,13.1500,99361
2022-01-13,13.5100,13.6499,13.3700,13.3900,58003
2022-01-12,13.4000,13.6200,13.3643,13.5400,64686
2022-01-11,13.3800,13.4800,13.2800,13.4400,51429
2022-01-10,13.3700,13.4400,13.2500,13.3100,109295
2022-01-07,13.3000,13.5000,13.1600,13.3600,85263
2022-01-06,13.1300,13.3100,13.1100,13.3000,46354
2022-01-05,13.3400,13.3499,13.1100,13.1400,43923
2022-01-04,13.3100,13.4000,13.2300,13.2700,45773
2022-01-03,13.0800,13.4000,13.0800,13.3400,62827
2021-12-31,13.0600,13.2000,13.0200,13.0200,62530
2021-12-30,13.0500,13.0859,12.9310,13.0300,46539
2021-12-29,13.1800,13.1900,12.9500,13.0100,54739
