,SEAS_open,SEAS_high,SEAS_low,SEAS_close,SEAS_volume
2023-10-26,42.3200,42.6800,41.4300,42.1500,774155
2023-10-25,42.1400,42.6400,41.2500,42.4000,903168
2023-10-24,41.5600,42.8300,41.1600,42.6900,842343
2023-10-23,42.0900,42.6300,41.1800,41.2100,894087
2023-10-20,43.6700,43.9200,42.3900,42.4900,1133885
2023-10-19,44.8300,45.1000,43.4200,43.5500,655346
2023-10-18,44.5300,44.8400,44.0200,44.7300,908260
2023-10-17,43.8300,45.5550,43.3900,45.1200,948634
2023-10-16,43.0200,44.5900,43.0200,43.9300,1537350
2023-10-13,43.7100,43.9900,42.2400,42.4900,1063975
2023-10-12,45.6700,45.6700,43.4200,44.0900,905682
2023-10-11,46.3500,46.5000,45.2650,45.8000,571827
2023-10-10,45.4300,46.1500,45.0200,46.1300,1220169
2023-10-09,43.7100,45.1200,43.0600,45.0100,651743
2023-10-06,43.9900,44.5500,43.1300,44.4200,911396
2023-10-05,44.6700,44.7350,43.8100,44.1600,874319
2023-10-04,44.7400,45.0800,44.0410,44.7200,670835
2023-10-03,45.6500,45.6950,43.7800,44.5600,1071888
2023-10-02,46.1100,46.3100,45.5600,45.8600,533945
2023-09-29,46.1500,46.4900,45.5600,46.2500,949645
2023-09-28,44.5400,45.9000,44.0600,45.8100,682698
2023-09-27,44.0800,45.1400,43.6900,44.4400,919654
2023-09-26,45.6400,45.9600,44.2500,44.2600,692118
2023-09-25,46.4900,46.7600,45.3900,45.8700,731011
2023-09-22,47.4400,47.7800,46.8400,47.0100,530808
2023-09-21,47.3700,48.1100,47.0000,47.0100,546733
2023-09-20,47.9700,48.5100,47.7350,47.8000,540294
2023-09-19,47.7500,48.4200,47.5200,47.7200,627085
2023-09-18,48.8000,48.8000,47.4600,48.0700,494046
2023-09-15,49.5400,49.5700,48.2900,48.7800,1582191
2023-09-14,48.1900,49.9900,48.0100,49.8600,779760
2023-09-13,47.8700,48.1650,47.3100,47.5000,740474
2023-09-12,47.6800,47.9200,47.3000,47.8200,505697
2023-09-11,49.1200,49.1200,47.3100,47.9300,961064
2023-09-08,48.6600,49.2200,48.0900,48.6600,401916
2023-09-07,48.3000,48.5700,47.9842,48.2900,589622
2023-09-06,48.2500,48.7800,47.9600,48.6400,477918
2023-09-05,48.7500,49.8100,48.3500,48.3600,703523
2023-09-01,48.8900,49.5250,48.7700,49.4300,404899
2023-08-31,49.2600,49.6500,48.6400,48.7000,515162
2023-08-30,48.9300,49.3600,48.6000,49.1100,651810
2023-08-29,49.3200,49.8700,49.1900,49.2100,556631
2023-08-28,49.7500,50.1100,48.6600,49.3100,922370
2023-08-25,48.9600,50.0200,48.4600,49.8700,613101
2023-08-24,49.1800,49.8000,48.3800,48.4900,664377
2023-08-23,48.5300,49.8800,48.2500,49.8700,786167
2023-08-22,49.7000,49.9500,48.3900,48.4000,773057
2023-08-21,48.4300,49.4900,48.2300,49.4800,853511
2023-08-18,47.8700,48.5750,47.5987,48.3600,844502
2023-08-17,48.9100,49.3100,48.3000,48.3400,806539
2023-08-16,49.2500,49.9300,48.4150,48.7900,686800
2023-08-15,50.9200,51.2200,49.3200,49.5900,1146427
2023-08-14,51.3000,51.4200,50.3200,51.1800,709445
2023-08-11,51.2400,51.6100,50.4300,51.4300,638905
2023-08-10,51.0900,52.1500,50.9800,51.1600,870380
2023-08-09,52.2800,52.9600,51.1100,51.1500,1021432
2023-08-08,53.4400,54.1500,51.8200,52.7500,1672744
2023-08-07,54.7900,55.4400,53.9700,54.3300,1016279
2023-08-04,55.4700,55.5900,54.1200,54.3400,775200
2023-08-03,53.8400,55.7600,53.5000,55.1000,1440949
2023-08-02,54.0100,54.6800,53.6700,54.1100,887960
2023-08-01,53.2900,55.3250,52.7400,54.9700,1682565
2023-07-31,52.8900,55.6800,52.8900,55.3700,1063894
2023-07-28,53.6500,53.8350,52.3350,52.5000,635846
2023-07-27,54.0000,54.6300,53.0400,53.3300,1156018
2023-07-26,53.9900,54.9500,53.1000,53.7600,733282
2023-07-25,53.8300,54.2250,53.1500,53.2300,697464
2023-07-24,52.5100,54.0550,52.3000,53.8100,1201154
2023-07-21,52.2400,52.7100,51.2200,52.6100,1276834
2023-07-20,52.3500,52.4400,51.5200,52.1700,1057189
2023-07-19,52.9600,53.1900,52.3300,52.7600,963877
2023-07-18,51.4200,53.1300,51.2600,52.6800,857168
2023-07-17,52.9000,53.5500,51.3500,51.6600,1094331
2023-07-14,55.1200,55.3750,53.0650,53.2600,1231115
2023-07-13,55.0000,55.9500,54.6500,55.6500,701044
2023-07-12,56.0300,56.3600,54.6300,55.0000,977105
2023-07-11,56.4600,56.8600,54.6200,54.7900,1031232
2023-07-10,55.5000,56.6100,55.3700,56.4400,710599
2023-07-07,55.4800,56.5600,53.6900,55.7400,913226
2023-07-06,55.3800,56.2600,55.1600,56.1600,607772
2023-07-05,57.3700,57.3700,55.9800,56.2200,693167
2023-07-03,55.9300,58.0000,55.8400,57.7700,372826
2023-06-30,56.4100,56.5900,55.3600,56.0100,751537
2023-06-29,54.0900,56.0225,54.0900,55.9100,586345
2023-06-28,55.1500,55.3200,54.0800,54.3600,658490
2023-06-27,55.0200,55.8600,54.0400,55.3000,612139
2023-06-26,54.6400,55.9500,54.4200,54.5100,772693
2023-06-23,54.5800,55.9400,54.5200,55.5000,1413223
2023-06-22,56.9800,56.9800,55.1600,55.5400,647986
2023-06-21,57.3300,57.8700,56.2300,57.2900,520667
2023-06-20,57.9500,58.4450,56.9000,57.3100,550002
2023-06-16,60.3000,60.6100,58.1000,58.6200,696779
2023-06-15,59.3100,60.2600,59.2700,59.6900,564204
2023-06-14,61.1600,61.2700,59.7900,60.3900,716712
2023-06-13,59.7300,61.3000,59.3700,60.9900,678561
2023-06-12,57.7700,59.6500,57.3500,59.4300,926523
2023-06-09,57.9700,58.0600,56.7900,57.3500,428044
2023-06-08,58.5900,58.8600,57.6500,57.9700,640634
2023-06-07,58.6500,59.9800,58.0000,58.7900,1035043
2023-06-06,56.6500,58.4000,56.6500,58.1200,899196
2023-06-05,58.0000,58.1200,56.9400,57.1800,444422
2023-06-02,57.3800,58.5700,57.2300,58.4900,1084184
2023-06-01,56.5500,57.1900,55.4600,56.3200,670221
2023-05-31,56.6500,56.7650,55.4650,55.7600,830677
2023-05-30,55.5200,56.1300,54.9200,56.0000,973474
2023-05-26,54.2200,55.5700,53.7100,55.3900,595070
2023-05-25,55.5200,55.8900,54.1000,54.3800,650502
2023-05-24,54.5300,55.5250,53.7200,55.4300,494888
2023-05-23,56.2900,56.3800,54.6100,54.8800,688950
2023-05-22,55.8900,57.1800,55.6600,56.8400,916374
2023-05-19,57.4000,57.5700,55.3900,55.8900,639181
2023-05-18,55.2400,57.6200,55.2400,57.4000,681133
2023-05-17,54.9400,56.9200,54.4700,56.3600,924638
2023-05-16,57.0800,57.3575,54.9350,55.0000,740116
2023-05-15,57.1800,58.1800,56.7600,57.6500,754342
2023-05-12,56.9200,57.5100,56.5200,57.2800,564137
2023-05-11,58.3300,58.6900,56.3100,56.9200,1181796
2023-05-10,60.8600,61.1000,58.2300,58.9800,1200933
2023-05-09,56.4400,60.0900,55.8600,59.6600,1507833
2023-05-08,57.1700,58.5400,56.1050,56.4300,1740021
2023-05-05,54.2300,55.3750,53.4900,55.1600,1283599
2023-05-04,53.7400,53.9400,52.2300,52.8900,891502
2023-05-03,53.8700,55.2900,53.3900,53.5800,1034217
2023-05-02,54.5000,54.9150,52.3500,53.8500,858657
2023-05-01,53.8700,55.5400,53.5700,55.0900,1358687
