,SGU_open,SGU_high,SGU_low,SGU_close,SGU_volume
2023-10-13,11.6100,11.8200,11.3501,11.5000,20316
2023-10-12,11.3600,11.6150,11.2000,11.5800,32102
2023-10-11,11.9000,12.1500,11.2000,11.2000,50719
2023-10-10,11.9300,12.1900,11.4518,11.8900,12473
2023-10-09,11.4200,11.8900,11.3200,11.8800,21465
2023-10-06,11.3500,11.6400,11.3000,11.3500,17746
2023-10-05,11.3650,11.4492,11.1500,11.3900,60741
2023-10-04,11.2500,11.5950,11.2300,11.4400,55152
2023-10-03,12.0400,12.0400,11.5800,11.5800,16439
2023-10-02,12.1000,12.2892,11.9800,12.1600,5921
2023-09-29,12.2200,12.2899,11.9300,12.0300,33194
2023-09-28,12.6600,12.6600,12.1000,12.1800,24299
2023-09-27,13.7300,13.7300,12.6750,12.8100,13066
2023-09-26,13.5341,13.6900,12.8500,12.9600,16254
2023-09-25,12.9500,13.5200,12.7700,13.0600,47444
2023-09-22,12.4600,14.0000,12.3300,13.0900,236024
2023-09-21,12.6600,12.7900,12.2800,12.3200,17767
2023-09-20,12.2800,12.8500,12.2800,12.6800,40991
2023-09-19,12.0300,12.4700,11.8616,12.3100,19047
2023-09-18,11.7670,12.0350,11.7670,11.9300,9472
2023-09-15,11.8499,12.1100,11.6800,11.9000,64996
2023-09-14,11.8700,12.1000,11.6600,11.8700,21923
2023-09-13,12.1100,12.1100,11.7601,11.8200,13150
2023-09-12,11.6500,12.0700,11.5400,12.0100,25877
2023-09-11,11.6800,11.9400,11.6100,11.6600,15963
2023-09-08,12.1720,12.2085,11.6100,11.6900,30027
2023-09-07,11.8100,12.0450,11.6600,11.8400,13102
2023-09-06,11.9000,12.0100,11.3100,11.7900,97230
2023-09-05,11.7700,12.0600,11.7000,11.8200,16447
2023-09-01,11.9000,12.2200,11.7000,11.8900,42396
2023-08-31,11.7000,12.2100,11.7000,11.7300,32071
2023-08-30,11.9315,12.0000,11.7800,11.9700,13085
2023-08-29,11.5300,12.0100,11.5300,11.8800,28368
2023-08-28,11.7000,11.7800,11.5301,11.6000,19520
2023-08-25,11.9850,12.0400,11.8200,11.8800,7307
2023-08-24,11.8900,12.1950,11.8400,11.9000,8123
2023-08-23,12.2400,12.3350,11.9000,11.9900,13798
2023-08-22,12.1153,12.5200,12.1153,12.2900,13047
2023-08-21,11.7700,12.1150,11.7400,11.9300,7931
2023-08-18,11.8800,12.0100,11.5601,11.9200,11907
2023-08-17,11.8200,12.0999,11.8200,11.9600,10476
2023-08-16,11.9201,12.0580,11.8700,11.9400,16758
2023-08-15,11.8050,12.0900,11.5600,11.9000,18360
2023-08-14,11.6700,12.1800,11.5100,11.6500,9085
2023-08-11,11.8200,11.9700,11.7100,11.8100,13652
2023-08-10,11.6300,12.2500,11.6300,11.8200,17753
2023-08-09,11.9700,12.0200,11.5021,11.6600,18441
2023-08-08,11.9700,12.3940,11.6333,11.9900,20148
2023-08-07,11.6400,12.2000,11.6400,12.1100,20241
2023-08-04,12.5900,12.5900,11.6600,11.6600,37508
2023-08-03,13.1000,13.1000,12.4000,12.4300,18423
2023-08-02,13.6000,13.6000,13.1400,13.3800,24253
2023-08-01,13.4400,13.6800,13.3300,13.5100,36291
2023-07-31,13.5500,13.7400,13.0700,13.5600,63284
2023-07-28,12.9400,13.2800,12.7950,13.1200,21433
2023-07-27,12.8300,13.0000,12.6200,12.7700,17333
2023-07-26,12.9100,12.9900,12.5600,12.8000,31673
2023-07-25,12.3800,12.7400,12.1501,12.7400,27319
2023-07-24,12.5000,12.5871,12.1400,12.5500,18162
2023-07-21,13.2300,13.2300,12.2800,12.4100,18275
2023-07-20,13.1700,13.2400,12.9100,13.2400,19399
2023-07-19,13.2300,13.2300,13.0200,13.0200,14310
2023-07-18,12.6400,13.1700,12.6400,13.1700,14683
2023-07-17,12.5500,13.0600,12.5500,12.8300,20606
2023-07-14,12.9000,12.9000,12.4400,12.6600,6089
2023-07-13,12.8500,13.0000,12.6700,12.9400,20018
2023-07-12,13.3364,13.3364,12.7000,12.8400,26500
2023-07-11,13.0500,13.4499,12.7300,13.2400,30403
2023-07-10,13.0600,13.1400,12.7800,13.0400,9137
2023-07-07,13.1100,13.2950,12.8800,13.0700,10219
2023-07-06,13.1300,13.7399,13.0200,13.1100,22000
2023-07-05,13.0700,13.4400,12.9128,13.1600,30775
2023-07-03,13.5400,13.5400,13.1400,13.1700,14413
2023-06-30,13.2600,13.7700,13.1500,13.6600,13973
2023-06-29,13.2400,13.5056,13.1900,13.2700,15610
2023-06-28,13.8200,13.9213,13.1600,13.3700,44469
2023-06-27,13.4800,14.0900,13.4300,13.9600,32025
2023-06-26,13.7200,13.9900,13.5700,13.5900,16276
2023-06-23,13.7000,14.0600,13.6300,13.6900,18768
2023-06-22,13.9840,14.0850,13.5300,13.8300,36251
2023-06-21,14.0500,14.1700,13.8900,13.9700,19770
2023-06-20,14.3800,14.4000,14.0100,14.0600,27009
2023-06-16,15.0700,15.0700,14.4600,14.5400,71695
2023-06-15,15.2000,15.2100,14.8000,14.9200,18073
2023-06-14,14.9100,15.2200,14.7300,15.0900,104920
2023-06-13,14.8650,15.1500,14.6600,14.9400,49417
2023-06-12,15.1300,15.1300,14.5500,14.9400,52796
2023-06-09,15.0700,15.1000,14.3000,15.1000,87612
2023-06-08,14.5200,15.1500,14.4900,14.9600,85513
2023-06-07,14.6600,15.0600,14.2900,14.5800,48762
2023-06-06,14.2300,14.8900,14.0500,14.6600,39757
2023-06-05,14.1900,14.3600,14.0600,14.1700,13242
2023-06-02,14.3400,14.3900,14.0000,14.1100,20538
2023-06-01,14.1100,14.3400,14.0900,14.2400,24384
2023-05-31,13.4000,14.0000,13.4000,14.0000,205175
2023-05-30,13.2700,13.5800,13.2700,13.3900,25889
2023-05-26,13.3400,13.5300,12.8700,13.3700,56301
2023-05-25,13.9000,13.9000,13.4100,13.4200,13162
2023-05-24,13.6000,13.8800,13.5100,13.5900,18565
2023-05-23,13.3900,13.7500,13.3900,13.7400,92241
2023-05-22,13.5700,13.8000,13.4135,13.4800,21436
2023-05-19,13.6100,13.8000,13.4490,13.6500,12931
2023-05-18,13.2100,13.6700,13.2100,13.5400,15518
2023-05-17,13.3900,13.6150,13.2100,13.2100,22613
2023-05-16,13.4100,13.5700,13.2300,13.4700,28488
2023-05-15,13.7800,13.7800,13.5700,13.5700,23734
2023-05-12,14.1200,14.2700,13.7700,13.8500,43465
2023-05-11,14.1100,14.2900,13.8321,14.1100,51296
2023-05-10,13.9400,14.1700,13.9200,14.1700,27919
2023-05-09,14.1100,14.2100,13.9700,14.0000,26776
2023-05-08,14.2500,14.2900,13.9500,14.0400,45994
2023-05-05,13.8200,14.4700,13.8200,14.2500,56540
2023-05-04,13.4600,13.9900,13.3000,13.8200,60836
2023-05-03,13.5400,13.8800,13.2700,13.4100,39360
2023-05-02,13.7600,13.9788,13.4701,13.6300,106060
2023-05-01,13.6300,13.7900,13.5000,13.6400,68898
2023-04-28,13.5100,13.7500,13.4400,13.5300,63163
2023-04-27,13.6200,13.6600,13.3500,13.4200,143877
2023-04-26,13.7200,13.7800,13.4500,13.4900,34975
2023-04-25,13.9000,13.9000,13.5100,13.5600,43930
2023-04-24,13.2500,13.9100,13.2500,13.8400,96566
2023-04-21,13.5000,13.7200,12.8900,13.1600,40632
2023-04-20,12.9300,13.6950,12.9101,13.6200,184317
2023-04-19,13.3900,13.3900,12.9600,13.0100,37854
2023-04-18,13.2500,13.4000,13.0900,13.3800,34214
2023-04-17,13.2500,13.3800,13.0300,13.1300,28458
2023-04-14,13.0900,13.3800,12.9599,13.2300,35074
2023-04-13,12.8900,13.0500,12.8732,12.9900,16026
2023-04-12,12.7500,13.0500,12.7500,12.9600,35700
2023-04-11,12.7600,12.9800,12.6400,12.6400,28153
2023-04-10,12.3400,12.7700,12.3400,12.6800,24813
