,SHEL_open,SHEL_high,SHEL_low,SHEL_close,SHEL_volume
2023-10-13,67.1400,67.6150,66.9350,67.3800,8064370
2023-10-12,66.4800,66.8000,65.9950,66.5400,5893114
2023-10-11,66.4800,66.6600,65.8100,66.3500,6390396
2023-10-10,66.0300,66.5700,65.8450,66.4800,5700124
2023-10-09,65.4800,66.1300,65.3300,66.1200,7330905
2023-10-06,63.5900,64.6700,63.0600,64.5300,6938644
2023-10-05,61.6600,62.6600,61.6500,62.6600,5707383
2023-10-04,62.6100,62.6400,61.5900,62.0400,8040217
2023-10-03,63.3000,63.4450,62.8400,63.3700,4414530
2023-10-02,64.5500,64.6200,63.1100,63.3600,5976742
2023-09-29,65.4200,65.4500,64.1400,64.3800,7010794
2023-09-28,65.0900,65.9600,65.0900,65.8200,6326736
2023-09-27,64.5000,65.0350,64.3400,64.9200,5079809
2023-09-26,64.1500,64.4700,63.7850,63.9100,3187826
2023-09-25,64.4100,64.8200,64.0500,64.7100,2845251
2023-09-22,64.9800,65.2700,64.4800,64.5200,5412388
2023-09-21,65.1300,65.3750,64.4300,64.4600,6842505
2023-09-20,64.9700,65.5400,64.7426,64.9300,12779342
2023-09-19,65.6000,65.7250,65.0900,65.1700,5506664
2023-09-18,65.1100,65.2600,64.7600,65.2300,3410816
2023-09-15,64.9400,65.3400,64.6100,64.6500,4787592
2023-09-14,64.4000,65.3700,64.3600,65.3400,7459641
2023-09-13,64.2400,64.2650,63.6500,63.9300,4737805
2023-09-12,63.5800,64.1500,63.5800,64.0700,5717953
2023-09-11,63.8800,64.0200,63.3600,63.5200,4328969
2023-09-08,63.0000,63.6400,62.9100,63.2000,4476333
2023-09-07,63.2800,63.5300,63.0300,63.0300,3041259
2023-09-06,63.0300,63.5800,62.9401,63.3900,3640134
2023-09-05,63.2900,63.5650,62.6350,62.8500,3944605
2023-09-01,63.0100,63.1600,62.4750,62.8500,2924792
2023-08-31,62.4400,62.4400,61.8850,62.0900,3051592
2023-08-30,62.4400,62.5600,62.1400,62.2400,2464087
2023-08-29,61.6000,62.0250,61.2900,62.0100,2925694
2023-08-28,61.2400,61.6300,61.1100,61.4200,2405541
2023-08-25,61.0500,61.1600,60.5750,61.0300,3417173
2023-08-24,60.4700,60.9400,60.4200,60.4600,2915432
2023-08-23,60.6100,60.9700,60.1250,60.7300,2818815
2023-08-22,61.4700,61.5300,60.8800,60.9300,2903838
2023-08-21,61.5800,61.7100,61.0600,61.4200,2906847
2023-08-18,60.3900,61.2300,60.2660,61.2000,3627689
2023-08-17,61.4500,61.6800,60.8310,60.9900,4099843
2023-08-16,60.7000,61.1900,60.6500,60.6800,5011595
2023-08-15,61.4400,61.5300,60.8350,60.9300,4170397
2023-08-14,61.4400,61.7200,61.1000,61.5600,4733411
2023-08-11,61.6300,62.4650,61.6300,62.4200,4513205
2023-08-10,62.6400,63.0950,62.2050,62.3200,3763521
2023-08-09,62.2800,62.7800,62.2400,62.5200,4999187
2023-08-08,60.7000,61.7400,60.3400,61.6800,3694454
