,TR_open,TR_high,TR_low,TR_close,TR_volume
2023-10-26,29.6200,30.6300,29.6200,30.4500,83244
2023-10-25,29.1300,29.7100,29.0657,29.4700,41416
2023-10-24,29.2400,29.5100,29.1600,29.2800,54405
2023-10-23,29.8500,30.0950,29.2500,29.2700,92184
2023-10-20,29.9100,30.1600,29.7000,29.9100,125523
2023-10-19,30.6300,30.6300,29.7500,29.9100,148017
2023-10-18,30.7600,31.2400,30.4450,30.6900,65182
2023-10-17,30.6900,31.0000,30.6100,30.6600,85737
2023-10-16,30.5200,30.7850,30.2601,30.6700,66585
2023-10-13,30.1300,30.6200,30.1300,30.4600,62541
2023-10-12,30.6100,30.6100,29.8750,30.0900,103270
2023-10-11,30.6900,30.8800,30.4100,30.6300,62492
2023-10-10,30.8900,31.0100,30.6800,30.6900,62536
2023-10-09,30.5500,31.0800,30.5500,30.6900,80618
2023-10-06,30.7900,30.9350,30.2600,30.6300,67879
2023-10-05,31.4300,31.6800,31.0400,31.0500,115714
2023-10-04,30.7700,31.4600,30.0300,31.3600,149287
2023-10-03,30.2900,31.4700,30.2300,30.8600,168391
2023-10-02,29.9200,30.6800,29.8000,30.5100,154534
2023-09-29,30.1200,30.1900,29.8200,29.8600,84391
2023-09-28,30.1599,30.2600,29.9400,30.1100,82933
2023-09-27,30.1200,30.2385,29.9000,29.9200,84076
2023-09-26,30.1300,30.1800,29.8200,30.0000,105221
2023-09-25,30.7900,30.7900,30.1700,30.2100,51796
2023-09-22,30.7700,31.2900,30.6900,30.9600,85068
2023-09-21,30.3500,30.8500,30.1317,30.6500,125327
2023-09-20,30.6100,30.6100,30.1150,30.4200,54480
2023-09-19,30.6200,30.7700,30.2800,30.3300,66336
2023-09-18,30.2900,30.8200,30.1650,30.7500,73296
2023-09-15,30.2200,30.4400,29.8200,30.1200,405830
2023-09-14,30.3900,30.6800,30.3800,30.4600,74836
2023-09-13,30.0900,30.6700,30.0600,30.4600,92765
2023-09-12,30.8600,30.8600,29.9600,30.1400,146782
2023-09-11,30.5500,30.8300,30.3100,30.8000,80396
2023-09-08,30.8900,31.0000,30.3300,30.4200,110861
2023-09-07,31.3000,31.4446,30.8200,30.9500,86089
2023-09-06,31.2600,31.6300,31.0000,31.2900,76970
2023-09-05,31.6100,31.6850,30.8800,31.1800,126382
2023-09-01,32.2900,32.3999,31.6700,31.7700,104373
2023-08-31,32.5800,32.7224,31.9600,32.1500,94171
2023-08-30,33.0100,33.2600,32.5100,32.6600,92963
2023-08-29,32.2700,33.6000,32.1400,33.0900,393150
2023-08-28,32.4100,32.5800,32.1100,32.1900,92338
2023-08-25,31.9700,32.4300,31.9600,32.3600,137281
2023-08-24,32.3700,32.8100,31.9900,32.0200,97238
2023-08-23,32.2300,32.4800,31.9800,32.4800,84036
2023-08-22,32.3900,32.5000,32.1000,32.2600,85353
2023-08-21,32.7600,32.8300,32.4200,32.4900,95477
2023-08-18,32.7600,33.1250,32.6950,32.9200,108158
2023-08-17,33.0900,33.1000,32.5800,32.8300,97606
2023-08-16,33.2100,33.2900,32.6500,32.8600,90405
2023-08-15,33.3200,33.4600,33.1400,33.2500,74996
2023-08-14,33.3600,33.5700,33.0000,33.4300,84678
2023-08-11,33.3100,33.5650,33.1225,33.3200,80651
2023-08-10,33.6000,33.7200,33.2500,33.3900,66266
2023-08-09,33.5200,33.7525,33.2850,33.6100,78402
2023-08-08,34.1100,34.1100,33.4700,33.6200,81652
2023-08-07,34.1600,34.3200,33.8000,34.2900,55620
2023-08-04,34.2400,34.4050,34.0100,34.2000,64624
2023-08-03,35.0000,35.0000,34.2550,34.3500,110401
2023-08-02,34.6400,35.3200,34.6400,34.9600,101746
2023-08-01,34.8100,35.0500,34.5950,34.8000,93555
2023-07-31,33.7900,34.9000,33.7100,34.8600,115340
2023-07-28,34.3700,34.3700,33.7700,33.8500,107803
2023-07-27,34.2100,34.5500,33.8597,34.2100,189996
2023-07-26,34.1500,35.0700,33.9000,34.4300,117592
2023-07-25,33.9800,34.3100,33.7400,33.9400,84754
2023-07-24,34.5000,34.6050,34.0200,34.0200,83804
2023-07-21,35.4700,35.4700,34.6700,34.6800,99965
2023-07-20,35.0600,35.4350,34.7600,35.3400,117947
2023-07-19,34.4500,35.0700,34.4000,34.9800,132677
2023-07-18,34.1000,34.5300,34.0807,34.4500,82448
2023-07-17,34.1000,34.7200,34.0100,34.0200,110576
2023-07-14,34.3200,34.3600,33.6400,34.1700,120325
2023-07-13,34.3000,34.5800,34.0350,34.3700,145808
2023-07-12,33.7300,34.5100,33.6800,34.3200,119155
2023-07-11,33.2500,34.0700,33.2500,33.6400,244996
2023-07-10,33.5900,33.8900,33.1200,33.1900,345967
2023-07-07,34.0200,34.4000,33.5700,33.5700,186843
2023-07-06,34.7000,34.7242,34.0700,34.0900,145812
2023-07-05,35.5600,35.5600,34.7800,34.7800,155961
2023-07-03,35.4100,35.9800,35.2050,35.7200,125748
2023-06-30,34.9700,35.4600,34.9700,35.4100,188357
2023-06-29,35.0300,35.5000,34.9200,34.9700,206509
2023-06-28,36.0900,36.0900,34.9300,35.1100,197355
2023-06-27,37.4500,37.6300,36.2400,36.2400,240156
2023-06-26,37.1700,37.4500,36.9300,37.3400,372222
2023-06-23,37.3100,37.5650,36.7900,36.9100,2557682
2023-06-22,37.4600,37.4600,36.7400,37.2800,282035
2023-06-21,37.1700,37.8350,37.1350,37.3900,209557
2023-06-20,38.2700,38.2700,37.2300,37.2700,192560
2023-06-16,38.0500,38.5000,37.8700,38.1300,352591
2023-06-15,38.2400,38.3300,37.7700,37.9700,145467
2023-06-14,38.3300,38.5900,38.0500,38.1400,148744
2023-06-13,37.5600,38.4400,37.5000,38.2100,157062
2023-06-12,38.4500,38.4500,37.6200,37.7300,135032
2023-06-09,39.0700,39.0700,38.1400,38.5000,109347
2023-06-08,38.9100,39.0500,38.5000,38.9900,123256
2023-06-07,37.8200,39.0900,37.7300,38.9100,148751
2023-06-06,37.6900,37.8200,36.8900,37.7000,161601
2023-06-05,38.1800,38.6190,37.6100,37.6300,115616
2023-06-02,38.2800,38.5100,37.8000,38.4400,156337
2023-06-01,39.0700,39.1150,38.0000,38.0500,139558
2023-05-31,38.7700,39.2250,38.3100,39.0700,173298
2023-05-30,38.5000,39.0600,38.3500,38.6200,102701
2023-05-26,39.1300,39.2500,38.6200,38.7000,116576
2023-05-25,38.3100,39.2600,38.2529,39.1600,123261
2023-05-24,38.2200,39.1700,38.2200,38.3900,116460
2023-05-23,38.0800,38.6237,37.9050,38.1500,119959
2023-05-22,38.0500,38.4600,37.7700,38.2000,147368
2023-05-19,37.7900,37.9300,37.1800,37.9000,158998
2023-05-18,37.2900,37.8500,37.1000,37.5200,138673
2023-05-17,37.4200,37.7000,36.9850,37.5900,125839
2023-05-16,37.2200,37.6200,37.0000,37.3600,130231
2023-05-15,38.1900,38.1950,37.0700,37.2200,156483
2023-05-12,39.2800,39.2800,38.0400,38.1000,112724
2023-05-11,39.6200,39.7300,39.0600,39.3200,120810
2023-05-10,39.3700,39.9300,38.7550,39.7400,113396
2023-05-09,38.9600,39.3200,38.4700,39.1600,130805
2023-05-08,38.4800,39.0600,38.3500,39.0600,107343
2023-05-05,37.9200,39.0200,37.7901,38.7500,158639
2023-05-04,37.8300,38.0600,37.4300,37.7300,140382
2023-05-03,38.5100,38.8000,37.4350,38.0000,315088
2023-05-02,38.6400,39.4500,38.1000,38.4300,302872
2023-05-01,40.6200,41.0700,38.5500,39.0300,381062
2023-04-28,41.3000,41.3000,40.4200,40.8800,181619
2023-04-27,41.9100,42.4639,41.3200,41.3900,114366
2023-04-26,43.9100,44.0450,41.6400,41.8500,180383
2023-04-25,44.0400,44.2700,43.6700,44.0400,133290
2023-04-24,44.3200,44.6600,43.8300,43.9500,121416
2023-04-21,44.3300,44.5100,43.9100,44.3200,136381
2023-04-20,44.8500,44.8500,43.5200,44.0300,155152
2023-04-19,45.2100,45.2700,44.7400,44.8300,93648
2023-04-18,44.4300,45.0500,44.2000,45.0200,120569
2023-04-17,44.7500,44.7700,43.9700,44.3200,86306
2023-04-14,45.1600,45.3100,44.3800,44.5500,101151
2023-04-13,45.4600,45.4600,44.8400,45.2400,105477
2023-04-12,45.0500,45.5300,44.6400,45.4200,115776
2023-04-11,44.9300,45.5419,44.7415,45.0300,112612
2023-04-10,44.9000,45.0600,44.2850,44.9400,147705
2023-04-06,45.5500,45.9848,44.7900,45.0300,110884
2023-04-05,45.2200,45.7600,45.0400,45.4700,77022
2023-04-04,45.7700,45.8500,44.9400,45.3400,90488
2023-04-03,44.8400,45.7800,44.6200,45.6600,167122
2023-03-31,44.5600,44.9400,44.3400,44.9100,116413
2023-03-30,44.7500,44.9052,43.8400,44.4500,104773
2023-03-29,44.9600,45.1200,44.6400,44.7500,64315
2023-03-28,44.7200,45.1500,44.4300,44.7900,71347
2023-03-27,45.1100,45.3900,44.6300,44.7900,99095
2023-03-24,43.6000,44.8800,43.2700,44.7500,89378
2023-03-23,43.7400,43.8800,43.3500,43.6000,118954
2023-03-22,44.8400,44.9000,43.6950,43.7400,103679
2023-03-21,45.3600,45.4100,44.2800,44.8200,150101
2023-03-20,44.6800,45.9000,44.6800,45.0700,190115
2023-03-17,44.7200,44.7800,43.9900,44.6100,331446
2023-03-16,44.4600,44.9600,44.1100,44.8800,170801
2023-03-15,44.0100,44.8700,43.7450,44.5900,185281
2023-03-14,43.4000,44.3800,43.1100,44.3500,129344
2023-03-13,42.2300,43.5600,41.9400,42.8600,144690
2023-03-10,41.9600,42.6700,41.9050,42.4400,151138
2023-03-09,42.7600,43.0200,41.8600,42.0000,136343
2023-03-08,42.1500,42.7050,41.7300,42.5400,80322
2023-03-07,42.4600,42.4700,41.7050,42.0700,93724
2023-03-06,42.5500,42.5800,41.8100,42.3100,163237
2023-03-03,42.6300,42.8000,41.5600,42.6800,142802
2023-03-02,43.4900,44.1500,43.4650,43.7100,103830
2023-03-01,44.1100,44.2591,43.3500,43.6200,95844
2023-02-28,43.7600,44.3100,43.5100,44.0300,138787
2023-02-27,44.4500,44.8100,43.9400,44.0100,65174
2023-02-24,44.4800,44.7100,44.0250,44.4300,75909
2023-02-23,44.8700,45.5100,44.1300,44.7400,109817
2023-02-22,44.9000,45.1500,44.3600,44.7300,133395
2023-02-21,46.1700,46.3000,44.7500,44.9000,161864
2023-02-17,45.0200,46.1700,45.0100,46.1700,112244
2023-02-16,43.7600,44.8300,43.6200,44.7600,96419
2023-02-15,44.7300,44.7300,42.5650,44.0600,133087
2023-02-14,45.3100,45.4300,44.3400,44.3700,76288
2023-02-13,44.9900,45.6800,44.7900,45.4900,81892
2023-02-10,44.8800,45.0700,44.6600,44.8800,85353
2023-02-09,45.9600,45.9650,44.7400,45.0100,101853
2023-02-08,45.8800,46.1450,45.4300,45.6600,74435
2023-02-07,47.2700,47.2700,45.7300,46.1800,124828
2023-02-06,46.8000,47.4900,46.2500,47.2600,130855
2023-02-03,45.8800,47.0312,45.3500,46.9200,228014
2023-02-02,44.9900,45.9900,44.4600,45.8200,201841
2023-02-01,44.6700,45.9700,44.4490,45.2600,427673
2023-01-31,44.5800,44.7500,44.1700,44.7300,89192
2023-01-30,43.6800,44.9500,43.6800,44.2800,114856
2023-01-27,43.6300,43.7300,43.1929,43.6900,104827
2023-01-26,43.8300,43.9200,43.3400,43.5900,61084
2023-01-25,43.6600,44.0100,43.5100,43.9500,61807
2023-01-24,43.7700,44.0100,43.2700,43.6500,69989
2023-01-23,43.2600,44.1000,42.8400,43.8000,74806
2023-01-20,43.3800,43.4450,42.6650,43.2200,90283
2023-01-19,43.4800,43.5700,43.0500,43.1100,60265
2023-01-18,45.5800,45.5800,43.2301,43.4800,104418
2023-01-17,45.0700,45.6550,45.0001,45.4200,93254
2023-01-13,44.9900,45.3300,44.8800,45.0800,77451
2023-01-12,45.8400,45.8400,44.9600,45.0600,96993
2023-01-11,46.1000,46.4000,45.7100,45.7800,97029
2023-01-10,45.0500,45.9000,45.0000,45.9000,85989
2023-01-09,46.1100,46.1500,45.1600,45.2800,90371
2023-01-06,45.3000,46.7000,45.2500,46.1100,112265
2023-01-05,44.0800,45.0200,43.8150,45.0100,117988
2023-01-04,43.0200,44.3800,42.9900,43.9900,118732
2023-01-03,42.8100,43.1000,42.0800,43.0600,116871
2022-12-30,42.7200,42.7400,42.4000,42.5700,111951
2022-12-29,43.0500,43.0800,42.3700,42.7700,86949
2022-12-28,43.0600,43.4200,42.6400,42.6500,84017
2022-12-27,43.4400,43.8100,43.1000,43.1400,67468
2022-12-23,43.1700,43.8700,43.1500,43.5200,89631
2022-12-22,43.1800,43.3550,42.8200,43.2800,76828
2022-12-21,43.6000,44.0000,43.3700,43.4000,89271
2022-12-20,43.4600,43.5100,43.0000,43.3000,120739
2022-12-19,43.1600,43.6800,42.9375,43.3900,146027
2022-12-16,43.1600,43.4100,42.7800,43.1700,572693
2022-12-15,43.8700,43.9000,43.2300,43.4900,156291
2022-12-14,44.2000,44.7400,43.7200,44.0400,148291
2022-12-13,45.6000,45.8800,44.2900,44.3100,194134
2022-12-12,44.3100,45.4400,44.3100,45.4100,125680
2022-12-09,44.4500,44.8900,44.2700,44.2800,118819
2022-12-08,45.1200,45.3700,44.4701,44.7000,114387
2022-12-07,45.3500,45.8200,44.9990,45.2200,180575
2022-12-06,45.6000,45.8700,45.3100,45.5000,114427
2022-12-05,45.7700,46.0200,45.1200,45.6900,161906
2022-12-02,44.6100,46.5200,44.6100,46.0600,176515
2022-12-01,44.9100,45.0400,44.3800,44.9400,100560
2022-11-30,43.6100,44.9500,43.2600,44.9500,167212
2022-11-29,44.0000,44.0800,43.2800,43.6600,391913
2022-11-28,43.8000,44.2500,43.7700,43.8100,118421
2022-11-25,43.2500,44.2050,43.2200,43.9800,102236
2022-11-23,44.2300,44.2300,43.0000,43.2900,125819
2022-11-22,44.5800,44.6350,44.0500,44.3800,156663
2022-11-21,43.5800,44.2200,43.3290,44.1500,135990
2022-11-18,44.0200,44.3000,43.2400,43.4700,148824
2022-11-17,43.0700,43.5400,42.9052,43.4800,118202
2022-11-16,42.5500,43.3900,42.4200,43.1600,110142
2022-11-15,41.8800,42.4300,41.3400,42.4100,114020
2022-11-14,41.0000,42.0400,40.9650,41.5700,108582
2022-11-11,41.5800,41.5800,40.3300,41.0400,132913
2022-11-10,41.8800,42.0400,41.0350,41.6800,154041
2022-11-09,40.8600,41.6300,40.8600,41.1300,91512
2022-11-08,40.1000,41.3200,40.1000,41.0600,145419
2022-11-07,40.0800,40.2700,39.5300,40.1400,75181
2022-11-04,39.9300,40.0600,39.4200,40.0000,73061
2022-11-03,39.0000,39.9400,38.5700,39.6200,75793
2022-11-02,39.7000,40.0400,39.0300,39.2500,148843
2022-11-01,40.3500,40.6450,38.8700,39.7800,247032
2022-10-31,40.5600,41.2000,40.0000,40.3900,93746
2022-10-28,39.2500,40.6500,39.2500,40.6500,109096
2022-10-27,39.5300,39.6200,38.4200,39.2800,116471
2022-10-26,39.8000,40.2950,39.5100,39.5400,85642
2022-10-25,39.0000,40.1300,38.9200,39.9900,118873
2022-10-24,38.4100,39.1600,38.4100,39.1600,86548
2022-10-21,38.0900,38.8300,38.0600,38.3600,107894
2022-10-20,38.0000,38.3500,37.7300,37.8900,94616
2022-10-19,37.4200,38.1000,37.3200,37.9300,87942
2022-10-18,37.1200,37.6400,36.6900,37.4400,80194
2022-10-17,36.5300,37.0800,36.5200,36.8800,114565
