,TRN_open,TRN_high,TRN_low,TRN_close,TRN_volume
2023-10-26,20.3900,20.6700,20.1900,20.6500,567017
2023-10-25,20.6000,20.6800,20.0400,20.1200,735756
2023-10-24,21.5500,21.5500,21.0400,21.0400,291608
2023-10-23,21.5100,21.7600,21.2400,21.3000,335942
2023-10-20,21.8600,21.9700,21.5300,21.5800,429550
2023-10-19,22.1500,22.4300,21.7110,21.7600,372541
2023-10-18,22.7100,22.7300,22.2200,22.2700,357866
2023-10-17,22.7800,23.3300,22.7800,23.0600,494865
2023-10-16,23.2800,23.5700,22.4950,22.9400,485314
2023-10-13,22.2000,22.2800,21.8400,21.9100,258642
2023-10-12,22.3800,22.3800,21.8500,22.0000,243843
2023-10-11,22.2500,22.5800,22.1800,22.5800,353599
2023-10-10,22.1200,22.5800,22.0800,22.2300,337634
2023-10-09,21.4700,22.0400,21.3400,21.9700,472470
2023-10-06,21.4600,21.8000,21.0000,21.6000,528443
2023-10-05,21.2600,21.7700,21.1100,21.3900,654122
2023-10-04,22.4300,22.7300,21.0000,21.2400,774992
2023-10-03,23.5100,23.5950,23.1875,23.3400,302317
2023-10-02,24.1600,24.1600,23.5400,23.5800,476941
2023-09-29,25.1900,25.1900,24.2400,24.3500,449870
2023-09-28,24.7100,25.2600,24.7100,25.0100,417008
2023-09-27,24.8400,25.0200,24.5800,24.8100,306701
2023-09-26,25.1700,25.3409,24.5900,24.5900,368428
2023-09-25,25.0900,25.9000,25.0900,25.3600,440728
2023-09-22,25.3900,25.5700,24.9900,25.2900,400661
2023-09-21,24.7500,25.5000,24.4400,25.3500,644239
2023-09-20,24.7800,25.3000,24.7550,24.8600,412525
2023-09-19,24.1100,24.7600,24.1100,24.6000,468237
2023-09-18,24.1800,24.3700,23.9900,24.0200,245704
2023-09-15,24.2200,24.3600,23.8800,24.0200,1055095
2023-09-14,23.8300,24.3600,23.8300,24.3500,318443
2023-09-13,23.7900,23.7900,23.4600,23.5800,245863
2023-09-12,23.7100,23.9600,23.6400,23.7900,198324
2023-09-11,23.6900,23.9600,23.5300,23.7900,247992
2023-09-08,23.3100,23.6400,23.1404,23.5700,215553
2023-09-07,24.0700,24.0700,23.0800,23.3800,341634
2023-09-06,24.1500,24.4200,23.7800,23.8700,287394
2023-09-05,25.2100,25.2100,24.0500,24.1100,448707
2023-09-01,25.2900,25.5850,25.2900,25.5500,267883
