,TRNO_open,TRNO_high,TRNO_low,TRNO_close,TRNO_volume
2023-10-26,50.7800,51.7100,50.7800,51.6200,558261
2023-10-25,51.1700,51.8000,50.4200,50.6200,755560
2023-10-24,51.5600,52.0600,51.4715,51.7600,535343
2023-10-23,51.8900,52.5200,51.3600,51.4200,854496
2023-10-20,52.5800,53.3500,52.0500,52.3000,755023
2023-10-19,53.2900,53.3150,51.8300,52.2500,959970
2023-10-18,55.1700,55.4000,53.7800,53.8200,409681
2023-10-17,55.4600,57.2300,55.3750,55.5900,760600
2023-10-16,55.9900,56.3800,55.4100,55.9300,501953
2023-10-13,56.1300,56.1300,55.1800,55.5200,612921
2023-10-12,57.3100,57.3100,55.4600,55.5700,670337
2023-10-11,57.6100,58.2600,56.9300,57.5300,836798
2023-10-10,57.8600,58.1124,57.0100,57.1400,897079
2023-10-09,56.8600,58.1700,56.8600,57.7300,340182
2023-10-06,56.7900,57.7900,56.6850,57.2400,378705
2023-10-05,56.0800,57.6400,56.0800,57.3000,793650
2023-10-04,55.0900,56.2800,54.5696,56.2600,838210
2023-10-03,55.2500,55.4358,54.4300,54.6900,408611
2023-10-02,56.5400,56.9129,55.4300,55.7700,339001
2023-09-29,57.6200,57.6600,56.1358,56.8000,712010
2023-09-28,56.8900,57.4800,56.6100,56.8000,449904
2023-09-27,57.3000,57.7900,56.8400,57.1400,605860
2023-09-26,57.2000,57.6200,56.4800,56.9900,491547
2023-09-25,57.5000,57.9600,57.3700,57.7300,344806
2023-09-22,58.1000,58.9000,57.7500,57.9100,677864
2023-09-21,60.6700,60.7100,58.1400,58.1600,511106
2023-09-20,61.1000,61.6100,60.8400,61.0900,491017
2023-09-19,61.0300,61.3850,60.4400,60.4800,279625
2023-09-18,60.7500,61.3550,60.2400,60.9900,430420
2023-09-15,61.0700,61.2700,60.4800,60.6800,1645042
2023-09-14,61.3300,61.6000,60.9400,61.3700,702450
2023-09-13,60.9800,61.3000,60.6300,60.7800,388008
2023-09-12,61.1100,61.4500,61.0100,61.2000,478138
2023-09-11,61.0100,61.2700,60.5900,61.2600,414358
2023-09-08,61.3100,61.3700,60.4450,60.8200,393271
2023-09-07,60.0400,61.4000,60.0400,61.1100,774151
2023-09-06,59.8700,60.2700,59.2800,60.2000,454430
2023-09-05,60.5800,61.2600,59.6550,59.7400,436546
2023-09-01,61.1500,61.4000,60.6700,60.9000,264003
2023-08-31,61.0100,61.2800,60.6800,60.8900,547116
2023-08-30,61.2100,61.5100,60.8550,61.0400,297183
2023-08-29,60.5100,61.4100,60.3050,61.0700,460055
2023-08-28,60.3900,61.1300,60.3900,60.6900,408343
2023-08-25,59.7300,60.4500,59.4000,60.1900,500756
2023-08-24,59.8300,60.3500,59.0300,59.5000,479961
2023-08-23,59.1200,60.0450,58.7700,59.9900,557694
2023-08-22,57.8500,59.0700,57.4900,58.6600,542166
2023-08-21,57.7600,57.7600,56.9600,57.4100,288132
2023-08-18,57.2200,58.0300,57.1100,57.8800,287553
2023-08-17,58.7500,59.0300,57.5800,57.6600,309465
2023-08-16,58.8200,59.2500,58.5700,58.7500,229082
2023-08-15,58.9400,59.4000,58.6050,58.8600,302579
2023-08-14,59.8300,59.8300,59.1800,59.3500,223649
2023-08-11,58.4600,60.0100,58.4600,59.8900,470712
2023-08-10,59.8300,60.0936,58.7800,58.8900,248880
2023-08-09,58.9400,59.6300,58.8400,59.3800,482116
2023-08-08,59.6400,59.8400,58.8600,59.3200,263310
2023-08-07,59.9800,60.1574,59.3200,60.0900,357588
2023-08-04,59.5700,60.4800,59.1600,59.4300,661460
2023-08-03,57.6700,60.2000,57.2000,59.4100,926399
2023-08-02,57.9900,58.4600,57.6350,58.0900,337318
