



,TS_open,TS_high,TS_low,TS_close,TS_volume
2023-10-26,31.8200,32.1150,31.5800,31.8100,2175893
2023-10-25,32.5100,32.6600,32.3500,32.3700,2430439
2023-10-24,32.8100,32.8900,32.5200,32.5600,1879961
2023-10-23,32.9200,32.9300,32.4900,32.5900,2568717
2023-10-20,32.6800,32.9100,32.1600,32.6700,2886406
2023-10-19,32.7700,33.2100,32.5600,33.0000,2488174
2023-10-18,33.4200,33.7000,33.2800,33.3900,1894656
2023-10-17,32.9500,33.7500,32.9500,33.6300,1586098
2023-10-16,33.2600,33.4200,32.9500,33.2700,1463874
2023-10-13,32.9300,33.3850,32.9200,33.2100,1765190
2023-10-12,33.0100,33.0300,32.2200,32.4900,2027020
2023-10-11,32.6700,32.9700,32.4500,32.8900,2269344
2023-10-10,32.5200,32.6500,32.2700,32.5900,1402548
2023-10-09,31.6900,32.4500,31.5600,32.4100,3404803
2023-10-06,30.8600,31.2800,30.4900,31.0600,1541594
2023-10-05,29.9800,30.4800,29.9400,30.4800,2051683
2023-10-04,30.2400,30.3200,29.5550,30.0800,3011907
2023-10-03,30.3300,30.7350,30.2600,30.6100,2345897
2023-10-02,31.1800,31.2400,30.2200,30.5300,3386416
2023-09-29,31.8900,32.0100,31.4850,31.6000,1609720
2023-09-28,31.7400,32.3500,31.7400,32.0700,1627588
2023-09-27,31.3500,31.9300,31.1550,31.8700,1470773
2023-09-26,30.8600,31.2150,30.8200,30.8600,1223889
2023-09-25,30.8600,31.2950,30.7700,31.2100,1035587
2023-09-22,31.2300,31.5600,30.9900,30.9900,1883582
2023-09-21,31.7100,31.7200,31.0300,31.1200,2808685
2023-09-20,32.0600,32.4500,31.8400,31.8600,1951135
2023-09-19,32.9900,33.0200,32.0100,32.1600,1941090
2023-09-18,33.0000,33.0500,32.5300,32.6700,1715888
2023-09-15,32.8500,32.9950,32.6300,32.6300,2336716
2023-09-14,32.6300,32.9500,32.5900,32.8900,1247561
2023-09-13,32.6000,32.6600,32.0800,32.2400,1171905
2023-09-12,32.4500,32.7150,32.3200,32.5300,1362003
2023-09-11,32.3200,32.4700,32.0800,32.1400,1367936
2023-09-08,31.7600,32.1200,31.5200,31.8700,1519549
2023-09-07,31.8500,32.0400,31.3900,31.4400,1633001
2023-09-06,32.2100,32.5250,31.9300,32.0700,1706169
2023-09-05,32.3200,32.5100,32.0550,32.0700,1934942
2023-09-01,32.6200,32.7000,32.1400,32.3000,2104091
2023-08-31,32.5600,32.6000,31.7825,31.9300,2734775
2023-08-30,33.5200,33.5800,33.2100,33.2100,1007354
2023-08-29,33.1000,33.4000,32.8600,33.3900,1202173
2023-08-28,32.6900,32.8800,32.5600,32.7900,1150931
2023-08-25,32.7800,32.7800,32.2250,32.3900,1329204
2023-08-24,32.6700,32.9500,32.4600,32.4600,1217314
2023-08-23,32.4800,32.9800,32.3500,32.8600,1519046
2023-08-22,33.5500,33.6050,32.8700,32.9200,1955494
2023-08-21,33.6300,33.7400,33.3250,33.4300,904140
2023-08-18,32.6900,33.3600,32.5900,33.3500,1067616
2023-08-17,33.3800,33.5300,32.9800,33.0100,1281204
2023-08-16,33.3100,33.6250,33.0300,33.0600,1122535
2023-08-15,33.5900,33.5900,33.2100,33.2400,903855
2023-08-14,33.3800,33.6908,33.1625,33.6300,1205595
2023-08-11,33.5200,33.9000,33.4800,33.7300,1094568
2023-08-10,33.8400,34.1955,33.5300,33.6200,2034367
2023-08-09,33.5800,33.9900,33.5350,33.6900,1598697
2023-08-08,32.4000,33.0600,32.1300,33.0100,1735188
2023-08-07,32.6200,32.8150,32.4350,32.7100,1629207
2023-08-04,32.9100,33.2700,32.7400,32.7700,3794227
2023-08-03,31.7200,32.2200,31.6000,31.8700,4890679
2023-08-02,32.9300,33.0700,32.5825,32.9600,2618376
2023-08-01,33.2700,33.6450,33.1000,33.6000,1880931
2023-07-31,33.4700,33.7100,33.3600,33.4900,1489673
2023-07-28,33.0000,33.3400,32.8400,33.2500,1119284
2023-07-27,33.1200,33.3050,32.7400,32.8900,1624204
2023-07-26,32.8100,33.1200,32.7100,32.9500,1518695
