,UFI_open,UFI_high,UFI_low,UFI_close,UFI_volume
2023-10-13,6.7600,6.7600,6.5300,6.6500,30789
2023-10-12,6.6800,6.7400,6.6000,6.6900,101820
2023-10-11,6.7600,6.8100,6.6500,6.7400,28437
2023-10-10,6.7600,6.9500,6.7200,6.7400,40281
2023-10-09,6.7300,6.8000,6.5600,6.7300,40274
2023-10-06,6.7500,6.8700,6.6500,6.8000,40106
2023-10-05,6.8100,6.8500,6.6800,6.8400,51406
2023-10-04,6.8700,6.9000,6.7650,6.8600,25713
2023-10-03,6.9200,6.9400,6.8600,6.8800,58167
2023-10-02,6.9300,7.0200,6.7200,6.9800,104133
2023-09-29,7.0300,7.1100,6.7800,7.1000,50687
2023-09-28,6.7400,6.9800,6.7400,6.9200,38841
2023-09-27,6.9200,7.0800,6.8000,6.8200,41267
2023-09-26,6.8200,6.8800,6.7000,6.8600,94136
2023-09-25,6.7700,6.9700,6.6700,6.8600,47244
2023-09-22,6.9400,7.0500,6.8500,6.8500,40432
2023-09-21,6.9800,7.0400,6.8000,6.9400,60338
2023-09-20,7.0800,7.1500,6.9300,7.0600,44131
2023-09-19,7.0000,7.1100,6.9400,7.0500,75616
2023-09-18,7.1200,7.2600,6.9350,6.9600,61435
2023-09-15,7.0000,7.1800,6.9800,7.1100,114266
2023-09-14,7.0000,7.0600,6.8900,7.0600,57018
2023-09-13,6.8800,6.9600,6.7700,6.8700,66044
2023-09-12,6.9600,7.0000,6.8500,6.8600,58882
2023-09-11,6.8400,7.0100,6.8400,6.9400,66708
2023-09-08,6.9200,7.0100,6.7600,6.8000,68214
2023-09-07,6.8700,6.9300,6.7100,6.9200,123047
2023-09-06,6.8900,7.0000,6.8500,6.9300,55347
2023-09-05,7.0500,7.0600,6.7500,6.8900,85239
2023-09-01,6.9300,7.1400,6.9000,7.1000,113452
2023-08-31,7.0400,7.2900,6.8200,6.9400,174102
2023-08-30,6.7300,6.9560,6.6600,6.6800,120970
2023-08-29,6.4300,6.7800,6.3900,6.7300,169558
2023-08-28,6.1000,6.5900,6.1000,6.4600,360604
2023-08-25,5.9400,6.1400,5.9400,6.0300,264942
2023-08-24,7.2500,7.3500,5.8500,6.0200,851604
2023-08-23,7.2600,7.4026,7.2500,7.2500,155593
2023-08-22,7.2600,7.3700,7.2500,7.3200,56805
2023-08-21,7.2500,7.4000,7.2500,7.3100,117354
2023-08-18,7.3500,7.4900,7.2600,7.2600,89844
2023-08-17,7.5600,7.7200,7.3400,7.3600,54492
2023-08-16,7.4500,7.6300,7.2700,7.5400,138973
2023-08-15,7.5100,7.6100,7.3600,7.4800,82211
2023-08-14,7.5600,7.6250,7.4100,7.5400,59290
2023-08-11,7.5200,7.7599,7.5200,7.6400,71591
2023-08-10,7.4200,7.5700,7.3500,7.5200,58161
2023-08-09,7.5900,7.6199,7.3400,7.3900,58393
2023-08-08,7.4600,7.6150,7.3100,7.5900,104049
2023-08-07,7.4700,7.6400,7.4200,7.5900,96833
2023-08-04,7.9300,7.9850,7.4800,7.4900,89443
2023-08-03,7.7500,7.9300,7.7400,7.8300,38585
2023-08-02,7.8100,7.8100,7.6300,7.7400,66869
2023-08-01,7.9000,7.9700,7.8000,7.8200,62130
2023-07-31,8.2000,8.3200,7.8800,7.9100,77537
2023-07-28,8.3800,8.3800,8.0800,8.1700,60806
2023-07-27,8.0700,8.2600,8.0100,8.1600,67041
2023-07-26,8.1000,8.1300,7.7533,7.9400,118007
