,UGP_open,UGP_high,UGP_low,UGP_close,UGP_volume
2023-10-26,4.0500,4.2050,4.0500,4.1800,1516848
2023-10-25,3.9900,4.0350,3.9650,3.9800,875927
2023-10-24,3.9200,3.9650,3.9000,3.9600,776079
2023-10-23,3.8800,3.9300,3.8600,3.8900,610877
2023-10-20,3.9000,3.9500,3.8900,3.9100,858405
2023-10-19,3.8700,3.9300,3.8550,3.8700,1678886
2023-10-18,3.8600,3.9150,3.8300,3.8700,800781
2023-10-17,3.9200,3.9550,3.8650,3.8900,1170582
2023-10-16,3.9100,3.9900,3.9050,3.9800,1259297
2023-10-13,3.8700,3.9000,3.8200,3.8600,1369635
2023-10-12,3.9000,3.9100,3.7500,3.7800,385465
2023-10-11,3.8400,3.8950,3.8400,3.8800,1293123
2023-10-10,3.6800,3.8300,3.6800,3.8300,1586462
2023-10-09,3.5500,3.6600,3.5500,3.6400,884120
2023-10-06,3.4600,3.5600,3.3950,3.5300,957354
2023-10-05,3.5500,3.5600,3.4550,3.5200,973208
2023-10-04,3.4900,3.5800,3.4600,3.5600,2793340
2023-10-03,3.6100,3.6512,3.4700,3.4700,1499365
2023-10-02,3.6500,3.6600,3.5700,3.5800,1343438
2023-09-29,3.7000,3.7400,3.6500,3.6700,6502141
2023-09-28,3.5600,3.6600,3.5400,3.6600,1389870
2023-09-27,3.6000,3.6400,3.5250,3.5700,2077314
2023-09-26,3.6400,3.6650,3.5900,3.5900,1587958
2023-09-25,3.7000,3.7300,3.6850,3.7300,1709967
2023-09-22,3.7600,3.7800,3.7200,3.7400,1045225
2023-09-21,3.7900,3.8200,3.7300,3.7300,1389979
2023-09-20,3.8700,3.9250,3.8500,3.8600,566328
2023-09-19,3.8900,3.9000,3.7800,3.7900,519731
2023-09-18,3.9600,3.9700,3.8950,3.9200,743426
2023-09-15,3.8200,3.9200,3.8200,3.8800,1575565
2023-09-14,3.7600,3.8250,3.7450,3.8100,1002006
2023-09-13,3.6900,3.7700,3.6800,3.7000,1437997
2023-09-12,3.7600,3.8400,3.7600,3.8300,899521
2023-09-11,3.7500,3.7800,3.6900,3.7800,954285
2023-09-08,3.6700,3.6900,3.6150,3.6300,1082993
2023-09-07,3.5500,3.5800,3.5300,3.5500,300786
2023-09-06,3.6500,3.7150,3.6150,3.6400,581193
2023-09-05,3.6300,3.6900,3.6300,3.6500,677800
2023-09-01,3.7300,3.7450,3.6700,3.6800,1066616
2023-08-31,3.7300,3.7400,3.6250,3.6400,938539
2023-08-30,3.8500,3.8500,3.8050,3.8200,496556
2023-08-29,3.7800,3.8450,3.7500,3.8300,1110963
2023-08-28,3.7600,3.7800,3.7000,3.7700,1033495
2023-08-25,3.7500,3.7900,3.7150,3.7600,907825
2023-08-24,3.7500,3.8000,3.7300,3.7500,699345
2023-08-23,3.7200,3.7900,3.6900,3.7900,1922092
2023-08-22,3.6600,3.7200,3.6500,3.7100,791400
2023-08-21,3.5900,3.6300,3.5800,3.6200,654122
2023-08-18,3.6400,3.6700,3.6100,3.6300,889956
2023-08-17,3.7600,3.7700,3.6800,3.7000,1915560
2023-08-16,3.7200,3.8100,3.6900,3.7300,2184613
2023-08-15,3.8300,3.8500,3.6800,3.7300,3513468
2023-08-14,3.7300,3.7700,3.6800,3.6900,1055557
2023-08-11,3.7300,3.8100,3.7100,3.7200,2116863
2023-08-10,3.7500,3.8000,3.6600,3.7300,3337923
2023-08-09,3.8700,3.8900,3.7800,3.8300,2787494
2023-08-08,3.8100,3.9300,3.8100,3.9000,789431
2023-08-07,3.8500,3.9100,3.8399,3.9000,748009
2023-08-04,3.8700,3.9800,3.8400,3.8400,1523135
