,WTRG_open,WTRG_high,WTRG_low,WTRG_close,WTRG_volume
2023-10-13,33.6500,33.8600,33.2850,33.4800,1070793
2023-10-12,34.0700,34.2300,33.2300,33.4600,1055135
2023-10-11,34.2600,34.3390,33.8800,34.2300,779924
2023-10-10,33.6500,34.3400,33.6093,34.0800,1477868
2023-10-09,33.1100,33.6200,33.1100,33.6200,716412
2023-10-06,33.0100,33.3400,32.3000,33.1900,1146109
2023-10-05,32.9300,33.4450,32.7100,33.3700,1554274
2023-10-04,32.9400,33.0400,32.0700,32.9800,1341857
2023-10-03,32.6700,32.7900,32.0750,32.5900,2290483
2023-10-02,34.0800,34.0800,32.7250,32.9300,1415345
2023-09-29,34.4600,34.5973,33.9000,34.3300,1391062
2023-09-28,34.7900,34.8900,33.9000,34.0400,1605233
2023-09-27,35.1500,35.5000,34.3200,34.3400,1092929
2023-09-26,36.2200,36.3900,35.2600,35.2700,957765
2023-09-25,36.0000,36.4200,35.9450,36.4000,1117046
2023-09-22,36.3400,36.4700,36.0900,36.2600,997517
2023-09-21,36.8100,36.9400,36.4000,36.4000,1240674
2023-09-20,37.4600,37.6500,36.9400,37.0200,803794
2023-09-19,37.5800,37.6800,37.2700,37.2800,947669
2023-09-18,37.7500,37.8300,37.4100,37.6100,1069463
2023-09-15,38.0300,38.2750,37.6900,37.7000,3181207
2023-09-14,38.0800,38.2300,37.9500,38.1600,1355454
2023-09-13,37.5100,38.1000,37.2400,37.9000,2019932
2023-09-12,37.0700,37.5550,36.7600,37.4600,1982029
2023-09-11,36.5900,37.2250,36.5375,37.1000,2256712
2023-09-08,35.9400,36.7350,35.7400,36.6200,1852327
2023-09-07,35.7900,36.0250,35.4449,35.8200,820508
2023-09-06,35.9900,35.9900,35.4600,35.5500,1077865
2023-09-05,36.4700,36.6900,35.6900,35.9700,1159738
2023-09-01,37.2000,37.4200,36.4200,36.6900,854409
2023-08-31,37.1900,37.2850,36.8800,36.9000,2438465
2023-08-30,37.1200,37.4700,36.9550,36.9700,1040749
2023-08-29,37.2000,37.3100,36.8000,37.0900,1200463
2023-08-28,37.5200,37.6900,37.0300,37.0700,958213
2023-08-25,36.8700,37.5500,36.7950,37.3800,840558
2023-08-24,36.9100,37.1900,36.6250,36.6700,999123
2023-08-23,37.2500,37.4925,36.8900,37.0300,1019009
2023-08-22,36.7100,37.2100,36.7100,36.9900,1390603
2023-08-21,37.2600,37.2700,36.3600,36.7800,1533014
2023-08-18,37.4500,37.7200,37.1200,37.5100,856601
2023-08-17,38.1700,38.3750,37.4300,37.4500,758643
2023-08-16,38.0700,38.2200,37.8450,38.1600,1076258
2023-08-15,38.9200,38.9200,37.9700,37.9900,1188494
2023-08-14,39.4300,39.4650,38.8300,39.0500,854743
2023-08-11,39.4300,39.7900,39.2700,39.4300,952803
2023-08-10,39.6800,39.9900,39.1700,39.3500,888391
2023-08-09,40.2900,40.6100,39.6800,39.8200,1191164
2023-08-08,40.6600,40.8150,39.5800,40.5000,1274217
2023-08-07,40.9000,41.3700,40.7800,40.9500,961465
2023-08-04,40.8900,41.1200,40.5500,40.6600,921704
2023-08-03,41.4400,41.4500,40.5850,40.8600,919397
2023-08-02,41.7400,41.8800,41.3300,41.6800,1358609
2023-08-01,42.3400,42.5800,41.5500,41.7200,812203
2023-07-31,42.2500,42.5850,42.1700,42.2900,2002507
2023-07-28,42.8900,42.9000,41.9250,42.1400,783925
2023-07-27,42.6400,42.9300,42.4900,42.5300,925159
2023-07-26,42.5500,43.2600,42.4200,42.7900,847654
2023-07-25,42.6100,42.7600,42.2400,42.5700,760007
2023-07-24,43.0700,43.0700,42.3200,42.6800,1170460
2023-07-21,42.6400,43.2300,42.5100,43.1000,1276508
2023-07-20,41.4100,42.4680,41.0800,42.4100,1434364
2023-07-19,41.2600,41.7700,41.2200,41.5000,852586
2023-07-18,41.0500,41.3300,40.1900,40.8500,1672943
2023-07-17,41.0500,41.3000,40.6560,40.9100,1031538
2023-07-14,41.2700,41.5250,40.9700,41.1800,1363085
2023-07-13,40.7700,41.7100,40.4501,41.4400,2041485
2023-07-12,39.9000,40.6500,39.6200,40.5800,1002755
2023-07-11,39.2000,39.6400,39.1350,39.5700,772763
2023-07-10,39.0100,39.2950,38.9200,39.1900,950101
2023-07-07,39.3800,39.4600,38.9500,39.1500,1004410
2023-07-06,39.9000,40.0150,39.2000,39.5900,1088130
2023-07-05,40.1100,40.7400,40.0100,40.2100,988458
2023-07-03,39.9000,40.3500,39.7600,40.3200,403953
2023-06-30,39.4800,39.9800,39.3650,39.9100,954293
2023-06-29,39.3200,39.7100,39.1700,39.4700,807908
2023-06-28,40.0500,40.4850,39.3600,39.5600,816844
2023-06-27,40.0000,40.3050,39.9250,40.1700,728018
2023-06-26,40.0400,40.3350,39.6000,39.8400,1120154
2023-06-23,40.9700,41.2100,39.7500,40.0100,1470621
2023-06-22,41.0900,41.1250,40.6900,40.8900,767017
2023-06-21,41.0900,41.1550,40.3700,40.9400,1530335
2023-06-20,41.4200,41.7300,41.1200,41.1300,1046194
2023-06-16,41.8200,41.9300,41.2500,41.4300,2129122
2023-06-15,41.2800,41.6750,41.0700,41.6400,808421
2023-06-14,41.4400,41.9300,41.1400,41.2100,913116
2023-06-13,41.2000,41.6199,40.8600,41.4000,1221326
2023-06-12,41.6800,41.7735,41.0300,41.3600,1155024
2023-06-09,41.7900,42.1300,41.1100,41.6100,949185
2023-06-08,41.5300,41.9550,41.3000,41.9200,936895
2023-06-07,41.0000,41.8200,40.6800,41.7100,1241257
2023-06-06,40.9400,41.3300,40.7400,40.9400,757870
2023-06-05,40.5400,40.9300,40.4500,40.8900,924988
2023-06-02,39.8400,41.0000,39.8250,40.9400,720936
2023-06-01,40.6600,40.6700,39.6900,39.9600,1472126
2023-05-31,40.2500,41.0600,39.8500,40.7400,2173852
2023-05-30,40.7200,41.2000,40.2300,40.2700,1334975
2023-05-26,40.0800,40.6600,39.9900,40.6100,1083207
2023-05-25,40.6400,40.7400,39.7300,40.1600,975417
2023-05-24,40.6000,41.1700,40.5700,40.7700,958090
2023-05-23,40.5000,41.0800,40.3100,40.7200,960976
2023-05-22,40.3600,40.7400,40.1300,40.5200,667074
2023-05-19,40.7300,41.0400,40.2500,40.2500,841630
2023-05-18,40.5000,40.8200,40.1400,40.4700,971519
2023-05-17,41.1900,41.3300,40.6950,41.0600,956685
2023-05-16,42.1200,42.3800,41.0550,41.1300,1702564
2023-05-15,42.6800,42.8900,41.8000,42.0100,1130794
2023-05-12,42.5100,43.0800,42.2700,42.5300,1388797
2023-05-11,42.7200,42.8100,41.9400,42.1900,921471
2023-05-10,42.6100,43.0800,42.5516,42.9700,839590
2023-05-09,42.7400,43.7400,42.0600,42.4100,1428349
2023-05-08,43.0300,43.2200,42.6800,42.8400,1349875
2023-05-05,42.7200,43.2400,42.5400,43.0700,870908
2023-05-04,42.1800,42.7800,42.0300,42.7400,620145
2023-05-03,42.5300,42.9300,42.2400,42.2800,752173
2023-05-02,42.8400,42.8700,41.7125,42.2800,820032
2023-05-01,42.6100,43.1450,42.4700,42.7100,679632
2023-04-28,42.8200,43.1900,42.5500,42.7000,1546466
2023-04-27,42.8500,43.2200,42.4700,42.8400,778780
2023-04-26,43.3700,43.8400,42.9680,43.0100,854978
2023-04-25,43.3000,44.0500,43.2600,43.8700,1055269
2023-04-24,43.6500,43.7800,43.2100,43.2800,673743
2023-04-21,43.5900,43.8800,43.1800,43.6900,1166251
2023-04-20,43.2200,43.4350,43.0400,43.2600,619405
2023-04-19,42.5400,43.4900,42.5000,43.3700,1043983
2023-04-18,43.5000,43.6900,42.5050,42.6300,822441
2023-04-17,43.4200,43.6800,43.0761,43.5800,775576
2023-04-14,43.5900,43.9400,43.0300,43.1900,1022734
2023-04-13,44.0000,44.1800,43.2450,44.1100,1200596
2023-04-12,45.1700,45.2900,44.1600,44.2800,997927
2023-04-11,44.8200,45.0500,44.6400,44.9200,673244
2023-04-10,44.6300,44.7800,44.1900,44.7800,1097616
2023-04-06,44.9500,45.2800,44.5300,45.0300,1067118
2023-04-05,43.7500,44.8300,43.7500,44.7500,1569338
2023-04-04,43.0600,43.9900,43.0600,43.4500,1403750
2023-04-03,43.4100,43.7500,43.0100,43.0600,944087
2023-03-31,43.3300,43.6500,43.0600,43.6500,1246040
2023-03-30,42.7400,43.1299,42.6500,43.0400,1206863
2023-03-29,42.2000,42.6700,42.2000,42.5400,702100
2023-03-28,41.9950,42.6100,41.8200,42.0500,895650
2023-03-27,42.4500,42.7500,42.0200,42.1300,1149525
2023-03-24,40.5800,42.1200,40.4200,42.1100,1073301
2023-03-23,40.8100,41.2300,40.3100,40.6500,1608180
2023-03-22,41.6700,42.1100,40.9300,40.9600,1643522
2023-03-21,42.7900,42.9000,41.1000,41.7600,1643012
2023-03-20,42.5400,43.0300,42.5000,42.8000,1545772
2023-03-17,42.8300,43.0300,42.1300,42.5600,2596951
2023-03-16,42.9300,43.3000,42.5100,43.0800,1645118
2023-03-15,42.4000,43.4550,42.3100,43.2800,1774175
2023-03-14,42.8200,43.1000,42.2850,42.7800,1127900
2023-03-13,41.6400,43.1600,41.4600,42.3000,2144245
2023-03-10,42.2500,42.6800,41.2200,41.6800,2012324
2023-03-09,42.5300,42.5500,41.7000,41.7800,1536525
2023-03-08,40.7000,42.4500,40.6400,42.4400,1952443
2023-03-07,42.4500,42.4500,41.4900,41.5000,1421218
2023-03-06,42.0900,42.4500,41.8700,42.3000,1249444
2023-03-03,42.6600,42.6600,41.7400,42.0100,2154725
2023-03-02,42.4400,42.7750,42.2600,42.5100,1079832
2023-03-01,42.3500,42.6600,42.0200,42.5700,1740231
2023-02-28,43.1300,43.5600,42.5800,42.7800,2609143
2023-02-27,44.7000,45.4200,43.2050,43.4300,2039914
2023-02-24,44.7200,44.7600,44.1000,44.4000,1153001
2023-02-23,45.5000,45.6500,44.8000,45.1400,772225
2023-02-22,45.5900,45.9300,45.2800,45.3700,947184
2023-02-21,45.9200,46.0750,45.1800,45.3900,1098234
2023-02-17,45.4300,46.3650,45.3150,46.1500,1038299
2023-02-16,45.2600,45.7700,44.8000,45.5100,784392
2023-02-15,45.6400,45.9000,45.4800,45.8500,636850
2023-02-14,45.9100,46.3600,45.4200,45.8800,1178273
2023-02-13,45.7900,46.1950,45.6900,45.9800,1682620
2023-02-10,45.3600,45.6700,45.2200,45.6600,1209156
2023-02-09,45.9700,46.4900,45.2000,45.3400,854540
2023-02-08,47.3300,47.4700,46.1300,46.2300,872288
2023-02-07,47.0600,47.6600,46.4700,47.5700,1328184
2023-02-06,47.0400,47.5650,46.7700,47.4600,1285206
2023-02-03,47.5800,47.9000,46.6650,46.9000,1032370
2023-02-02,48.1500,48.8350,47.6231,48.0700,1122133
2023-02-01,46.7300,48.3900,46.3800,48.1000,1575242
2023-01-31,46.3400,46.8400,45.9100,46.7300,2685586
2023-01-30,46.9300,47.3300,46.0850,46.1000,805577
2023-01-27,46.9300,47.3300,46.6800,47.0600,782077
2023-01-26,46.8300,47.0600,46.5700,46.9300,564515
2023-01-25,46.4300,46.9300,46.1000,46.9200,988943
2023-01-24,46.2100,47.0100,46.0200,46.8600,814364
2023-01-23,46.5000,46.8500,46.0000,46.4600,1050438
2023-01-20,46.5400,46.6450,46.0000,46.5400,1252481
2023-01-19,47.0000,47.0900,46.4100,46.5000,543789
2023-01-18,48.3400,48.3400,46.7500,47.0700,706234
2023-01-17,48.7000,49.0600,48.2000,48.2300,652676
2023-01-13,48.9500,49.1300,48.5350,48.7900,738306
2023-01-12,48.9600,49.2800,48.6900,48.9900,819661
2023-01-11,48.8100,49.1600,48.6600,48.9100,1023156
2023-01-10,48.7000,48.8700,48.4800,48.8000,677958
2023-01-09,48.6200,49.2100,48.4500,48.7100,1045865
2023-01-06,48.4300,49.0600,48.1400,48.8100,852480
2023-01-05,48.5000,48.6700,47.7000,47.8900,883102
2023-01-04,48.5000,49.1450,48.2701,48.7600,988084
2023-01-03,48.1300,48.4700,47.5500,48.1600,1030305
2022-12-30,48.3000,48.5300,47.2500,47.7300,894445
2022-12-29,48.1100,48.8950,48.0950,48.4200,822320
2022-12-28,48.1500,48.6500,47.8200,47.8700,733358
2022-12-27,47.5300,48.1950,47.4000,48.0900,447921
2022-12-23,47.2300,47.6150,47.0400,47.5700,539519
2022-12-22,47.5600,47.6200,46.3500,47.2000,901564
2022-12-21,46.9400,47.4600,46.7100,47.4400,1169140
2022-12-20,46.5400,46.9200,46.2000,46.7000,907220
2022-12-19,46.5700,47.2000,46.2700,46.6100,1176242
2022-12-16,46.9700,47.2400,46.1300,46.5000,3025262
2022-12-15,48.4900,48.5900,47.3600,47.5100,767933
2022-12-14,48.7500,49.3750,48.3500,48.7400,971196
2022-12-13,49.4300,49.8900,48.3200,48.6500,1417181
2022-12-12,48.6500,48.6500,48.1300,48.6200,1036362
2022-12-09,47.9900,48.7100,47.8300,48.2300,1049410
2022-12-08,47.9200,48.5100,47.8800,48.2600,805610
2022-12-07,47.9700,48.3100,47.7500,48.0900,1335291
